Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"4989646000","4600800","3586","80734.3"
"9979715000","4547900","3587","161450.7"
"14969525000","4543800","3593","242175.2"
"19958807000","4575700","3590","322881.0"
"24948064000","4575000","3585","403557.1"
"29936859000","4575300","3581","484225.6"
"34925061000","4519300","3591","564867.5"
"39913515000","4584000","3587","645551.9"
"44901625000","1575200","3583","726366.1"
"49889179000","4606100","3587","807254.9"
"54877193000","4654000","3595","888025.0"
"59864717000","4591500","3592","968808.0"
"64852421000","4492600","3592","1049586.7"
"69839266000","4615000","3591","1130342.3"
"74825972000","4554300","3588","1211078.6"
"79811556000","4613700","3587","1291808.5"
"84799954000","4577200","3593","1372575.6"
"89785893000","4572700","3591","1453294.0"
"94771468000","4674600","3589","1534006.3"
"99755991000","4552000","3588","1614681.1"
"104741372000","4541600","3591","1695373.7"
"109726487000","4524500","3583","1776063.4"
"114711230000","4592600","3586","1856733.9"
"119694979000","4519300","3595","1937409.5"
"124679275000","4549800","3592","2018098.4"
"129662941000","4549800","3592","2099027.7"
"134646921000","4554300","3587","2179637.8"
"139630343000","4549000","3588","2260284.3"
"144613506000","4612900","3592","2340939.0"
"149596743000","4612900","3589","2421605.6"
"154579245000","4572000","3589","2502262.9"
"159560827000","4538700","3592","2582848.2"
"164542309000","4554300","3585","2663448.6"
"169523737000","4552800","3585","2743985.9"
"174505220000","4580200","3591","2824621.4"
"179485855000","4604600","3588","2905226.9"
"184466382000","4613700","3591","2985855.2"
"189447301000","4553500","3596","3066453.0"
"194427490000","4557300","3587","3146954.9"
"199407885000","4545300","3585","3227424.1"
"204387409000","1554600","3584","3307923.4"
"209367641000","4564000","3586","3388664.9"
"214346974000","4581000","3586","3469102.5"
"219325439000","4519300","3593","3549546.2"
"224303796000","4603100","3586","3630073.4"
"229282548000","4592300","3592","3710541.9"
"234260705000","4546100","3586","3791005.7"
"239238777000","4566000","3590","3871470.9"
"244216305000","4517900","3589","3951917.6"
"249197727000","4581000","3589","4032388.9"
"254175706000","4644200","3588","4112865.2"
"259152814000","4614500","3592","4193424.7"
"264129693000","4640400","3595","4273976.4"
"269105733000","4510500","3587","4354506.8"
"274081851000","4584700","3588","4434986.6"
"279059644000","4612900","3586","4515731.6"
"284034768000","4533400","3587","4596322.9"
"289009539000","4547500","3586","4676814.4"
"293984238000","4616700","3593","4757305.4"
"298959323000","4515600","3590","4837806.7"
"303933661000","4526800","3591","4918279.3"
"308908294000","4569700","3591","4998756.2"
"313883443000","4572000","3589","5079244.7"
"318857503000","4574200","3592","5159725.0"
"323830898000","4540800","3588","5240166.0"
"328804365000","4582500","3588","5320616.4"
"333777296000","4542300","3596","5401033.9"
"338750006000","4607600","3592","5481465.0"
"343722719000","4549800","3591","5561903.0"
"348694889000","4581700","3591","5642602.1"
"353667010000","4548300","3585","5723026.8"
"358638165000","4545300","3591","5803425.9"
"363609419000","4574200","3590","5883832.3"
"368580405000","4631200","3594","5964233.2"
"373550811000","4553500","3582","6044628.0"
"378521834000","4543100","3591","6125034.0"
"383492210000","4571600","3588","6205432.7"
"388461833000","4564800","3585","6285825.1"
"393431353000","4564000","3587","6366208.9"
"398401061000","4608400","3594","6446590.9"
"403370795000","4552800","3581","6526982.4"
"408340037000","4596800","3597","6607385.1"
"413309310000","4702300","3584","6687973.7"
"418277513000","4587000","3587","6768409.0"
"423245943000","4581700","3590","6848769.7"
"428214002000","4584700","3588","6929117.1"
"433181947000","4606100","3591","7009466.7"
"438149840000","4575700","3597","7089794.9"
"443116911000","4553500","3593","7170111.1"
"448083589000","4552800","3595","7250437.6"
"453050466000","4554300","3591","7330775.7"
"458016697000","4581000","3587","7411113.0"
"462983112000","4540800","3586","7491451.5"
"467948899000","4577200","3590","7571789.2"
"472914313000","4581700","3591","7652103.0"
"477882082000","4582500","3595","7732751.3"
"482847378000","4626600","3591","7813089.9"
"487812780000","4552800","3593","7893399.8"
"492777632000","4575000","3592","7973697.3"
"497741895000","4605400","3587","8054005.9"
"502705640000","4553500","3585","8134290.6"
"507669455000","4605400","3591","8214590.3"
"512632798000","4570100","3589","8294872.1"
"517595569000","4546800","3584","8375153.8"
"522558555000","4546100","3589","8455432.1"
"527521248000","4513400","3593","8535700.2"
"532483629000","4551300","3586","8615949.8"
"537445927000","4550500","3597","8696469.5"
"542408192000","4548300","3594","8776727.7"
"547370182000","4546100","3590","8856974.4"
"552332071000","4607600","3595","8937242.0"
"557294604000","4552000","3582","9017512.2"
"562255799000","4516400","3592","9097748.7"
"567216711000","4545300","3591","9177995.0"
"572178068000","4571200","3595","9258232.2"
"577138185000","4564000","3591","9338282.7"
"582098802000","4564500","3597","9418442.9"
"587058923000","4570500","3596","9498575.7"
"592018841000","4550500","3585","9578727.3"
"596978145000","4609900","3588","9659124.6"
