Time (ns),Current (nA),Voltage (mV),Energy (uJ),Variation (uJ)
"1000898000","5038900","3585","17787.0","17787.0"
"2002398000","4998500","3584","35579.3","17792.3"
"3003768000","5033700","3583","53393.3","17814.0"
"4005235000","5000400","3581","71201.8","17808.5"
"5006617000","5006800","3585","89006.1","17804.3"
"6008039000","5021900","3588","106818.0","17811.9"
"7009266000","4958400","3582","124620.1","17802.1"
"8010649000","4951600","3586","142444.8","17824.7"
"9012071000","5001300","3585","160258.5","17813.7"
"10013310000","5068300","3585","178064.8","17806.3"
"11014892000","4998500","3587","195886.6","17821.8"
"12016329000","5045200","3584","213704.1","17817.5"
"13017758000","4998500","3588","231525.8","17821.7"
"14019149000","5051900","3584","249339.9","17814.1"
"15020552000","4998600","3585","267150.5","17810.6"
"16022007000","5083100","3582","284972.3","17821.8"
"17023437000","5037300","3585","302794.9","17822.6"
"18024837000","5034100","3585","320626.4","17831.5"
"19026258000","4962600","3587","338442.2","17815.8"
"20027652000","5012300","3582","356257.1","17814.9"
"21029072000","5031700","3587","374080.2","17823.1"
"22030484000","4990700","3585","391907.9","17827.7"
"23031915000","5031700","3585","409750.2","17842.3"
"24033304000","5004000","3586","427572.8","17822.6"
"25034739000","5027800","3586","445401.8","17829.0"
"26036197000","5018800","3581","463232.1","17830.3"
"27037596000","5026900","3586","481062.0","17829.9"
"28038985000","4996700","3586","498908.9","17846.9"
"29040416000","4998500","3585","516735.0","17826.1"
"30041831000","4964400","3585","534565.7","17830.7"
"31043275000","4953500","3585","552396.8","17831.1"
"32044675000","5036100","3582","570233.1","17836.3"
"33046082000","4965100","3584","588081.4","17848.3"
"34047522000","3303100","3584","605910.4","17829.0"
"35048935000","1937500","3583","623785.2","17874.8"
"36050386000","2230100","3583","641701.8","17916.6"
"37051776000","2653900","3584","659618.0","17916.2"
"38053198000","5015100","3584","677540.7","17922.7"
"39054617000","5016900","3585","695379.9","17839.2"
"40055992000","4996700","3586","713225.6","17845.7"
"41057430000","5025800","3585","731064.5","17838.9"
"42058862000","4966500","3588","748914.9","17850.4"
"43060286000","5016000","3581","766775.1","17860.2"
"44061678000","5032700","3587","784619.5","17844.4"
"45063104000","5031700","3587","802466.9","17847.4"
"46064542000","5009500","3588","820307.9","17841.0"
"47065938000","5005000","3587","838156.6","17848.7"
"48067370000","5061000","3585","856020.6","17864.0"
"49068775000","4964000","3584","873873.2","17852.6"
"50070201000","5032200","3585","891722.7","17849.5"
"51071639000","5032700","3587","909570.1","17847.4"
"52073006000","5087700","3584","927427.3","17857.2"
"53074480000","5002900","3585","945295.2","17867.9"
"54075867000","5035700","3587","963149.0","17853.8"
"55077285000","5050700","3585","980996.9","17847.9"
"56078690000","5014200","3582","998845.6","17848.7"
"57080103000","5036900","3587","1016701.5","17855.9"
"58081495000","5032700","3585","1034572.4","17870.9"
"59082931000","5039000","3584","1052435.6","17863.2"
"60084344000","5035500","3586","1070292.0","17856.4"
"61085804000","5036600","3585","1088141.5","17849.5"
"62087230000","5038600","3585","1106006.9","17865.4"
"63088595000","5025800","3585","1123879.5","17872.6"
"64090014000","5017800","3586","1141743.6","17864.1"
"65091427000","5051900","3584","1159596.1","17852.5"
"66092860000","5017800","3584","1177445.2","17849.1"
"67094304000","5033100","3587","1195301.2","17856.0"
"68095717000","5025800","3585","1213171.6","17870.4"
"69097115000","5010500","3586","1231034.4","17862.8"
