Time (ns),Current (nA),Voltage (mV),Energy (uJ),Variation (uJ)
"1000283000","2599000","3583","16300.4","16300.4"
"2000821000","4596100","3587","32564.0","16263.6"
"3001269000","4623600","3592","48754.1","16190.1"
"4001761000","4562600","3589","64973.5","16219.4"
"5002108000","4622100","3590","81180.4","16206.9"
"6002786000","4593900","3588","97391.5","16211.1"
"7003251000","4592400","3592","113588.5","16197.0"
"8003674000","4597600","3594","129789.3","16200.8"
"9004099000","4581400","3599","146010.4","16221.1"
"10004432000","4520200","3593","162213.8","16203.4"
"11005100000","4529100","3591","178414.7","16200.9"
"12005526000","4560300","3582","194616.8","16202.1"
"13005791000","4616800","3592","210805.7","16188.9"
"14006159000","4555100","3590","227018.6","16212.9"
"15006664000","4581100","3592","243223.3","16204.7"
"16007187000","4556600","3590","259422.4","16199.1"
"17007665000","4587100","3590","275619.8","16197.4"
"18008105000","4556600","3590","291807.8","16188.0"
"19009724000","4562600","3580","308033.5","16225.7"
"20010146000","4559600","3590","324231.3","16197.8"
"21010633000","4503800","3594","340427.0","16195.7"
"22011310000","4585600","3595","356629.6","16202.6"
"23011926000","4592400","3586","372830.0","16200.4"
"24012283000","4564800","3591","389043.8","16213.8"
"25012738000","4602900","3592","405241.6","16197.8"
"26013143000","4561800","3592","421438.2","16196.6"
"27013710000","4561800","3595","437636.0","16197.8"
"28014072000","4518600","3593","453824.8","16188.8"
"29014527000","4565600","3591","470031.3","16206.5"
"30014918000","4532100","3589","486224.8","16193.5"
"31015260000","4555900","3595","502418.8","16194.0"
"32015945000","4617600","3588","518616.2","16197.4"
"33016326000","4602200","3593","534806.8","16190.6"
"34016725000","4558800","3583","550994.3","16187.5"
"35017177000","4524600","3593","567184.8","16190.5"
"36017714000","4648800","3590","583378.4","16193.6"
"37018322000","4565600","3594","599570.2","16191.8"
"38018891000","4544000","3586","615752.1","16181.9"
"39019386000","4561800","3594","631944.0","16191.9"
"40019743000","4529100","3587","648133.2","16189.2"
