Time (ns),Variation (uJ)
"1000564000.0","17024.95"
"2001503500.0","17007.125"
"3002415000.0","16999.449999999997"
"4003360250.0","17002.45"
"5004240000.0","16999.274999999998"
"6005246500.0","17004.5"
"7006115500.0","16997.199999999997"
"8007065000.0","17008.25"
"9008006750.0","17008.0"
"10008841000.0","17001.05"
"11009849000.0","17008.2"
"12010760250.0","17007.75"
"13011655500.0","17004.3"
"14012571000.0","17004.85"
"15013487250.0","17000.625"
"16014456250.0","17005.8"
"17015442000.0","17002.025"
"18016368000.0","17012.25"
"19017562750.0","17003.625"
"20018472000.0","16994.550000000003"
"21019421250.0","17021.275"
"22020425500.0","17013.225"
"23021398750.0","17006.7"
"24022282250.0","17007.1"
"25023217500.0","17019.725"
"26024104000.0","17024.25"
"27025053000.0","17026.65"
"28025945000.0","17023.55"
"29026891000.0","17014.125"
"30027780000.0","17006.325"
"31028640750.0","17010.85"
"32029920250.0","17016.975"
"33030844250.0","17010.3"
"34031807000.0","17011.5"
"35032712250.0","17019.075"
"36033680250.0","17036.225"
"37034599750.0","17054.5"
"38035479000.0","17058.275"
"39036428500.0","17023.725000000002"
"40037275750.0","17017.5"
"41038188250.0","17020.6"
"42039177500.0","17018.7"
"43040122000.0","17023.225"
"44041065750.0","17019.15"
"45041929750.0","17017.075"
"46042845250.0","17016.725"
"47043784250.0","17015.024999999998"
"48044731750.0","17018.3"
"49045609000.0","17017.75"
"50046536250.0","17014.15"
"51047494000.0","17017.425000000003"
"52048512250.0","17017.524999999998"
"53049443500.0","17012.425000000003"
"54050270500.0","17007.95"
"55051139000.0","17003.7"
"56052077250.0","17005.95"
"57053065750.0","17010.225"
"58054037500.0","17013.85"
"59054942250.0","17010.75"
"60055805250.0","17002.075"
"61056759750.0","17003.75"
"62057721750.0","17014.1"
"63058660250.0","17010.75"
"64059577250.0","17043.0"
"65060552000.0","17019.425"
"66061482250.0","17018.824999999997"
"67062429500.0","17013.125"
"68063419750.0","17008.375"
"69064335500.0","17005.125"
"70065222250.0","16999.699999999997"
"71066164000.0","16992.85"
"72067126500.0","17006.175"
"73068073000.0","17021.85"
"74068976500.0","17005.875"
"75069881500.0","17006.325"
"76070741500.0","17008.225"
"77071686250.0","17012.4"
"78072635750.0","17012.65"
"79073535250.0","17009.725"
"80074590250.0","17010.0"
"81075514000.0","17008.925"
"82076424000.0","17009.725"
"83077373000.0","17010.2"
"84078270500.0","17009.55"
"85079195000.0","17004.95"
"86080139250.0","17002.9"
"87081157250.0","17009.7"
"88082017500.0","17007.725000000002"
"89082928500.0","17007.85"
"90083855500.0","17005.65"
"91084808750.0","17004.125"
"92086654000.0","17025.100000000002"
"93087542750.0","17008.825"
"94088492000.0","17008.15"
"95089402500.0","16999.325"
"96090333250.0","16998.05"
"97091266500.0","17003.149999999998"
"98092293750.0","17011.85"
"99093270000.0","17009.975"
"100094239250.0","17010.325"
"101095212250.0","17003.875"
"102096078750.0","17030.925000000003"
"103097043500.0","17032.55"
"104097960750.0","17032.949999999997"
"105099674250.0","17035.825"
"106100598250.0","17010.75"
"107101519500.0","17013.8"
"108102486750.0","17016.25"
"109103381000.0","17029.875"
"110104292500.0","17016.15"
"111105270000.0","17012.5"
"112106195000.0","17013.725"
"113107135750.0","17031.15"
"114107998000.0","17042.1"
"115108869500.0","17044.825"
"116109772500.0","17012.8"
"117110695500.0","17021.05"
"118111648750.0","17017.475"
"119112572000.0","17024.8"
"120113466250.0","17025.125"
"121114384750.0","17021.275"
"122115280250.0","17031.1"
"123116188000.0","17035.675"
"124117110750.0","17044.225"
"125118018500.0","17044.45"
"126118903750.0","17036.75"
"127119828500.0","17037.75"
"128120739000.0","17029.775"
"129121600000.0","17045.85"
"130122848250.0","17050.024999999998"
"131123772500.0","17038.175"
"132124717500.0","17042.775"
"133125658250.0","17041.975"
"134126602250.0","17054.625"
"135127529750.0","17059.95"
"136128419250.0","17058.0"
"137129670750.0","17068.5"
"138130634750.0","17057.55"
"139131614250.0","17069.575"
"140132514500.0","17072.449999999997"
"141133390250.0","17055.925"
"142134307000.0","17059.975"
"143135197000.0","17055.275"
"144136145000.0","17058.425"
"145137009250.0","17064.225"
"146137792750.0","17058.5"
"147138765250.0","17065.75"
"148139666500.0","17064.45"
"149140535750.0","17069.85"
"150141717500.0","17075.225000000002"
"151142548000.0","17062.075"
"152143468500.0","17061.399999999998"
"153144421500.0","17070.9"
"154145299000.0","17071.925"
"155146201500.0","17086.975"
"156147129250.0","17074.35"
"157148048500.0","17059.050000000003"
"158149011750.0","17056.775"
"159149918750.0","17064.525"
"160150772500.0","17063.875"
"161151696500.0","17059.925000000003"
"162152586250.0","17060.0"
"163153514250.0","17064.5"
"164154379000.0","17068.0"
"165155292000.0","17074.274999999998"
"166156124500.0","17064.275"
"167156983750.0","17061.625"
"168157933250.0","17063.45"
"169159659750.0","17076.4"
"170160612500.0","17082.1"
"171161821750.0","17089.025"
"172162697000.0","17077.95"
"173163620250.0","17075.45"
"174164494750.0","17055.9"
"175165481250.0","17067.0"
"176166385750.0","17057.175000000003"
"177167329250.0","17084.300000000003"
"178168192500.0","17085.949999999997"
"179169084500.0","17095.449999999997"
"180170054750.0","17080.675"
"181170955000.0","17075.225"
"182171858500.0","17080.275"
"183172673750.0","17077.65"
"184173500750.0","17072.1"
"185174448500.0","17077.9"
"186175340500.0","17072.85"
"187176227500.0","17070.675000000003"
"188177161500.0","17070.975"
"189178039250.0","17066.575"
"190179036500.0","17073.075"
"191179894250.0","17073.05"
"192180711000.0","17069.75"
"193181898250.0","17069.825"
"194182765750.0","17073.575"
"195183703000.0","17075.55"
"196184530000.0","17079.875"
"197185465500.0","17086.925"
"198186364500.0","17091.25"
"199187298750.0","17093.7"
"200188283500.0","17094.175000000003"
"201189213250.0","17095.75"
"202190106250.0","17098.149999999998"
"203191008750.0","17083.399999999998"
"204191913000.0","17081.475"
"205192886000.0","17084.025"
"206194572000.0","17100.475"
"207195482500.0","17082.275"
"208196399250.0","17079.7"
"209197346750.0","17084.875"
"210198253000.0","17082.2"
"211199148250.0","17089.5"
"212200171750.0","17079.925"
"213201081250.0","17078.425000000003"
"214202008750.0","17072.35"
"215202837750.0","17065.0"
"216203766250.0","17073.425"
"217204743500.0","17069.225"
"218205874500.0","17075.8"
"219206694500.0","17069.325"
"220207569750.0","17075.1"
"221208445250.0","17079.375"
"222209360500.0","17077.774999999998"
"223210216250.0","17079.375"
"224211068250.0","17074.55"
"225211959250.0","17076.825"
"226212853750.0","17088.95"
"227213696250.0","17105.875"
"228214675500.0","17111.65"
"229215570500.0","17091.7"
"230216429750.0","17085.4"
"231217311250.0","17089.875"
"232218175500.0","17093.75"
"233219044000.0","17106.199999999997"
"234219966000.0","17110.125"
"235220840500.0","17107.85"
"236221787500.0","17115.925000000003"
"237222710750.0","17107.275"
"238223713000.0","17108.75"
"239224646000.0","17105.225"
"240225589500.0","17095.575"
"241226513750.0","17099.4"
"242227479250.0","17101.625"
"243228449750.0","17093.5"
"244229265250.0","17097.4"
"245230220750.0","17099.3"
"246231167000.0","17103.525"
"247232135750.0","17107.325"
"248233073250.0","17101.25"
"249233982250.0","17107.0"
"250234897750.0","17107.725"
"251235800000.0","17113.825"
"252236578000.0","17110.5"
"253237621500.0","17122.475"
"254238507000.0","17116.25"
"255239395000.0","17116.675"
"256240348750.0","17119.375"
"257241610500.0","17142.85"
"258242506250.0","17126.35"
"259243462500.0","17127.975"
"260244396750.0","17126.6"
"261245303250.0","17122.85"
"262246250250.0","17123.825"
"263247202000.0","17125.75"
"264248079000.0","17116.75"
"265248930500.0","17116.550000000003"
"266249780750.0","17124.9"
"267250719000.0","17124.0"
"268251651250.0","17127.575"
"269252531500.0","17117.475"
"270253389000.0","17123.324999999997"
"271254301000.0","17127.600000000002"
"272255194500.0","17123.375"
"273256114000.0","17130.825"
"274257254750.0","17127.85"
"275258154500.0","17127.8"
"276259021250.0","17127.9"
"277259908500.0","17125.75"
"278260811750.0","17133.025"
"279261762750.0","17125.075"
"280262650250.0","17131.25"
"281263477500.0","17129.45"
"282264352500.0","17120.9"
"283265271750.0","17134.6"
"284266212500.0","17129.449999999997"
"285267130250.0","17135.85"
"286267982000.0","17135.5"
"287268798500.0","17130.15"
"288269742000.0","17146.05"
"289270639750.0","17135.125"
"290271554500.0","17148.75"
"291272452000.0","17165.225"
"292273424250.0","17155.5"
"293274372000.0","17159.449999999997"
"294275350000.0","17136.55"
"295276268250.0","17144.3"
"296277187000.0","17141.0"
