Time (ns),Variation (uJ)
"1000102500.0","5462.85"
"2000407000.0","5461.625000000001"
"3000993500.0","5465.0"
"4001390500.0","5464.375"
"5001750250.0","5467.675"
"6002254000.0","5470.5"
"7002635250.0","5470.925"
"8003170250.0","5471.8"
"9003532000.0","5470.525000000001"
"10003810250.0","5470.3"
"11004377000.0","5473.650000000001"
"12004810500.0","5473.525"
"13005319500.0","5471.900000000001"
"14005769250.0","5472.1"
"15006147500.0","5470.875"
"16006653750.0","5472.325"
"17007054000.0","5475.475"
"18007614500.0","5476.6"
"19008042250.0","5477.0"
"20008693500.0","5478.625"
"21009215750.0","5478.25"
"22009611000.0","5478.375"
"23010094000.0","5478.775000000001"
"24010529500.0","5479.874999999999"
"25010889500.0","5477.825000000001"
"26011486250.0","5484.525"
"27011930000.0","5487.175"
"28012462250.0","5476.725"
"29012985000.0","5472.65"
"30013351000.0","5472.125000000001"
"31013941750.0","5472.325000000001"
"32014408250.0","5475.224999999999"
"33014851250.0","5472.549999999999"
"34015270750.0","5471.799999999999"
"35015601000.0","5474.675"
"36016134250.0","5473.65"
"37016594750.0","5470.075"
"38017108000.0","5474.3"
"39017608250.0","5475.325000000001"
"40017946250.0","5475.675"
"41018491750.0","5477.7"
"42018859000.0","5477.225"
"43019324750.0","5474.400000000001"
"44019737500.0","5474.075000000001"
"45020048000.0","5472.225"
"46020675500.0","5476.625"
"47021060750.0","5474.025"
"48021545250.0","5475.124999999999"
"49022005750.0","5475.549999999999"
"50022265500.0","5474.0"
"51022763750.0","5477.799999999999"
"52023179500.0","5476.299999999999"
"53023799750.0","5475.0"
"54024319250.0","5474.125"
"55024732750.0","5473.474999999999"
"56025200500.0","5472.4"
"57025651250.0","5473.0"
"58026088000.0","5474.85"
"59026536750.0","5472.575"
"60026851000.0","5472.224999999999"
"61027361500.0","5474.999999999999"
"62027799250.0","5476.349999999999"
"63028341500.0","5475.35"
"64028823750.0","5474.25"
"65029280000.0","5474.875"
"66029748500.0","5475.325000000001"
"67030152000.0","5475.15"
"68030613750.0","5474.25"
"69031111250.0","5475.425"
"70031488750.0","5473.375"
"71031985000.0","5474.674999999999"
"72032426500.0","5473.099999999999"
"73032884250.0","5476.25"
"74033391750.0","5474.95"
"75033724500.0","5477.025"
"76034238250.0","5478.775"
"77034670500.0","5476.475"
"78035137750.0","5476.624999999999"
"79035560500.0","5473.85"
"80035959250.0","5475.625"
"81036503500.0","5476.825000000001"
"82036964500.0","5472.95"
"83037440000.0","5477.375"
"84037969250.0","5477.424999999999"
"85038320000.0","5476.200000000001"
"86038891750.0","5478.725"
"87039345000.0","5482.049999999999"
"88039888750.0","5483.674999999999"
"89040331500.0","5479.175"
"90040704500.0","5478.325000000001"
"91041245750.0","5477.35"
"92041717000.0","5481.925"
"93042187500.0","5482.625"
"94042735500.0","5482.8"
"95043173750.0","5480.0"
"96043644500.0","5478.325"
"97044047750.0","5478.65"
"98044597250.0","5481.6"
"99045059000.0","5481.849999999999"
"100045447000.0","5478.55"
"101045990000.0","5479.125"
"102046391500.0","5488.225"
"103046970250.0","5483.875"
"104047790250.0","5485.9"
"105048175750.0","5481.1"
"106048748750.0","5480.675"
"107049124250.0","5480.549999999999"
"108049602250.0","5478.924999999999"
"109050108500.0","5482.25"
"110050518000.0","5479.599999999999"
"111051004250.0","5478.275000000001"
"112051483250.0","5484.099999999999"
"113051951750.0","5484.125"
"114052356000.0","5481.9"
"115052834750.0","5483.125"
"116053392000.0","5484.85"
"117053828000.0","5483.475"
"118054314000.0","5484.075000000001"
"119054744000.0","5485.375"
"120055203750.0","5483.625"
"121055787250.0","5490.475"
"122056093250.0","5486.424999999999"
"123056764000.0","5484.7"
"124057331250.0","5484.4"
"125057733500.0","5481.6"
"126058289750.0","5482.8"
"127058719750.0","5479.999999999999"
"128059121000.0","5482.25"
"129059642000.0","5484.950000000001"
"130059992500.0","5479.25"
"131060470250.0","5481.225"
"132060844250.0","5481.375"
"133061180250.0","5481.825"
"134061633750.0","5487.975"
"135062064000.0","5486.525000000001"
"136062577500.0","5486.7"
"137063021250.0","5485.05"
"138063439750.0","5485.9"
"139063968500.0","5490.200000000001"
"140064370000.0","5490.65"
"141064791250.0","5491.125"
"142065168750.0","5492.775"
"143065571000.0","5491.025"
"144066054250.0","5491.225"
"145066387750.0","5487.950000000001"
"146066874750.0","5488.625"
"147067288000.0","5486.35"
"148067870000.0","5489.975"
"149068403500.0","5489.999999999999"
"150068815750.0","5489.6"
"151069306500.0","5489.35"
"152069703750.0","5486.150000000001"
"153070195250.0","5479.575"
"154070717000.0","5484.424999999999"
"155071123000.0","5482.725"
"156071524000.0","5483.875"
"157071912000.0","5482.925"
"158072383500.0","5484.95"
"159072845250.0","5483.725"
"160073315250.0","5485.924999999999"
"161073767000.0","5483.025"
"162074151500.0","5482.7"
"163074585750.0","5484.075000000001"
"164075034250.0","5485.6"
"165075464500.0","5486.0"
"166075940250.0","5485.925"
"167076349250.0","5488.825000000001"
"168076817000.0","5489.800000000001"
"169077262500.0","5489.450000000001"
"170078564750.0","5498.425"
"171078949000.0","5492.4"
"172079416250.0","5490.575000000001"
"173079879500.0","5490.85"
"174080349500.0","5492.15"
"175080749250.0","5489.675"
"176081185500.0","5491.9"
"177081588750.0","5491.1"
"178081802750.0","5489.450000000001"
"179082303250.0","5492.9"
"180082624750.0","5494.85"
"181083019000.0","5492.875"
"182083481250.0","5485.4"
"183083919000.0","5487.5"
"184084459000.0","5492.450000000001"
"185084953750.0","5492.275"
"186085331500.0","5489.775"
"187085779250.0","5490.85"
"188086291250.0","5490.425"
"189086772000.0","5493.874999999999"
"190087123000.0","5491.5"
"191087570250.0","5489.474999999999"
"192088029750.0","5490.4"
"193088511750.0","5489.25"
"194089048750.0","5489.549999999999"
"195089507500.0","5489.674999999999"
"196089972500.0","5489.35"
"197090440000.0","5483.75"
"198090948000.0","5485.475"
"199091449500.0","5486.125"
"200091870000.0","5484.924999999999"
"201092296000.0","5485.25"
"202092743000.0","5482.500000000001"
"203093190500.0","5481.95"
"204093607250.0","5480.0"
"205094044750.0","5482.675"
"206094431500.0","5483.525"
"207094953000.0","5477.4"
"208095363250.0","5480.625"
"209095868000.0","5479.675"
"210096302500.0","5477.750000000001"
"211096716000.0","5478.8"
"212097128750.0","5478.55"
"213097608000.0","5481.575000000001"
"214098111500.0","5479.7"
"215098445750.0","5484.925"
"216098782000.0","5484.3"
"217099224750.0","5478.374999999999"
"218099637750.0","5480.225"
"219100186750.0","5481.075"
"220100623500.0","5478.25"
"221100970750.0","5475.25"
"222101429250.0","5477.0"
"223101877000.0","5470.250000000001"
"224102265250.0","5473.425"
"225102753250.0","5476.549999999999"
"226103132250.0","5472.575000000001"
"227103519250.0","5474.325000000001"
"228103970500.0","5471.799999999999"
"229104504500.0","5476.775"
"230104941750.0","5475.375"
"231105363750.0","5475.150000000001"
"232105816750.0","5477.85"
"233106258000.0","5478.174999999999"
"234106746000.0","5477.625"
"235107266000.0","5479.05"
"236107630250.0","5480.75"
"237108169250.0","5485.250000000001"
"238108637000.0","5484.875"
"239109129500.0","5481.5"
"240109549750.0","5482.225"
"241109869000.0","5481.625"
"242110379500.0","5484.425"
"243110812750.0","5483.825"
"244111228500.0","5482.15"
"245111624000.0","5482.249999999999"
"246111996250.0","5480.9"
"247112466500.0","5482.975"
"248112875750.0","5480.75"
"249113366750.0","5480.225"
"250113679500.0","5481.075"
"251114148750.0","5477.725"
"252114501750.0","5479.6"
