Time (ns),Variation (uJ)
"1000536500.0","2310.425"
"2001296500.0","2316.725"
"3002037250.0","2320.8250000000003"
"4002924000.0","2352.65"
"5003608000.0","2323.575"
"6004630750.0","2325.925"
"7005555750.0","2325.925"
"8006393000.0","2324.125"
"9007351500.0","2323.8"
"10008124750.0","2322.25"
"11009067000.0","2323.0249999999996"
"12009920500.0","2323.05"
"13010681250.0","2325.5249999999996"
"14011530500.0","2325.6000000000004"
"15012196250.0","2324.45"
"16013165250.0","2326.15"
"17013991000.0","2324.725"
"18014834250.0","2324.825"
"19015708500.0","2325.925"
"20016371000.0","2355.2"
"21017319500.0","2327.75"
"22018144750.0","2327.2"
"23018883250.0","2326.7250000000004"
"24019791250.0","2325.175"
"25020447750.0","2318.3"
"26021408000.0","2317.55"
"27022246250.0","2318.5"
"28023133250.0","2320.575"
"29024042500.0","2323.15"
"30024725250.0","2317.0249999999996"
"31025720250.0","2319.05"
"32026527500.0","2319.075"
"33027349500.0","2318.05"
"34028222500.0","2317.15"
"35028872500.0","2317.0"
"36029898000.0","2355.05"
"37030781000.0","2327.675"
"38031576750.0","2327.2"
"39032495500.0","2327.25"
"40033205000.0","2326.2749999999996"
"41034190000.0","2327.375"
"42035047250.0","2326.5"
"43035816500.0","2327.4"
"44036701750.0","2328.125"
"45037518750.0","2328.475"
"46038438000.0","2328.65"
"47039325750.0","2328.125"
"48040189000.0","2327.225"
"49041087750.0","2327.425"
"50041745000.0","2328.625"
"51042758250.0","2329.65"
"52043686000.0","2358.275"
"53044537500.0","2322.9"
"54045373250.0","2322.95"
"55046110750.0","2323.85"
"56047047500.0","2327.725"
"57047921250.0","2326.475"
"58048773250.0","2324.225"
"59049685250.0","2321.275"
"60050409250.0","2321.1000000000004"
"61051376750.0","2323.5249999999996"
"62052276250.0","2323.25"
"63053091000.0","2318.9"
"64054041750.0","2317.65"
"65054792000.0","2318.8"
"66055782750.0","2323.75"
"67056656500.0","2325.325"
"68057482000.0","2355.05"
"69058385250.0","2331.075"
"70059127000.0","2328.725"
"71060162500.0","2329.575"
"72061051250.0","2328.3999999999996"
"73061821750.0","2321.95"
"74062764500.0","2322.5"
"75063516500.0","2324.8500000000004"
"76064546750.0","2323.575"
"77065423250.0","2325.3999999999996"
"78066271000.0","2325.85"
"79067269500.0","2326.45"
"80068035750.0","2326.175"
"81069053000.0","2328.275"
"82069890000.0","2328.55"
"83070613000.0","2323.8999999999996"
"84071479250.0","2352.6"
"85072201500.0","2325.825"
"86073155250.0","2330.375"
"87074024000.0","2330.0"
"88074815500.0","2329.275"
"89075761250.0","2328.625"
"90076466000.0","2327.775"
"91077455500.0","2328.6"
"92078337750.0","2328.5249999999996"
"93079179000.0","2328.2"
"94080093000.0","2328.0"
"95080751500.0","2327.775"
"96081706500.0","2328.3"
"97082604500.0","2327.875"
"98083320500.0","2328.225"
"99084217750.0","2323.8"
"100084955750.0","2351.8"
"101085913500.0","2321.175"
"102086768000.0","2319.6"
"103087563750.0","2323.4"
"104088434000.0","2325.95"
"105089140500.0","2326.825"
"106090081750.0","2325.825"
"107090883250.0","2323.8"
"108091693750.0","2318.45"
"109092600000.0","2322.3"
"110093290750.0","2321.975"
"111094309000.0","2323.4500000000003"
"112095218250.0","2322.95"
"113096030250.0","2322.625"
"114096939750.0","2319.175"
"115097693750.0","2319.525"
"116098656000.0","2353.125"
"117099488000.0","2325.2"
"118100279500.0","2325.975"
"119101287250.0","2325.2"
"120101981250.0","2324.25"
"121102960750.0","2324.55"
"122103868250.0","2320.825"
"123104711500.0","2319.3"
"124105655500.0","2322.125"
"125106357000.0","2319.7"
"126107333500.0","2320.2749999999996"
"127108182500.0","2319.8250000000003"
"128108984250.0","2319.625"
"129109861250.0","2318.675"
"130110691000.0","2319.2"
"131111714750.0","2320.05"
"132112616250.0","2349.475"
"133113437750.0","2319.25"
"134114324250.0","2320.25"
"135115076000.0","2323.6"
"136116055500.0","2324.6"
"137116939500.0","2325.075"
"138117922750.0","2325.0"
"139118882250.0","2324.8999999999996"
"140119689250.0","2324.35"
"141120686500.0","2325.425"
"142121585500.0","2325.5249999999996"
"143122388500.0","2323.9"
"144123382250.0","2323.5"
"145124196500.0","2323.4"
"146125167500.0","2324.525"
"147126047750.0","2324.375"
"148126860250.0","2350.5"
"149127797250.0","2325.7999999999997"
"150128505250.0","2325.8"
"151129569500.0","2327.35"
"152130496250.0","2327.2250000000004"
"153131385250.0","2326.625"
"154132405500.0","2324.55"
"155133190750.0","2324.475"
"156134230250.0","2325.325"
"157135212500.0","2326.675"
"158136030500.0","2326.275"
"159137072750.0","2326.175"
"160137764500.0","2327.2"
"161138739750.0","2329.05"
"162139601500.0","2328.95"
"163140385500.0","2329.75"
"164141327000.0","2358.725"
"165142009500.0","2331.125"
"166142996250.0","2333.175"
"167143908000.0","2334.45"
"168144762500.0","2334.125"
"169145759750.0","2334.8500000000004"
"170146496250.0","2333.425"
"171147599250.0","2333.4750000000004"
"172148466000.0","2333.8999999999996"
"173149309250.0","2333.25"
"174150213000.0","2333.175"
"175150895000.0","2328.75"
"176151892000.0","2328.475"
"177152812000.0","2329.525"
"178153503250.0","2328.3250000000003"
"179154397750.0","2328.2"
"180155184250.0","2358.525"
"181156109000.0","2331.3"
"182157071000.0","2334.9"
"183157871750.0","2334.925"
"184158823500.0","2336.6"
"185159565250.0","2336.7"
"186160494500.0","2336.45"
"187161324500.0","2336.575"
"188162101750.0","2334.05"
"189162945000.0","2330.525"
"190163700000.0","2330.725"
"191164647750.0","2333.975"
"192165496250.0","2336.8"
"193166316500.0","2340.45"
"194167220000.0","2341.325"
"195167889250.0","2342.3"
"196168827250.0","2371.5"
"197169728000.0","2339.3999999999996"
"198170545750.0","2344.425"
"199171493250.0","2346.15"
"200172184500.0","2346.675"
"201173087750.0","2348.3"
"202173857250.0","2349.5249999999996"
"203174598250.0","2351.325"
"204175471000.0","2349.6"
"205176127000.0","2341.85"
"206177042250.0","2343.25"
"207177882750.0","2345.6"
"208178658250.0","2343.5"
"209179559000.0","2345.575"
"210180275500.0","2342.4"
"211181178250.0","2342.225"
"212182048250.0","2372.05"
"213182891250.0","2349.6"
"214183794500.0","2351.6"
"215184396000.0","2350.375"
"216185468750.0","2352.675"
"217186281750.0","2347.125"
"218187120750.0","2347.0"
"219187933500.0","2346.275"
"220188581500.0","2344.025"
"221189543000.0","2343.425"
"222190391000.0","2341.85"
