Time (ns),Variation (uJ)
"1000204500.0","1169.95"
"2000528250.0","1168.075"
"3001078250.0","1197.45"
"4001531250.0","1167.175"
"5001871500.0","1168.6"
"6002496500.0","1172.1"
"7003169250.0","1189.9499999999998"
"8003643750.0","1177.65"
"9004079750.0","1172.55"
"10004455250.0","1176.125"
"11005062750.0","1177.1999999999998"
"12005485000.0","1176.125"
"13005888750.0","1176.4"
"14006203250.0","1176.65"
"15006530500.0","1174.275"
"16007062500.0","1172.325"
"17007479000.0","1171.625"
"18007955750.0","1174.55"
"19008312000.0","1201.75"
"20008681000.0","1174.2"
"21009247500.0","1174.4"
"22009618750.0","1173.525"
"23010119000.0","1174.075"
"24010470500.0","1195.975"
"25010814000.0","1170.475"
"26011361000.0","1168.05"
"27011763750.0","1169.4"
"28012237250.0","1169.65"
"29012572000.0","1167.825"
"30012893000.0","1166.35"
"31013494250.0","1165.15"
"32013938250.0","1164.025"
"33014519750.0","1166.475"
"34014830000.0","1165.575"
"35015122500.0","1193.425"
"36015669500.0","1164.075"
"37016061250.0","1163.5"
"38016585750.0","1164.3000000000002"
"39016915250.0","1165.575"
"40017297250.0","1193.0"
"41017848500.0","1165.15"
"42018246250.0","1165.325"
"43018792250.0","1166.175"
"44019122000.0","1165.175"
"45019478500.0","1164.6"
"46019995250.0","1164.9"
"47020385250.0","1165.1499999999999"
"48020952750.0","1167.0500000000002"
"49021253750.0","1168.75"
"50021597750.0","1172.15"
"51022055250.0","1199.325"
"52022451750.0","1170.5"
"53023030750.0","1169.975"
"54023372500.0","1169.85"
"55023816000.0","1170.675"
"56024356250.0","1202.225"
"57024728000.0","1171.4"
"58025344000.0","1171.8249999999998"
"59025717250.0","1171.575"
"60026116250.0","1171.45"
"61026691750.0","1172.3999999999999"
"62027173000.0","1176.425"
"63027621250.0","1177.8"
"64027946000.0","1174.425"
"65028338250.0","1174.475"
"66028900000.0","1174.8249999999998"
"67029322500.0","1205.3249999999998"
"68029901250.0","1180.5"
"69030220000.0","1174.525"
"70030580000.0","1174.475"
"71031132000.0","1172.35"
"72031552750.0","1202.725"
"73032101250.0","1171.75"
"74032480500.0","1171.7"
"75032867500.0","1171.0500000000002"
"76033473250.0","1171.4250000000002"
"77033817500.0","1170.95"
"78034343500.0","1170.925"
"79034761000.0","1171.475"
"80035163500.0","1170.925"
"81035778750.0","1171.5749999999998"
"82036170500.0","1172.0"
"83036685250.0","1201.65"
"84037061000.0","1172.8500000000001"
"85037502000.0","1173.1999999999998"
"86038064250.0","1172.875"
"87038431500.0","1173.975"
"88039015250.0","1200.975"
"89039422750.0","1171.625"
"90039834500.0","1174.5"
"91040392000.0","1175.475"
"92040757250.0","1178.625"
"93041283000.0","1180.1"
"94041720250.0","1173.55"
"95042087000.0","1166.65"
"96042642750.0","1166.2"
"97043027250.0","1165.775"
"98043596750.0","1165.1"
"99044002000.0","1193.3999999999999"
"100044398000.0","1166.3000000000002"
"101045048750.0","1165.65"
"102045383250.0","1165.45"
"103045864000.0","1165.9"
"104046254250.0","1199.275"
"105046578750.0","1170.1"
"106047121250.0","1170.025"
"107047518000.0","1169.975"
"108048032500.0","1171.4750000000001"
"109048436750.0","1171.8"
"110048840750.0","1173.0"
"111049459750.0","1172.875"
"112049929750.0","1172.45"
"113050469500.0","1172.875"
"114050920750.0","1172.35"
"115051323750.0","1200.325"
"116051862500.0","1168.725"
"117052224750.0","1167.8"
"118052787250.0","1168.8"
"119053212500.0","1170.3999999999999"
"120053616250.0","1200.125"
"121054160750.0","1171.325"
"122054623250.0","1174.4"
"123055183750.0","1170.95"
"124055625500.0","1174.9499999999998"
"125056026500.0","1176.725"
"126056640750.0","1177.0"
"127057073750.0","1176.8000000000002"
"128057588500.0","1178.275"
"129057938750.0","1176.825"
"130058327500.0","1175.775"
"131058910000.0","1204.175"
"132059270000.0","1179.025"
"133059781250.0","1179.6750000000002"
"134060131000.0","1179.4750000000001"
"135060511500.0","1179.575"
"136061000750.0","1206.375"
"137061306250.0","1179.45"
"138061803500.0","1179.675"
"139062234000.0","1175.15"
