Time (ns),Variation (uJ)
"1000127500.0","1889.4"
"2000368250.0","1898.0000000000002"
"3000695750.0","1901.1"
"4001015000.0","1902.2999999999997"
"5001343750.0","1934.85"
"6001916500.0","1903.15"
"7002326000.0","1904.2"
"8002737000.0","1903.1000000000001"
"9003150250.0","1903.75"
"10003436750.0","1903.8"
"11003909000.0","1904.7000000000003"
"12004339500.0","1906.3999999999999"
"13004790500.0","1905.275"
"14005135000.0","1905.025"
"15005379500.0","1904.275"
"16005944000.0","1903.9249999999997"
"17006299500.0","1903.65"
"18006801000.0","1903.625"
"19007116500.0","1903.5"
"20007481500.0","1904.1750000000002"
"21007981500.0","1936.55"
"22008335250.0","1904.95"
"23008892250.0","1905.3"
"24009162500.0","1904.0500000000002"
"25009418750.0","1903.55"
"26009997750.0","1903.3999999999999"
"27010420250.0","1903.8"
"28010825750.0","1903.0749999999998"
"29011201000.0","1903.0"
"30011540000.0","1903.275"
"31012070000.0","1905.225"
"32012410750.0","1904.6999999999998"
"33012918750.0","1905.0"
"34013243250.0","1904.85"
"35013543000.0","1904.675"
"36014024500.0","1904.6"
"37014411000.0","1933.675"
"38014863000.0","1904.15"
"39015260500.0","1902.425"
"40015646250.0","1901.7749999999999"
"41016223250.0","1902.825"
"42016555750.0","1901.375"
"43016980250.0","1902.25"
"44017246750.0","1901.65"
"45017531500.0","1901.675"
"46018028000.0","1902.125"
"47018365750.0","1901.8"
"48018862000.0","1902.425"
"49019210500.0","1901.6499999999999"
"50019491250.0","1902.475"
"51020014500.0","1903.275"
"52020387500.0","1899.525"
"53020786250.0","1921.4"
"54021068750.0","1897.6999999999998"
"55021377000.0","1899.975"
"56021888500.0","1902.1750000000002"
"57022305000.0","1902.7749999999999"
"58022724000.0","1903.3"
"59023125000.0","1903.5"
"60023405250.0","1900.275"
"61023883000.0","1901.1"
"62024218500.0","1901.025"
"63024581250.0","1901.8000000000002"
"64024971000.0","1902.1000000000001"
"65025283250.0","1901.875"
"66025845500.0","1903.25"
"67026262250.0","1903.525"
"68026644250.0","1904.025"
"69027129000.0","1934.175"
"70027469250.0","1905.325"
"71028030250.0","1906.2"
"72028368750.0","1905.975"
"73028804250.0","1907.7250000000001"
"74029127750.0","1909.5"
"75029385000.0","1911.025"
"76029844500.0","1911.375"
"77030205250.0","1911.3249999999998"
"78030678250.0","1911.675"
"79031000750.0","1910.75"
"80031299250.0","1911.675"
"81031899750.0","1911.95"
"82032274500.0","1911.875"
"83032663000.0","1911.45"
"84032969750.0","1912.35"
"85033224500.0","1941.5"
"86033685750.0","1912.4"
"87034060500.0","1912.15"
