Time (ns),Variation (uJ)
"999980250.0","15122.475"
"2000293000.0","15120.875"
"3000521250.0","15121.800000000001"
"4001151250.0","15131.875"
"5001336250.0","15126.95"
"6001754500.0","15131.775000000001"
"7001984750.0","15128.25"
"8002262500.0","15130.475"
"9002511750.0","15130.850000000002"
"10003067750.0","15145.525"
"11003410000.0","15141.375"
"12003698750.0","15142.325"
"13003931250.0","15139.775000000001"
"14004149500.0","15140.949999999999"
"15004358250.0","15139.849999999999"
"16004688000.0","15062.074999999999"
"17004987000.0","15140.2"
"18005276250.0","15142.55"
"19005520750.0","15143.524999999998"
"20005675250.0","15142.599999999999"
"21006004250.0","15149.875"
"22006287500.0","15144.85"
"23006535000.0","15148.275"
"24006949500.0","15145.9"
"25007214500.0","15141.5"
"26007521500.0","15144.225"
"27007831000.0","15170.75"
"28008033000.0","15183.275"
"29008232500.0","15143.099999999999"
"30008442250.0","15147.025000000001"
"31008778250.0","15151.375"
"32008987750.0","15062.85"
"33009178000.0","15147.224999999999"
"34009395500.0","15153.55"
"35009640000.0","15151.724999999999"
"36009959250.0","15153.774999999998"
"37010197000.0","15153.125"
"38010425500.0","15154.125"
"39010629750.0","15153.124999999998"
"40010840500.0","15150.65"
"41011214500.0","15154.95"
"42011462500.0","15150.925000000001"
"43011670500.0","15154.1"
"44011982000.0","15156.449999999999"
"45012267000.0","15152.3"
"46012559750.0","15150.1"
"47012912750.0","15147.3"
"48013977250.0","15084.7"
"49014320750.0","15150.625"
"50014604250.0","15145.275"
"51014972500.0","15148.55"
"52015205000.0","15144.325"
"53015427750.0","15150.199999999999"
"54015764750.0","15152.275"
"55016061500.0","15146.525"
"56016388000.0","15146.975"
"57016680500.0","15145.724999999999"
"58016939250.0","15146.75"
"59017195000.0","15139.575"
"60017486750.0","15142.0"
"61017769000.0","15142.175000000001"
"62018090000.0","15146.55"
"63018436000.0","15151.374999999998"
"64019078500.0","15079.8"
"65019333250.0","15155.075"
"66019724500.0","15153.45"
"67020107500.0","15152.325"
"68020395000.0","15149.875"
"69021576000.0","15165.1"
"70021829750.0","15151.2"
"71022158500.0","15151.6"
"72022432500.0","15146.775000000001"
"73022739250.0","15153.175"
"74023066750.0","15160.875"
"75023382500.0","15155.275000000001"
"76023902750.0","15152.600000000002"
"77024204750.0","15149.4"
"78024554500.0","15153.65"
"79024889750.0","15157.375"
"80025169750.0","15073.45"
"81025438000.0","15145.7"
"82025721000.0","15145.325"
"83026015000.0","15143.55"
"84026315750.0","15151.025"
"85026612750.0","15162.0"
"86026902000.0","15173.125"
"87027180250.0","15162.25"
"88027506750.0","15158.650000000001"
"89027825500.0","15162.724999999999"
"90028094500.0","15162.699999999999"
"91028406750.0","15161.45"
"92028721750.0","15158.275000000001"
"93029004500.0","15154.025000000001"
"94029312500.0","15160.724999999999"
"95029638000.0","15160.0"
"96029949250.0","15082.975"
"97030265250.0","15157.125"
"98030574000.0","15155.9"
"99030921000.0","15158.4"
"100031201500.0","15175.175"
"101031499250.0","15159.175"
"102031756000.0","15153.575"
"103032057000.0","15154.774999999998"
"104032350000.0","15156.775"
"105032682000.0","15159.25"
"106032933750.0","15155.625000000002"
"107033178000.0","15153.95"
"108033511000.0","15155.95"
"109033760250.0","15155.95"
"110034042250.0","15160.125"
"111034319750.0","15158.075"
"112034528500.0","15080.95"
"113034841250.0","15160.9"
"114035432500.0","15165.625"
"115035749500.0","15165.85"
"116036057750.0","15167.425"
"117036331000.0","15160.925"
"118036614500.0","15158.55"
"119036890750.0","15159.95"
"120037161250.0","15159.5"
"121037394250.0","15162.474999999999"
"122037706750.0","15157.65"
"123038021500.0","15158.8"
"124038291750.0","15156.375"
"125038539250.0","15148.724999999999"
"126038785750.0","15153.275"
"127039082750.0","15145.8"
"128039376250.0","15066.9"
"129039668750.0","15147.625"
"130039931250.0","15147.45"
"131040203000.0","15151.3"
"132040526000.0","15148.625"
"133040832000.0","15151.625"
"134041130500.0","15148.7"
"135041388000.0","15147.0"
"136041729750.0","15152.675"
"137041991750.0","15149.875"
"138042241000.0","15145.275"
"139042535750.0","15145.3"
"140042809750.0","15148.175"
"141043041250.0","15163.75"
"142043352000.0","15151.925000000001"
"143043671750.0","15145.349999999999"
"144043969000.0","15066.625"
"145044261000.0","15153.025000000001"
"146044573750.0","15148.1"
"147044859250.0","15149.575"
"148045094750.0","15145.75"
"149045592250.0","15151.85"
"150045920500.0","15150.825"
"151046183250.0","15150.225000000002"
"152046515000.0","15151.124999999998"
"153046746500.0","15147.675"
"154046977750.0","15150.45"
"155047328000.0","15147.749999999998"
"156047634000.0","15151.9"
"157047977000.0","15153.849999999999"
"158048234250.0","15147.000000000002"
"159048548750.0","15155.0"
"160048939000.0","15072.825"
"161049229750.0","15151.475"
"162049517500.0","15152.475"
"163049790750.0","15139.95"
"164050044500.0","15140.875"
"165050293000.0","15138.475"
"166050593000.0","15144.55"
"167050914750.0","15145.400000000001"
"168051120250.0","15140.1"
"169051368000.0","15142.85"
"170051724250.0","15145.925"
"171051962250.0","15145.175"
"172052325000.0","15146.474999999999"
"173052621250.0","15144.474999999999"
"174052851750.0","15141.225"
"175053201750.0","15141.95"
"176053480750.0","15062.925"
"177053768000.0","15146.275000000001"
"178053987500.0","15146.775"
"179054281250.0","15151.900000000001"
"180054562500.0","15148.175"
"181054899750.0","15148.724999999999"
"182055259750.0","15149.800000000001"
"183055413000.0","15149.925000000001"
"184055711500.0","15147.3"
"185056069750.0","15155.849999999999"
"186056329750.0","15160.099999999999"
