Time (ns),Variation (uJ)
"999919250.0","2377.775"
"2000124000.0","2383.65"
"3000440000.0","2400.575"
"4000731500.0","2378.175"
"5000846250.0","2382.0"
"6001219250.0","2394.075"
"7001432000.0","2395.6499999999996"
"8001738750.0","2412.925"
"9001947250.0","2402.275"
"10002015750.0","2413.9"
"11002304250.0","2421.125"
"12002475750.0","2415.5249999999996"
"13002728750.0","2467.9"
"14002949500.0","2401.45"
"15003100750.0","2397.5"
"16003391250.0","2406.675"
"17003593250.0","2390.525"
"18003881000.0","2424.625"
"19004081250.0","2387.3"
"20004174500.0","2383.95"
"21004465750.0","2397.1"
"22004716000.0","2385.25"
"23005014750.0","2421.25"
"24005156000.0","2384.175"
"25005206500.0","2385.05"
"26005480750.0","2401.925"
"27005675500.0","2383.3500000000004"
"28005932250.0","2408.475"
"29006110750.0","2437.125"
"30006227000.0","2383.75"
"31006490500.0","2398.4"
"32006755500.0","2385.675"
"33007109000.0","2399.0"
"34007322250.0","2409.825"
"35007477500.0","2386.2"
"36007769500.0","2398.7250000000004"
"37008010750.0","2386.225"
"38008338250.0","2398.7"
"39008548500.0","2411.425"
"40008660000.0","2385.8"
"41009009000.0","2399.375"
"42009216500.0","2386.95"
"43009549250.0","2401.8500000000004"
"44009751500.0","2416.075"
"45009827250.0","2434.025"
"46010176000.0","2404.4750000000004"
"47010406750.0","2391.325"
"48010665000.0","2403.375"
"49010868000.0","2403.9"
"50011009750.0","2402.325"
"51011371250.0","2405.675"
"52012596000.0","2395.45"
"53012907250.0","2404.825"
"54013106250.0","2405.525"
"55013235750.0","2405.0"
"56013589750.0","2405.5750000000003"
"57013785000.0","2392.625"
"58014073250.0","2409.5250000000005"
"59014292000.0","2411.775"
"60014387250.0","2411.35"
"61014782000.0","2452.975"
"62015030750.0","2395.85"
"63015320750.0","2408.325"
"64015515750.0","2406.725"
"65015631750.0","2395.45"
"66015979250.0","2419.2000000000003"
"67016160000.0","2396.0"
"68016431250.0","2408.1"
"69016653750.0","2408.9"
"70016787500.0","2395.95"
"71017198000.0","2421.6"
"72017429500.0","2401.05"
"73017815750.0","2414.45"
"74017976250.0","2413.9"
"75018087250.0","2402.325"
"76018384750.0","2423.9500000000003"
"77018562500.0","2451.475"
"78018846250.0","2414.8"
"79019072250.0","2414.35"
"80019233000.0","2402.35"
"81019591250.0","2402.2"
"82019828000.0","2426.525"
"83020095250.0","2418.025"
"84020306750.0","2425.2"
"85020423250.0","2416.525"
"86020796250.0","2417.2749999999996"
"87020968000.0","2446.6499999999996"
"88021216000.0","2446.3999999999996"
"89021426750.0","2453.225"
"90021536750.0","2448.35"
