Time (ns),Variation (uJ)
"1000196750.0","2234.425"
"2000590750.0","2244.825"
"3000904750.0","2248.8999999999996"
"4001217750.0","2250.0"
"5001496000.0","2250.925"
"6002038500.0","2251.25"
"7002345500.0","2253.275"
"8002798000.0","2255.775"
"9003172000.0","2257.5"
"10003464250.0","2258.25"
"11003932750.0","2258.9750000000004"
"12004309750.0","2254.675"
"13004743500.0","2254.25"
"14005113250.0","2252.45"
"15005432500.0","2248.675"
"16005987750.0","2247.95"
"17006366750.0","2244.775"
"18006728500.0","2243.075"
"19007109000.0","2241.4"
"20007329500.0","2242.325"
"21007876750.0","2245.025"
"22008268000.0","2246.95"
"23008689250.0","2245.85"
"24009050750.0","2246.525"
"25009287250.0","2247.825"
"26009831750.0","2248.575"
"27010145250.0","2246.725"
"28010469000.0","2245.2250000000004"
"29010714750.0","2244.625"
"30010902750.0","2244.575"
"31011362250.0","2245.05"
"32011676500.0","2244.8"
"33012100750.0","2245.225"
"34012409750.0","2245.875"
"35012651250.0","2245.9"
"36013158750.0","2246.525"
"37013349000.0","2246.125"
"38013750250.0","2244.15"
"39014078500.0","2243.525"
"40014328000.0","2243.325"
"41014772500.0","2242.625"
"42015031500.0","2242.225"
"43015357250.0","2244.3999999999996"
"44015710000.0","2249.3"
"45016017750.0","2253.95"
"46016537500.0","2257.25"
"47016814500.0","2258.975"
"48017197250.0","2259.1"
"49017547000.0","2261.675"
"50017731500.0","2261.25"
"51018313000.0","2261.15"
"52018679750.0","2258.9750000000004"
"53019055750.0","2258.35"
"54019470250.0","2256.95"
"55019726500.0","2257.525"
"56020163250.0","2261.0249999999996"
"57020474750.0","2261.375"
"58020800750.0","2261.925"
"59021138000.0","2262.625"
"60021421500.0","2263.3500000000004"
"61021952500.0","2264.1499999999996"
"62022289750.0","2264.375"
"63022658750.0","2262.225"
"64023067500.0","2256.175"
"65023346500.0","2256.675"
"66023905750.0","2256.925"
"67024189250.0","2257.8"
"68024585000.0","2256.325"
"69024879750.0","2254.05"
"70025128750.0","2255.575"
"71025587250.0","2256.7"
"72025945250.0","2255.5750000000003"
"73026309750.0","2255.15"
"74026712500.0","2253.475"
"75026953500.0","2253.925"
"76027374250.0","2255.15"
"77027751500.0","2255.1"
"78028089750.0","2256.025"
"79028414500.0","2256.75"
"80028636750.0","2256.625"
"81029141750.0","2257.25"
"82029460750.0","2261.6000000000004"
"83029911250.0","2264.0750000000003"
"84030234750.0","2261.925"
"85030502250.0","2258.55"
"86031097750.0","2259.0"
"87031443750.0","2258.85"
"88031886250.0","2260.1"
"89032258250.0","2259.725"
"90032550750.0","2260.45"
"91033148000.0","2261.2"
"92033510250.0","2261.8999999999996"
"93033936750.0","2262.85"
"94034393250.0","2263.525"
"95034782750.0","2265.025"
"96035275750.0","2266.1"
"97035538750.0","2265.3250000000003"
"98035900000.0","2265.75"
"99036268000.0","2266.2"
"100036485750.0","2266.625"
"101036968250.0","2268.25"
"102037378250.0","2269.175"
"103037758500.0","2268.225"
"104037979500.0","2268.7999999999997"
"105038268000.0","2272.95"
"106038778000.0","2273.75"
"107039111000.0","2273.7"
"108039520250.0","2274.15"
"109039877500.0","2274.8"
"110040175250.0","2275.975"
"111040670750.0","2270.4750000000004"
"112040999500.0","2263.5"
"113041441750.0","2265.1"
"114041767750.0","2266.475"
"115042004750.0","2265.35"
"116042507250.0","2266.15"
"117042826000.0","2264.875"
"118043253250.0","2264.425"
"119043516000.0","2262.925"
"120043833000.0","2259.05"
"121044293250.0","2252.925"
"122044635250.0","2254.3999999999996"
"123045002250.0","2257.0"
"124045437500.0","2257.9750000000004"
"125045715000.0","2258.95"
"126046242500.0","2256.325"
"127046549500.0","2251.675"
"128046840000.0","2257.55"
"129047251750.0","2264.85"
"130047526750.0","2269.15"
"131048006250.0","2272.8999999999996"
"132048398750.0","2274.775"
"133048806000.0","2279.25"
"134049222500.0","2281.65"
"135049526250.0","2288.525"
"136050047750.0","2294.95"
"137050386250.0","2299.9"
"138050721250.0","2300.375"
"139050989250.0","2297.425"
"140051261000.0","2295.95"
"141051665250.0","2297.325"
"142051985000.0","2301.45"
"143052407750.0","2309.325"
"144052711000.0","2312.375"
"145053046250.0","2308.85"
"146053567250.0","2308.25"
"147053856000.0","2308.975"
"148054221500.0","2309.125"
"149054578500.0","2309.275"
"150054922750.0","2305.8999999999996"
"151055468500.0","2305.575"
"152055854750.0","2304.5750000000003"
"153056283750.0","2303.55"
"154056578000.0","2302.15"
"155056913750.0","2302.1"
"156057341750.0","2301.1"
"157057656000.0","2299.55"
"158058053250.0","2298.3250000000003"
"159058389750.0","2301.125"
"160058612500.0","2296.35"
"161059080000.0","2295.525"
"162059440000.0","2295.175"
"163059726500.0","2294.325"
"164060039250.0","2294.75"
"165060261500.0","2294.6499999999996"
"166060780000.0","2296.025"
"167061042500.0","2294.2"
"168061423250.0","2295.275"
"169061783250.0","2294.425"
"170062027750.0","2294.0"
"171062486500.0","2293.1000000000004"
"172062767500.0","2291.625"
"173063094000.0","2291.75"
"174063438250.0","2291.1499999999996"
"175063677250.0","2290.475"
"176064116000.0","2289.55"
"177064469750.0","2288.6"
"178064752500.0","2289.125"
"179065151500.0","2290.7250000000004"
"180065307000.0","2290.85"
"181065757250.0","2291.925"
"182066078250.0","2291.95"
"183066418500.0","2292.525"
"184066770250.0","2293.8"
"185067057000.0","2293.6499999999996"
"186067564500.0","2295.125"
"187067892000.0","2293.65"
"188068201500.0","2293.75"
"189068489750.0","2293.8500000000004"
"190068697000.0","2293.375"
"191069179500.0","2295.975"
"192069518750.0","2294.5"
"193069943000.0","2294.4"
"194070264000.0","2293.95"
"195070563750.0","2292.875"
"196071014750.0","2293.325"
"197071319500.0","2292.225"
"198071693000.0","2292.3500000000004"
"199072039750.0","2292.15"
"200072275500.0","2296.55"
"201072682000.0","2297.925"
"202073018500.0","2295.5"
"203073392250.0","2292.5499999999997"
"204073750250.0","2291.125"
"205073970500.0","2291.8"
"206074391750.0","2292.1"
"207074667000.0","2292.25"
"208075074750.0","2292.1"
"209075406500.0","2294.95"
"210075684250.0","2294.3500000000004"
"211076165250.0","2296.0"
"212076447000.0","2294.25"
"213076811750.0","2294.3"
"214077197250.0","2294.3500000000004"
"215077258750.0","2292.875"
"216077809750.0","2293.05"
"217078122000.0","2291.925"
"218078482000.0","2291.0249999999996"
"219078876750.0","2290.925"
"220079155500.0","2291.25"
"221079579500.0","2291.025"
"222079839000.0","2291.125"
"223080115000.0","2291.7"
"224080371250.0","2292.8500000000004"
"225080621750.0","2294.2250000000004"
"226081188750.0","2294.375"
"227081375000.0","2292.625"
"228081749750.0","2292.65"
"229082109750.0","2291.9"
"230082379250.0","2292.4249999999997"
"231082902500.0","2297.375"
"232083190250.0","2298.1499999999996"
"233083566500.0","2299.3"
"234083891250.0","2299.45"
"235084156750.0","2300.15"
"236084651000.0","2300.05"
"237084889500.0","2300.075"
"238085320250.0","2300.2000000000003"
"239085682000.0","2300.25"
"240085759750.0","2299.975"
"241086402250.0","2297.55"
