Time (ns),Current (nA),Voltage (mV),Energy (uJ),Variation (uJ)
"1001035000","3749500","3587","13698.6","13698.6"
"2002466000","3822200","3588","27388.8","13690.2"
"3003871000","3758600","3589","41081.0","13692.2"
"4005055000","3829200","3590","54766.9","13685.9"
"5006714000","3775700","3592","68464.3","13697.4"
"6008118000","4582500","3590","82147.1","13682.8"
"7009565000","3805500","3591","95829.9","13682.8"
"8010968000","3805200","3589","109526.9","13697.0"
"9012381000","3803500","3591","123221.0","13694.1"
"10013761000","3796300","3587","136919.3","13698.3"
"11015172000","3768100","3588","150616.7","13697.4"
"12016639000","3781200","3592","164318.9","13702.2"
"13018049000","3778400","3591","178019.8","13700.9"
"14019460000","3745400","3592","191716.4","13696.6"
"15020919000","3768100","3588","205416.9","13700.5"
"16022280000","3791000","3587","219114.3","13697.4"
"17023673000","1969100","3585","232815.2","13700.9"
"18025114000","2966700","3585","246550.6","13735.4"
"19026566000","4054800","3590","260296.2","13745.6"
"20027990000","3756000","3594","273988.1","13691.9"
"21029379000","3829700","3593","287684.3","13696.2"
"22030801000","3774000","3586","301382.1","13697.8"
"23032220000","3766600","3592","315075.7","13693.6"
"24033689000","3821600","3591","328770.6","13694.9"
"25035085000","3856700","3593","342464.6","13694.0"
"26036490000","3792000","3588","356157.3","13692.7"
"27037935000","3831300","3589","369852.6","13695.3"
"28039397000","3825600","3589","383549.2","13696.6"
"29040966000","3810400","3592","397244.5","13695.3"
"30042376000","3828000","3589","410935.0","13690.5"
"31043787000","3818200","3591","424620.0","13685.0"
"32045262000","3792100","3589","438302.8","13682.8"
"33046846000","3767600","3590","451992.5","13689.7"
"34048247000","3768700","3590","465680.4","13687.9"
"35049608000","3790400","3591","479372.7","13692.3"
"36051088000","3790000","3590","493059.8","13687.1"
"37052388000","3801700","3590","506743.5","13683.7"
"38053917000","3763900","3590","520439.2","13695.7"
"39055335000","3794900","3589","534133.2","13694.0"
"40056750000","3769100","3586","547825.5","13692.3"
"41058175000","3817100","3590","561507.5","13682.0"
"42059574000","3767100","3588","575190.7","13683.2"
