Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"4990125000","1096100","3584","19683.0"
"9980499000","1089100","3581","39328.1"
"14970833000","1095800","3582","58949.4"
"19960729000","1090200","3580","78560.0"
"24950210000","1093800","3582","98177.2"
"29939713000","1091400","3581","117806.8"
"34927853000","1085400","3581","137410.6"
"39916939000","1090300","3578","157022.5"
"44905557000","1087900","3583","176632.4"
"49893933000","1084500","3580","196240.9"
"54882365000","1092200","3584","215884.0"
"59870101000","1085000","3583","235511.1"
"64857608000","1091800","3582","255138.3"
"69844706000","1085600","3580","274744.3"
"74831807000","1091500","3582","294357.3"
"79818891000","1092800","3582","313971.9"
"84804322000","1092300","3580","333577.6"
"89790881000","1096000","3582","353187.1"
"94777056000","1085300","3580","372796.7"
"99762076000","1092500","3581","392389.0"
"104747016000","1088500","3580","411989.2"
"109733391000","1100200","3577","431591.4"
"114717531000","1091800","3581","451178.6"
"119702134000","1097200","3583","470781.3"
"124686619000","1086500","3581","490381.9"
"129671139000","1092000","3580","509977.3"
"134655222000","1105000","3582","529590.0"
"139639018000","1091600","3581","549214.8"
"144622634000","1091900","3582","568853.4"
"149606023000","1085400","3582","588461.4"
"154589254000","1103900","3583","608100.4"
"159571713000","1096000","3581","627788.7"
"164553888000","1104200","3583","647477.9"
"169536174000","1100100","3583","667192.1"
"174517919000","1090300","3581","686861.0"
"179499291000","1096900","3581","706444.1"
"184480347000","1085800","3578","726031.5"
"189461460000","1090200","3582","745607.2"
"194442511000","1092300","3583","765173.1"
"199423077000","1097600","3580","784745.4"
"204403130000","1092700","3581","804403.6"
"209383145000","1092100","3582","823993.3"
"214362631000","1101400","3582","843547.1"
"219342122000","1089800","3583","863112.6"
"224321459000","1100500","3582","882670.4"
"229300631000","1093400","3578","902227.7"
"234279267000","1096800","3581","921797.2"
"239257865000","1094600","3579","941356.2"
"244236051000","1097100","3582","960909.3"
"249213326000","1108800","3582","980556.5"
"254189858000","1096500","3582","1000300.8"
"259165177000","1085300","3581","1019950.2"
"264145110000","1085200","3582","1039531.7"
"269121946000","1089800","3583","1059096.9"
"274098644000","1093200","3584","1078658.7"
"279074847000","1092300","3581","1098221.8"
"284051300000","1085600","3582","1117778.9"
"289026903000","1093000","3582","1137350.2"
"294002447000","1098400","3582","1156912.5"
"298977554000","1096000","3583","1176478.3"
"303952527000","1097200","3583","1196122.6"
"308926885000","1101000","3581","1215778.5"
"313901278000","1090100","3581","1235331.0"
"318875465000","1096700","3582","1254916.6"
"323848812000","1091300","3582","1274469.6"
"328822439000","1093100","3579","1294022.1"
"333795796000","1095900","3581","1313575.8"
"338768465000","1085600","3580","1333124.1"
"343741533000","1085300","3581","1352667.1"
"348714212000","1085500","3583","1372256.3"
"353686304000","1098800","3583","1391874.5"
"358658872000","1107600","3582","1411493.4"
"363630325000","1092800","3582","1431144.0"
"368601602000","1092300","3582","1450687.1"
"373573190000","1101300","3582","1470275.1"
"378544076000","1092800","3580","1489914.9"
"383515016000","1092400","3582","1509459.8"
"388485569000","1092000","3581","1529050.4"
"393455950000","1089800","3583","1548610.0"
"398425878000","1092400","3581","1568170.9"
"403395773000","1097600","3583","1587785.7"
"408365682000","1092700","3581","1607338.8"
"413335015000","1099900","3584","1626887.7"
"418304092000","1099600","3580","1646484.0"
"423273086000","1099800","3582","1666145.5"
"428241678000","1105800","3581","1685805.7"
"433210281000","1089500","3581","1705462.9"
"438178101000","1089700","3581","1725023.9"
"443145805000","1092600","3583","1744574.6"
"448113130000","1096500","3582","1764130.0"
"453080248000","1089300","3583","1783663.1"
"458047549000","1084900","3582","1803197.4"
"463014439000","1093500","3582","1822732.1"
"467981120000","1091100","3582","1842255.3"
"472947348000","1089500","3580","1861793.9"
"477912931000","1095400","3582","1881327.1"
"482878739000","1085000","3582","1900854.1"
"487844308000","1089500","3581","1920380.8"
"492809646000","1090600","3582","1939904.8"
"497774795000","1092200","3582","1959427.2"
"502739491000","1083000","3582","1978936.2"
"507704204000","1095900","3580","1998455.6"
"512668249000","1095800","3581","2017972.4"
"517632312000","1093200","3582","2037482.7"
"522596184000","1090700","3581","2056998.2"
"527559487000","1094900","3583","2076507.3"
"532522969000","1087900","3584","2096008.2"
"537485921000","1099600","3582","2115519.9"
"542448715000","1091700","3579","2135020.8"
"547411042000","1093000","3581","2154517.1"
"552373103000","1093200","3583","2174019.8"
"557335245000","1093100","3583","2193525.5"
"562296900000","1093300","3585","2213043.7"
"567258328000","1091300","3581","2232562.0"
"572219074000","1096300","3583","2252096.2"
"577179903000","1083800","3580","2271621.0"
"582140472000","1107600","3584","2291221.7"
"587100886000","1099300","3584","2310899.3"
"592060978000","1090000","3585","2330508.6"
"597020963000","1093200","3579","2350036.0"
