Time (ns),Current (nA),Voltage (mV),Energy (uJ),Variation (uJ)
"999585000","1488600","3582","5366.5","5366.5"
"1999398000","1500300","3581","10746.2","5379.7"
"2999609000","1489600","3580","16127.7","5381.5"
"3999372000","1498400","3579","21513.8","5386.1"
"4999195000","1501200","3581","26905.1","5391.3"
"5999300000","1494300","3579","32300.6","5395.5"
"6999244000","1500300","3578","37697.3","5396.7"
"7999421000","1493100","3579","43094.5","5397.2"
"8999313000","1491100","3581","48488.3","5393.8"
"9999131000","1508200","3583","53883.8","5395.5"
"10999316000","1490000","3581","59278.5","5394.7"
"11999223000","1502100","3581","64677.0","5398.5"
"12999261000","1502000","3579","70074.2","5397.2"
"13999248000","1502800","3582","75470.9","5396.7"
"14999177000","1499800","3581","80867.3","5396.4"
"15999270000","1509100","3580","86262.8","5395.5"
"16999243000","1499900","3581","91657.9","5395.1"
"17999392000","1501700","3580","97056.3","5398.4"
"18999305000","1509100","3580","102452.3","5396.0"
"20000304000","1509000","3580","107855.8","5403.5"
"21000345000","1501700","3580","113253.0","5397.2"
"22000356000","1501100","3579","118650.6","5397.6"
"23000126000","1500000","3579","124047.8","5397.2"
"24000274000","1494400","3581","129447.6","5399.8"
"25000126000","1492000","3581","134844.8","5397.2"
"26000222000","1519700","3581","140268.8","5424.0"
"27000244000","1511400","3580","145704.8","5436.0"
"28000157000","1500900","3581","151104.5","5399.7"
"29000591000","1488400","3580","156505.5","5401.0"
"30000384000","1509000","3580","161902.7","5397.2"
"31000507000","1507700","3581","167302.1","5399.4"
"32000606000","1500700","3578","172706.9","5404.8"
"33000454000","1500200","3583","178105.8","5398.9"
"34000446000","1500300","3580","183508.1","5402.3"
"35000440000","1489600","3580","188908.3","5400.2"
"36000534000","1493900","3580","194307.7","5399.4"
"37000502000","1492400","3582","199707.0","5399.3"
"38000335000","1501500","3579","205106.8","5399.8"
"39000486000","1492400","3579","210504.4","5397.6"
"40000360000","1500200","3581","215901.6","5397.2"
"41000494000","1510000","3578","221302.6","5401.0"
"42000435000","1500300","3581","226703.6","5401.0"
"43000299000","1499100","3579","232101.3","5397.7"
"44000496000","1486100","3580","237503.2","5401.9"
"45000337000","1493100","3579","242902.1","5398.9"
"46000440000","1491500","3582","248304.0","5401.9"
"47000307000","1501200","3580","253702.4","5398.4"
"48000295000","1508600","3580","259102.2","5399.8"
"49000464000","1493300","3578","264503.6","5401.4"
"50000093000","1492100","3580","269901.7","5398.1"
"51000194000","1500600","3581","275302.8","5401.1"
"52000098000","1501200","3582","280703.4","5400.6"
"53000136000","1508600","3580","286103.1","5399.7"
"54000339000","1502100","3581","291504.1","5401.0"
"55000173000","1501400","3582","296903.9","5399.8"
"56000155000","1501000","3580","302304.9","5401.0"
"57000236000","1500700","3579","307709.4","5404.5"
"58000087000","1500100","3580","313112.5","5403.1"
"59000299000","1502800","3581","318517.8","5405.3"
"60000336000","1503500","3579","323924.0","5406.2"
"61000421000","1492300","3580","329331.8","5407.8"
"62000476000","1495800","3581","334742.6","5410.8"
"63000310000","1511700","3578","340150.1","5407.5"
"64000376000","1514600","3582","345557.5","5407.4"
"65000300000","1501000","3580","350963.2","5405.7"
"66000290000","1501400","3580","356367.6","5404.4"
"67000370000","1501300","3580","361774.2","5406.6"
"68000335000","1510600","3578","367180.8","5406.6"
"69000501000","1493100","3580","372587.3","5406.5"
"70000378000","1500200","3581","377992.6","5405.3"
"71000479000","1509700","3580","383397.0","5404.4"
"72000516000","1501700","3579","388802.8","5405.8"
"73000320000","1500200","3580","394209.3","5406.5"
"74000566000","1492500","3580","399615.5","5406.2"
"75000418000","1509100","3580","405020.8","5405.3"
"76000520000","1503800","3581","410428.2","5407.4"
"77000452000","1508600","3580","415836.4","5408.2"
"78000381000","1501300","3579","421244.7","5408.3"
"79000453000","1508700","3582","426649.6","5404.9"
"80000509000","1501400","3580","432056.1","5406.5"
"81000540000","1508300","3580","437464.0","5407.9"
"82000444000","1508400","3581","442871.8","5407.8"
"83000399000","1493600","3579","448283.1","5411.3"
"84000635000","1503600","3581","453696.5","5413.4"
"85000463000","1501200","3580","459109.4","5412.9"
"86000747000","1511000","3581","464526.6","5417.2"
"87000804000","1500200","3582","469945.5","5418.9"
"88000843000","1498000","3579","475366.1","5420.6"
"89000715000","1522400","3580","480783.3","5417.2"
"90000612000","1503300","3582","486198.9","5415.6"
"91000672000","1501500","3580","491614.4","5415.5"
"92000823000","1490200","3580","497031.1","5416.7"
"93000724000","1497500","3580","502452.6","5421.5"
"94000909000","1500700","3581","507872.8","5420.2"
"95000923000","1503400","3580","513292.1","5419.3"
"96001074000","1513800","3580","518708.9","5416.8"
"97001122000","1511000","3581","524126.9","5418.0"
"98001223000","1503300","3581","529548.8","5421.9"
"99001467000","1497900","3580","534971.6","5422.8"
"100001424000","1505500","3581","540387.1","5415.5"
"101001628000","1516600","3578","545812.8","5425.7"
"102001616000","1508500","3580","551257.2","5444.4"
"103001727000","1501100","3581","556677.4","5420.2"
"104001963000","1503400","3581","562103.5","5426.1"
"105001928000","1502500","3583","567525.4","5421.9"
"106002272000","1501900","3578","572948.6","5423.2"
"107002205000","1499000","3579","578371.7","5423.1"
"108002221000","1503900","3580","583793.6","5421.9"
"109002456000","1520100","3579","589224.9","5431.3"
"110002441000","1510400","3581","594647.6","5422.7"
"111002724000","1513600","3580","600070.3","5422.7"
"112002844000","1503300","3580","605496.5","5426.2"
"113002737000","1507100","3580","610919.7","5423.2"
"114002838000","1503600","3580","616349.6","5429.9"
"115002933000","1501400","3580","621771.9","5422.3"
"116003024000","1509000","3579","627195.5","5423.6"
"117003103000","1509200","3580","632620.0","5424.5"
"118002975000","1503500","3580","638044.0","5424.0"
"119003075000","1503700","3580","643477.4","5433.4"
"120003231000","1508100","3581","648904.8","5427.4"
"121003545000","1519200","3580","654360.3","5455.5"
"122003232000","1509300","3579","659799.2","5438.9"
"123003201000","1509200","3580","665230.0","5430.8"
"124003432000","1502100","3580","670666.4","5436.4"
"125003381000","1492600","3577","676096.4","5430.0"
"126003636000","1498400","3580","681523.4","5427.0"
"127003878000","1494100","3578","686951.2","5427.8"
"128003762000","1503400","3581","692375.6","5424.4"
"129003937000","1517500","3579","697808.6","5433.0"
"130003973000","1502200","3580","703235.6","5427.0"
"131004148000","1516100","3582","708659.6","5424.0"
"132004246000","1510700","3583","714088.3","5428.7"
"133004137000","1501600","3580","719518.3","5430.0"
"134004303000","1518600","3580","724950.4","5432.1"
"135004493000","1508700","3585","730379.1","5428.7"
"136004642000","1521900","3581","735804.8","5425.7"
"137004695000","1522300","3582","741230.1","5425.3"
"138004634000","1503200","3581","746653.2","5423.1"
"139004868000","1512800","3580","752083.6","5430.4"
"140004786000","1513900","3582","757508.9","5425.3"
"141004989000","1501800","3578","762933.4","5424.5"
"142004898000","1511500","3582","768366.3","5432.9"
"143004730000","1511200","3578","773798.4","5432.1"
"144004829000","1501300","3579","779223.3","5424.9"
"145004724000","1508300","3577","784648.2","5424.9"
"146004824000","1503800","3583","790076.9","5428.7"
"147004780000","1501400","3580","795496.6","5419.7"
"148005446000","1508600","3581","800923.6","5427.0"
"149005460000","1509000","3581","806348.9","5425.3"
"150005637000","1501400","3580","811774.6","5425.7"
"151005542000","1505800","3581","817197.8","5423.2"
"152005439000","1504400","3581","822617.5","5419.7"
"153005654000","1500400","3580","828040.7","5423.2"
"154005493000","1508800","3580","833459.6","5418.9"
"155005510000","1501700","3579","838884.9","5425.3"
"156005405000","1509500","3578","844306.4","5421.5"
"157005327000","1503300","3583","849727.4","5421.0"
"158005329000","1508300","3580","855154.4","5427.0"
"159005318000","1509900","3583","860583.1","5428.7"
"160005545000","1519500","3581","866015.2","5432.1"
"161005503000","1509100","3580","871442.6","5427.4"
"162005352000","1517000","3581","876870.1","5427.5"
"163005650000","1516100","3580","882300.0","5429.9"
"164005472000","1507700","3582","887730.0","5430.0"
"165005492000","1501100","3581","893162.1","5432.1"
"166005466000","1489700","3581","898589.1","5427.0"
"167005356000","1510700","3581","904013.2","5424.1"
"168005470000","1508300","3581","909439.3","5426.1"
"169005480000","1510300","3581","914862.9","5423.6"
"170005578000","1503900","3583","920294.1","5431.2"
"171005539000","1500300","3578","925716.9","5422.8"
"172005377000","1499200","3581","931135.4","5418.5"
"173005682000","1508600","3580","936562.8","5427.4"
"174005488000","1509800","3579","941988.1","5425.3"
"175005618000","1517000","3582","947418.1","5430.0"
"176005575000","1508800","3580","952851.0","5432.9"
"177005496000","1508700","3582","958278.9","5427.9"
"178005446000","1517000","3581","963706.3","5427.4"
"179005332000","1508800","3580","969133.3","5427.0"
"180005495000","1532500","3580","974566.7","5433.4"
"181005540000","1488100","3581","979998.4","5431.7"
"182005439000","1502300","3582","985425.4","5427.0"
"183005541000","1502300","3580","990855.3","5429.9"
"184005568000","1519300","3579","996282.7","5427.4"
"185005776000","1508600","3581","1001711.0","5428.3"
"186005704000","1518600","3580","1007140.1","5429.1"
"187005619000","1508400","3579","1012570.1","5430.0"
"188006114000","1502900","3581","1018000.1","5430.0"
"189005930000","1512000","3581","1023428.4","5428.3"
"190006113000","1497600","3579","1028857.9","5429.5"
"191006057000","1505000","3580","1034289.2","5431.3"
"192006087000","1509200","3579","1039716.6","5427.4"
"193006329000","1509700","3580","1045143.6","5427.0"
"194006375000","1516500","3578","1050573.5","5429.9"
"195006536000","1509800","3581","1056003.1","5429.6"
"196006433000","1502500","3580","1061433.1","5430.0"
"197006256000","1508400","3580","1066863.1","5430.0"
"198006428000","1500700","3579","1072291.7","5428.6"
"199006293000","1500300","3581","1077722.6","5430.9"
"200006484000","1511500","3579","1083152.1","5429.5"
"201006515000","1501500","3581","1088586.8","5434.7"
"202006368000","1508000","3580","1094012.5","5425.7"
"203006572000","1509600","3579","1099440.8","5428.3"
"204006351000","1503300","3580","1104864.8","5424.0"
"205006364000","1519400","3581","1110297.8","5433.0"
"206006347000","1508400","3580","1115736.7","5438.9"
"207006299000","1508700","3580","1121167.1","5430.4"
"208006412000","1516700","3580","1126597.9","5430.8"
"209006298000","1509600","3581","1132026.6","5428.7"
"210006295000","1498500","3581","1137455.3","5428.7"
"211006208000","1500000","3583","1142885.3","5430.0"
"212006052000","1513100","3583","1148311.5","5426.2"
"213006150000","1508500","3580","1153741.9","5430.4"
"214006007000","1502800","3580","1159167.6","5425.7"
"215006087000","1510000","3582","1164599.3","5431.7"
"216006055000","1510800","3580","1170033.5","5434.2"
"217006003000","1504600","3580","1175461.3","5427.8"
"218006157000","1508700","3581","1180897.3","5436.0"
"219006146000","1513000","3579","1186329.0","5431.7"
"220006443000","1517000","3580","1191759.3","5430.3"
"221006425000","1512900","3580","1197189.3","5430.0"
"222006311000","1508500","3580","1202619.7","5430.4"
"223006507000","1500900","3579","1208045.9","5426.2"
"224006075000","1509300","3582","1213471.6","5425.7"
"225006201000","1498300","3578","1218902.0","5430.4"
"226006218000","1507600","3582","1224331.1","5429.1"
"227006052000","1508400","3582","1229761.5","5430.4"
"228006219000","1515400","3580","1235194.9","5433.4"
"229006113000","1525000","3577","1240631.3","5436.4"
"230006298000","1516500","3582","1246061.3","5430.0"
"231006371000","1509500","3579","1251487.8","5426.5"
"232006359000","1500900","3583","1256919.5","5431.7"
"233006445000","1521000","3580","1262346.9","5427.4"
"234006356000","1499900","3581","1267770.5","5423.6"
"235006583000","1515500","3581","1273198.8","5428.3"
"236006471000","1509300","3583","1278624.9","5426.1"
"237006438000","1510400","3584","1284054.1","5429.2"
"238006614000","1502200","3580","1289483.2","5429.1"
"239006587000","1509100","3579","1294911.5","5428.3"
"240006736000","1508200","3582","1300340.1","5428.6"
"241006654000","1515100","3583","1305766.7","5426.6"
"242006753000","1508300","3582","1311199.7","5433.0"
"243006987000","1515700","3580","1316630.5","5430.8"
"244006813000","1504000","3578","1322055.8","5425.3"
"245006830000","1519800","3581","1327486.6","5430.8"
"246006730000","1498300","3579","1332914.9","5428.3"
"247006611000","1510000","3582","1338347.0","5432.1"
"248006694000","1510300","3584","1343777.4","5430.4"
"249006484000","1514200","3581","1349209.1","5431.7"
"250006447000","1524000","3583","1354637.8","5428.7"
"251006607000","1503300","3579","1360066.9","5429.1"
"252006107000","1516900","3582","1365494.4","5427.5"
"253006263000","1514400","3580","1370920.9","5426.5"
"254006095000","1509000","3580","1376346.7","5425.8"
"255006176000","1509100","3580","1381772.8","5426.1"
"256006197000","1503800","3579","1387195.1","5422.3"
"257006116000","1521200","3581","1392621.3","5426.2"
"258006142000","1505700","3579","1398045.7","5424.4"
"259006030000","1509000","3579","1403467.6","5421.9"
"260006087000","1508900","3580","1408889.1","5421.5"
"261005951000","1503200","3581","1414309.3","5420.2"
"262005806000","1498600","3579","1419728.2","5418.9"
"263006031000","1509200","3579","1425153.1","5424.9"
"264005963000","1507600","3584","1430572.4","5419.3"
"265006101000","1510100","3580","1435992.2","5419.8"
"266005974000","1507000","3580","1441414.0","5421.8"
"267005951000","1510600","3581","1446833.0","5419.0"
"268005915000","1509500","3578","1452255.3","5422.3"
"269005813000","1500800","3580","1457676.8","5421.5"
"270005906000","1502900","3580","1463098.6","5421.8"
"271005798000","1501300","3579","1468519.7","5421.1"
"272005513000","1506900","3579","1473939.0","5419.3"
"273005585000","1502100","3580","1479363.9","5424.9"
"274005491000","1517000","3580","1484784.5","5420.6"
"275005578000","1501100","3581","1490206.4","5421.9"
"276005498000","1518600","3580","1495627.9","5421.5"
"277005247000","1499800","3579","1501047.2","5419.3"
"278005267000","1516700","3581","1506469.5","5422.3"
"279005106000","1503500","3580","1511888.5","5419.0"
"280005171000","1503300","3579","1517311.2","5422.7"
"281005113000","1500800","3581","1522733.5","5422.3"
"282005070000","1509100","3579","1528156.3","5422.8"
"283005355000","1511500","3578","1533586.2","5429.9"
"284005334000","1510200","3581","1539011.5","5425.3"
"285005353000","1502100","3581","1544436.0","5424.5"
"286005298000","1503800","3580","1549861.3","5425.3"
"287005037000","1492000","3582","1555287.0","5425.7"
"288005168000","1510200","3581","1560718.7","5431.7"
"289004982000","1509700","3580","1566148.7","5430.0"
"290005483000","1494900","3579","1571578.2","5429.5"
"291005506000","1512700","3578","1577005.2","5427.0"
"292005512000","1501300","3580","1582433.5","5428.3"
"293005427000","1508000","3580","1587861.3","5427.8"
"294005491000","1500200","3579","1593287.0","5425.7"
"295005399000","1503400","3579","1598709.8","5422.8"
"296005233000","1516300","3583","1604134.2","5424.4"
"297005546000","1510100","3578","1609563.3","5429.1"
"298005359000","1509100","3581","1614990.8","5427.5"
"299005456000","1502500","3579","1620418.2","5427.4"
"300005275000","1511300","3580","1625843.1","5424.9"
"301005134000","1504400","3581","1631270.1","5427.0"
"302005271000","1513100","3579","1636697.9","5427.8"
"303005124000","1514600","3581","1642122.4","5424.5"
"304005152000","1502900","3581","1647551.9","5429.5"
"305005052000","1492900","3581","1652972.5","5420.6"
"306004925000","1503500","3580","1658390.2","5417.7"
"307004966000","1504400","3578","1663809.1","5418.9"
"308004936000","1499300","3582","1669230.1","5421.0"
"309005035000","1500900","3580","1674656.3","5426.2"
"310005143000","1510900","3582","1680079.9","5423.6"
"311005104000","1521700","3580","1685498.8","5418.9"
"312005396000","1503000","3581","1690920.6","5421.8"
"313005286000","1502500","3579","1696342.1","5421.5"
"314005399000","1501000","3581","1701765.3","5423.2"
"315005309000","1507400","3582","1707185.9","5420.6"
"316005380000","1508100","3579","1712607.8","5421.9"
"317005504000","1514300","3580","1718030.1","5422.3"
"318005387000","1503100","3580","1723449.9","5419.8"
"319005490000","1508900","3582","1728870.9","5421.0"
"320005472000","1513000","3582","1734290.2","5419.3"
"321005245000","1499900","3579","1739706.6","5416.4"
"322005448000","1502800","3579","1745127.6","5421.0"
"323005147000","1503600","3579","1750545.3","5417.7"
"324005240000","1492200","3579","1755970.1","5424.8"
"325005069000","1501400","3581","1761388.6","5418.5"
"326004905000","1507800","3581","1766808.4","5419.8"
"327005119000","1508500","3581","1772225.6","5417.2"
"328005025000","1502500","3581","1777641.1","5415.5"
"329005065000","1509000","3579","1783060.4","5419.3"
"330005102000","1499200","3579","1788473.8","5413.4"
"331004981000","1511200","3581","1793888.1","5414.3"
"332005202000","1504900","3579","1799304.0","5415.9"
"333004897000","1503700","3581","1804717.4","5413.4"
"334005035000","1515500","3580","1810131.6","5414.2"
"335005184000","1501300","3580","1815546.7","5415.1"
"336005082000","1517000","3581","1820962.2","5415.5"
"337005237000","1501600","3579","1826376.8","5414.6"
"338005082000","1513000","3580","1831789.4","5412.6"
"339005520000","1517100","3579","1837204.4","5415.0"
"340005366000","1500500","3581","1842624.2","5419.8"
"341005106000","1500800","3581","1848040.6","5416.4"
"342005309000","1506300","3580","1853455.6","5415.0"
"343005129000","1499200","3581","1858867.7","5412.1"
"344005268000","1505500","3579","1864281.1","5413.4"
"345005224000","1510000","3580","1869697.5","5416.4"
"346005200000","1508800","3580","1875114.2","5416.7"
"347005424000","1500700","3579","1880545.5","5431.3"
"348005152000","1499400","3580","1885966.1","5420.6"
"349005240000","1500000","3580","1891373.5","5407.4"
"350005248000","1500800","3579","1896789.9","5416.4"
"351005212000","1516700","3581","1902197.7","5407.8"
"352005517000","1503800","3578","1907606.0","5408.3"
"353005421000","1498300","3578","1913013.0","5407.0"
"354005515000","1508200","3578","1918420.0","5407.0"
"355005475000","1510500","3581","1923833.8","5413.8"
"356005320000","1504000","3578","1929242.5","5408.7"
"357005260000","1494100","3580","1934650.8","5408.3"
"358005242000","1511500","3578","1940063.7","5412.9"
"359005269000","1497800","3578","1945472.0","5408.3"
"360005147000","1515000","3579","1950884.5","5412.5"
"361004984000","1492100","3579","1956289.0","5404.5"
"362004951000","1490300","3583","1961695.1","5406.1"
"363004884000","1500200","3580","1967102.1","5407.0"
"364005079000","1504600","3580","1972508.2","5406.1"
"365005023000","1508700","3580","1977915.2","5407.0"
"366004945000","1499400","3579","1983318.0","5402.8"
"367005025000","1501400","3582","1988725.4","5407.4"
"368004830000","1501200","3579","1994128.1","5402.7"
"369005158000","1502100","3583","1999533.0","5404.9"
"370005088000","1508800","3581","2004936.1","5403.1"
"371005046000","1501100","3579","2010341.9","5405.8"
"372005201000","1503000","3581","2015747.6","5405.7"
"373004953000","1507000","3580","2021151.6","5404.0"
"374005072000","1488700","3581","2026555.2","5403.6"
"375004805000","1510900","3581","2031956.6","5401.4"
"376004696000","1501000","3579","2037363.6","5407.0"
"377005026000","1499400","3582","2042771.0","5407.4"
"378004837000","1508900","3580","2048172.1","5401.1"
"379005017000","1501400","3581","2053576.5","5404.4"
"380004888000","1507000","3579","2058982.7","5406.2"
"381004754000","1501900","3581","2064386.7","5404.0"
"382004830000","1503900","3577","2069791.5","5404.8"
"383004822000","1499400","3582","2075196.4","5404.9"
"384004960000","1500100","3580","2080600.8","5404.4"
"385004878000","1508600","3585","2086003.6","5402.8"
"386004760000","1497600","3578","2091410.2","5406.6"
"387004852000","1502000","3580","2096816.3","5406.1"
"388004607000","1500300","3581","2102220.7","5404.4"
"389004500000","1511700","3581","2107624.8","5404.1"
"390004378000","1500300","3579","2113031.8","5407.0"
"391004032000","1499900","3578","2118440.1","5408.3"
"392004388000","1492800","3581","2123847.5","5407.4"
"393004354000","1502300","3579","2129254.0","5406.5"
"394004390000","1509500","3582","2134658.0","5404.0"
"395004327000","1500600","3580","2140061.6","5403.6"
"396004475000","1508000","3582","2145472.4","5410.8"
"397004605000","1500900","3582","2150880.3","5407.9"
"398004527000","1500700","3582","2156286.8","5406.5"
"399004626000","1506600","3581","2161695.1","5408.3"
"400004516000","1507400","3583","2167102.1","5407.0"
"401004254000","1508800","3579","2172514.2","5412.1"
"402004242000","1503200","3581","2177922.5","5408.3"
"403004056000","1500200","3580","2183328.7","5406.2"
