Time (ns),Current (nA),Voltage (mV),Energy (uJ),Variation (uJ)
"999658000","1683900","3585","6260.0","6260.0"
"1999433000","1773800","3582","12516.3","6256.3"
"2999476000","1695200","3583","18773.5","6257.2"
"3999501000","1684800","3581","25028.4","6254.9"
"4999592000","1825300","3582","31285.6","6257.2"
"5999676000","1697400","3582","37544.8","6259.2"
"6999504000","1785400","3583","43800.7","6255.9"
"7999538000","1801100","3582","50060.4","6259.7"
"8999423000","1813800","3585","56319.7","6259.3"
"9999201000","1687000","3580","62578.1","6258.4"
"10999429000","1719500","3581","68839.1","6261.0"
"11999462000","1771200","3581","75101.0","6261.9"
"12999505000","1747600","3584","81360.7","6259.7"
"13999462000","1770900","3582","87622.1","6261.4"
"14999380000","1708400","3580","93879.7","6257.6"
"15999452000","1673500","3584","100148.0","6268.3"
"16999302000","1825100","3583","106415.0","6267.0"
"17999531000","1812000","3581","112685.5","6270.5"
"18999500000","1812800","3584","118955.1","6269.6"
"19999471000","1659600","3582","125223.8","6268.7"
"20999545000","1661100","3584","131493.4","6269.6"
"21999375000","1659500","3583","137763.1","6269.7"
"22999495000","1673700","3582","144036.5","6273.4"
"23999385000","1826100","3582","150311.7","6275.2"
"24999357000","1811600","3582","156587.8","6276.1"
"25999585000","1812200","3582","162864.3","6276.5"
"26999515000","1812500","3584","169139.0","6274.7"
"27999727000","1787300","3582","175414.2","6275.2"
"28999583000","1685500","3581","181686.0","6271.8"
"29999557000","1697000","3581","187957.3","6271.3"
"30999737000","1760400","3582","194224.3","6267.0"
"31999763000","1784100","3582","200496.5","6272.2"
"32999949000","1757600","3584","206767.8","6271.3"
"33999912000","1718700","3584","213038.7","6270.9"
"34999797000","1720000","3582","219311.3","6272.6"
"35999976000","1812500","3582","225586.1","6274.8"
"37000152000","1799700","3584","231860.0","6273.9"
"38000253000","1783800","3582","238133.9","6273.9"
"39000266000","1796400","3583","244407.8","6273.9"
"40000174000","1799700","3583","250681.7","6273.9"
"41000305000","1743400","3582","256956.9","6275.2"
"42000252000","1811500","3581","263234.6","6277.7"
"43000370000","1811800","3584","269509.4","6274.8"
"44000244000","1798200","3582","275781.2","6271.8"
"45000202000","1799500","3583","282054.2","6273.0"
"46000488000","1812000","3585","288332.0","6277.8"
"47000492000","1681200","3584","294603.3","6271.3"
"48000559000","1684000","3582","300878.9","6275.6"
"49000511000","1709400","3581","307154.1","6275.2"
"50000348000","1722000","3582","313430.2","6276.1"
"51000456000","1760100","3584","319714.4","6284.2"
"52000348000","1811300","3581","325991.3","6276.9"
"53000513000","1811500","3582","332269.1","6277.8"
"54000613000","1707600","3582","338545.1","6276.0"
"55000452000","1671300","3583","344820.8","6275.7"
"56000617000","1660400","3582","351095.1","6274.3"
"57000571000","1799300","3583","357367.3","6272.2"
"58000545000","1811900","3586","363652.3","6285.0"
"59000439000","1799300","3585","369926.3","6274.0"
"59999990000","1810200","3584","376197.6","6271.3"
"61000068000","1660300","3580","382478.0","6280.4"
"61999988000","1672100","3583","388753.6","6275.6"
"63000086000","1662900","3582","395025.8","6272.2"
"64000106000","1685600","3583","401301.0","6275.2"
"65000010000","1711200","3584","407579.2","6278.2"
"66000176000","1746000","3582","413867.3","6288.1"
"67000061000","1769500","3584","420146.8","6279.5"
"67999967000","1799900","3584","426426.3","6279.5"
"68999993000","1660800","3584","432708.8","6282.5"
"70000019000","1660300","3584","438985.7","6276.9"
"70999994000","1672800","3582","445265.6","6279.9"
"71999982000","1672500","3585","451541.2","6275.6"
"73000063000","1691100","3583","457829.7","6288.5"
"73999966000","1772700","3582","464107.1","6277.4"
"74999854000","1723100","3583","470396.5","6289.4"
"76000074000","1799600","3584","476684.6","6288.1"
"76999997000","1671300","3583","482965.8","6281.2"
"78000037000","1671200","3583","489246.6","6280.8"
"78999911000","1732700","3583","495520.1","6273.5"
"79999811000","1770400","3579","501799.1","6279.0"
"80999980000","1799700","3583","508079.9","6280.8"
"82000065000","1812900","3581","514364.1","6284.2"
"83000114000","1813000","3582","520643.6","6279.5"
"84000191000","1687100","3584","526925.2","6281.6"
"84999987000","1683200","3585","533202.2","6277.0"
"86000199000","1710000","3582","539482.1","6279.9"
"87000039000","1757400","3584","545767.6","6285.5"
"88000194000","1734300","3584","552050.1","6282.5"
"89000159000","1684100","3585","558332.2","6282.1"
"90000115000","1825200","3583","564613.8","6281.6"
"91000425000","1672000","3583","570896.3","6282.5"
"92000268000","1748000","3584","577182.7","6286.4"
"93000421000","1746400","3583","583463.9","6281.2"
"94000525000","1799000","3583","589742.5","6278.6"
"95000495000","1812300","3585","596014.7","6272.2"
"96000448000","1800900","3582","602292.9","6278.2"
"97000426000","1842000","3586","608572.9","6280.0"
"98000492000","1827000","3585","614850.2","6277.3"
"99000415000","1672500","3582","621127.5","6277.3"
"100000229000","1660600","3583","627402.7","6275.2"
"101000355000","1672200","3584","633669.3","6266.6"
"102000219000","1799600","3582","639948.0","6278.7"
"103000415000","1782400","3583","646230.9","6282.9"
"104000383000","1707300","3583","652513.4","6282.5"
"105000242000","1673000","3581","658801.1","6287.7"
"106000423000","1670200","3584","665084.4","6283.3"
"107000245000","1672700","3583","671363.1","6278.7"
"108000217000","1723700","3582","677638.3","6275.2"
"109000110000","1744100","3584","683917.3","6279.0"
"110000006000","1801000","3582","690195.6","6278.3"
"111000044000","1674600","3584","696467.3","6271.7"
"112000020000","1662700","3584","702747.2","6279.9"
"113000119000","1685200","3581","709024.6","6277.4"
"113999891000","1715600","3584","715299.8","6275.2"
"114999793000","1758800","3582","721575.8","6276.0"
"115999991000","1784400","3583","727854.5","6278.7"
"116999890000","1808800","3582","734130.1","6275.6"
"118000132000","1662600","3582","740407.0","6276.9"
"119000093000","1663600","3583","746683.9","6276.9"
"120000129000","1672300","3580","752970.7","6286.8"
"121000445000","1684300","3583","759256.2","6285.5"
"122000108000","1721800","3583","765538.7","6282.5"
"123000156000","1747000","3584","771824.7","6286.0"
"123999986000","1806200","3581","778105.5","6280.8"
"125000030000","1825300","3585","784387.1","6281.6"
"126000241000","1772100","3583","790669.6","6282.5"
"127000058000","1811500","3581","796944.4","6274.8"
"128000225000","1758100","3582","803229.9","6285.5"
"129000031000","1708400","3582","809511.5","6281.6"
"129999874000","1798100","3582","815793.6","6282.1"
"130999912000","1825900","3582","822076.6","6283.0"
