Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"4994233000","664300","3581","11813.7"
"9986546000","740300","3580","24215.3"
"14978564000","741600","3581","37303.8"
"19971266000","700700","3579","50254.0"
"24960859000","657400","3582","62347.0"
"29951152000","683800","3580","74421.0"
"34940528000","674800","3581","86528.1"
"39930998000","671200","3581","98493.9"
"44920851000","678800","3583","110700.4"
"49911819000","652700","3582","122463.4"
"54901124000","651800","3581","134198.7"
"59890301000","663500","3582","145788.4"
"64880489000","660800","3582","157913.9"
"69870840000","646300","3581","169623.3"
"74860597000","633600","3581","181085.8"
"79851008000","649800","3580","192660.1"
"84839585000","646200","3582","204361.6"
"89828745000","625100","3583","215817.1"
"94817206000","624600","3580","227490.9"
"99806598000","652100","3584","238786.8"
"104795964000","619700","3583","250372.1"
"109785096000","659200","3583","261902.0"
"114772627000","649700","3582","273530.1"
"119761232000","648500","3584","284960.2"
"124750040000","655300","3581","296590.4"
"129738150000","634200","3579","308233.0"
"134724683000","621400","3583","319664.0"
"139713044000","632100","3583","331000.4"
"144701164000","631100","3580","342459.6"
"149687412000","621500","3580","353701.0"
"154674217000","629900","3584","364944.2"
"159661789000","631100","3581","376206.7"
"164647817000","630500","3581","387483.4"
"169633165000","630300","3581","398706.0"
"174618680000","635700","3582","409864.8"
"179600578000","642400","3583","421438.3"
"184584468000","638700","3583","433157.2"
"189568078000","620600","3584","444332.4"
"194552754000","619400","3583","455525.6"
"199537141000","626100","3582","466678.3"
"204521321000","620700","3581","477828.9"
"209504175000","634200","3584","489138.3"
"214486433000","624400","3581","500598.6"
"219468090000","629900","3583","511968.4"
"224451075000","636500","3583","523350.0"
"229432698000","635900","3585","534604.5"
"234414709000","642400","3583","546053.9"
"239396555000","641800","3581","557655.5"
"244378009000","673700","3581","569470.0"
"249359946000","642800","3582","581493.1"
"254340285000","619600","3578","592852.4"
"259321264000","625800","3582","604061.2"
"264301433000","656900","3582","615354.9"
"269281822000","640900","3581","627291.0"
"274262310000","629700","3582","638712.3"
"279242052000","629600","3581","649945.8"
"284221685000","637100","3581","661291.5"
"289199636000","649900","3580","672858.6"
"294178128000","679200","3582","684806.2"
"299157257000","671300","3583","697131.2"
"304135387000","635000","3582","708889.2"
"309114185000","624500","3582","720329.5"
"314092576000","630300","3583","731608.0"
"319070841000","655700","3583","743092.8"
"324047858000","648500","3581","754780.5"
"329025643000","621200","3582","766149.6"
"334003466000","640700","3582","777493.6"
"338979743000","630100","3581","788831.6"
"343954908000","629100","3583","800438.5"
"348931257000","636200","3582","811771.1"
"353906797000","651700","3580","823195.4"
"358882694000","641100","3583","834956.2"
"363855760000","628500","3582","846151.4"
"368831596000","654800","3582","857652.6"
"373806377000","623600","3583","869282.3"
"378780681000","616500","3582","880433.4"
"383755243000","615400","3582","891576.2"
"388729943000","625700","3583","902690.3"
"393704095000","625800","3581","913880.6"
"398676903000","637800","3582","925205.2"
"403650360000","622900","3583","936586.4"
"408623019000","629200","3582","947839.7"
"413595407000","630700","3583","959138.8"
"418568313000","633400","3582","970516.1"
"423540713000","620500","3586","981744.3"
"428512297000","635000","3583","992991.9"
"433485057000","672000","3584","1004281.3"
"438455119000","620400","3584","1015721.3"
"443427782000","625400","3582","1026891.8"
"448398390000","640400","3584","1038110.1"
"453370077000","643700","3583","1049560.9"
"458341753000","616700","3583","1060875.0"
"463312469000","640200","3582","1072102.0"
"468283699000","653100","3582","1083781.7"
"473252254000","675000","3584","1095554.3"
"478221678000","638100","3585","1107564.5"
"483190902000","629600","3583","1118839.5"
"488159033000","634000","3582","1130018.7"
"493127378000","630100","3580","1141552.1"
"498097038000","619200","3581","1152813.5"
"503066370000","635400","3584","1164168.6"
"508035231000","644200","3584","1175439.7"
"513002818000","635000","3583","1186802.8"
"517970843000","634800","3578","1198009.7"
"522938576000","630200","3581","1209396.2"
"527906220000","630800","3581","1220657.3"
"532873612000","621000","3583","1231931.1"
"537839686000","629100","3582","1243117.0"
"542806466000","625500","3582","1254226.4"
"547771096000","622700","3582","1265303.7"
"552737326000","616700","3583","1276398.6"
"557704269000","619700","3583","1287470.5"
"562669773000","618900","3581","1298546.9"
"567634907000","616200","3582","1309680.1"
"572599785000","638100","3582","1321014.3"
"577563904000","625100","3584","1332274.3"
"582525469000","624500","3581","1343513.7"
"587488773000","671400","3582","1355114.2"
"592450964000","647200","3582","1366857.8"
"597413215000","684400","3583","1378630.8"
