Time (ns),Current (nA),Voltage (mV),Energy (uJ),Variation (uJ)
"1001107000","713300","3582","2551.6","2551.6"
"2002371000","710900","3584","5115.6","2564.0"
"3003751000","715800","3582","7689.0","2573.4"
"4004976000","719300","3585","10268.8","2579.8"
"5006179000","713600","3580","12851.1","2582.3"
"6007635000","720900","3582","15436.8","2585.7"
"7008761000","720100","3583","18025.1","2588.3"
"8010088000","713900","3582","20613.4","2588.3"
"9011370000","711500","3582","23201.7","2588.3"
"10012458000","718600","3581","25790.4","2588.7"
"11013853000","717200","3582","28379.1","2588.7"
"12014999000","717100","3583","30968.7","2589.6"
"13016403000","717700","3583","33557.4","2588.7"
"14017593000","717500","3582","36145.2","2587.8"
"15018714000","711800","3582","38736.5","2591.3"
"16020122000","722500","3583","41329.5","2593.0"
"17021269000","722800","3581","43921.2","2591.7"
"18022677000","722600","3580","46513.7","2592.5"
"19023881000","719400","3581","49106.3","2592.6"
"20024936000","718100","3580","51699.3","2593.0"
"21026341000","720800","3585","54293.1","2593.8"
"22027408000","713900","3582","56882.6","2589.5"
"23028612000","719400","3582","59471.4","2588.8"
"24029788000","717000","3584","62060.1","2588.7"
"25030916000","711400","3584","64647.9","2587.8"
"26032349000","718800","3583","67236.7","2588.8"
"27033498000","720000","3581","69824.9","2588.2"
"28034964000","727000","3582","72428.1","2603.2"
"29036137000","711400","3582","75041.5","2613.4"
"30037367000","716400","3582","77630.2","2588.7"
"31038839000","720300","3583","80218.9","2588.7"
"32039972000","718100","3580","82806.8","2587.9"
"33041376000","713800","3581","85398.1","2591.3"
"34042445000","718400","3581","87985.1","2587.0"
"35043580000","712500","3582","90572.5","2587.4"
"36045180000","710700","3584","93162.5","2590.0"
"37046389000","724900","3583","95753.4","2590.9"
"38047851000","725100","3580","98345.9","2592.5"
"39049200000","723400","3583","100938.4","2592.5"
"40050427000","724900","3582","103529.7","2591.3"
"41051886000","718600","3583","106122.2","2592.5"
"42053161000","719800","3581","108714.8","2592.6"
"43054565000","724800","3583","111307.3","2592.5"
"44055904000","724700","3583","113899.9","2592.6"
"45057244000","711900","3581","116492.4","2592.5"
"46058693000","718100","3582","119085.4","2593.0"
"47059922000","711900","3583","121676.6","2591.2"
"48061453000","716900","3582","124268.7","2592.1"
"49062787000","717000","3582","126859.1","2590.4"
"50064000000","720000","3584","129451.7","2592.6"
"51065536000","718800","3585","132048.0","2596.3"
"52066957000","724000","3581","134644.8","2596.8"
"53068436000","726600","3583","137239.9","2595.1"
"54069699000","718900","3583","139834.2","2594.3"
"55070979000","718100","3584","142428.4","2594.2"
"56072488000","718600","3583","145022.6","2594.2"
"57073875000","723700","3581","147617.7","2595.1"
"58075459000","718100","3581","150212.8","2595.1"
"59076878000","716900","3582","152809.2","2596.4"
"60078082000","713500","3583","155403.0","2593.8"
"61079614000","720200","3585","157997.2","2594.2"
"62080889000","717500","3583","160590.6","2593.4"
"63082504000","718000","3584","163184.9","2594.3"
"64083895000","723900","3585","165780.8","2595.9"
"65085257000","725600","3584","168373.8","2593.0"
"66086790000","717200","3582","170967.1","2593.3"
"67088067000","713600","3581","173558.0","2590.9"
"68089615000","720500","3583","176148.8","2590.8"
"69090882000","724800","3583","178742.2","2593.4"
"70092224000","717600","3581","181335.2","2593.0"
"71093895000","722900","3584","183929.0","2593.8"
"72095246000","717000","3580","186520.2","2591.2"
"73096771000","720300","3580","189110.2","2590.0"
"74098107000","722000","3582","191699.3","2589.1"
"75099317000","719900","3583","194291.0","2591.7"
"76100929000","712100","3579","196880.2","2589.2"
"77102204000","726900","3582","199468.4","2588.2"
"78103604000","718700","3584","202057.2","2588.8"
"79105085000","711800","3579","204645.4","2588.2"
"80106423000","727000","3582","207235.4","2590.0"
"81108035000","717900","3582","209825.0","2589.6"
"82109450000","716500","3583","212413.7","2588.7"
"83110933000","723100","3584","215002.4","2588.7"
"84112265000","723100","3582","217589.8","2587.4"
