Time (ns),Current (nA),Voltage (mV),Energy (uJ),Variation (uJ)
"1001128000","830800","3580","3043.3","3043.3"
"2002550000","858300","3577","6082.9","3039.6"
"3003859000","837100","3583","9118.2","3035.3"
"4005391000","854900","3582","12269.2","3151.0"
"5006787000","840200","3581","15300.2","3031.0"
"6008504000","851800","3582","18335.0","3034.8"
"7010278000","842700","3581","21367.7","3032.7"
"8011925000","848800","3581","24397.4","3029.7"
"9013624000","830700","3582","27424.9","3027.5"
"10015272000","849500","3579","30447.3","3022.4"
"11016859000","819100","3579","33467.9","3020.6"
"12018486000","837100","3584","36485.2","3017.3"
"13019956000","855600","3583","39506.7","3021.5"
"14021445000","825300","3581","42526.1","3019.4"
"15022908000","831000","3581","45548.0","3021.9"
"16024502000","851700","3581","48571.7","3023.7"
"17026129000","830300","3582","51595.8","3024.1"
"18027605000","854800","3582","54620.3","3024.5"
"19029208000","836600","3580","57648.7","3028.4"
"20030540000","849200","3580","60793.6","3144.9"
"21032167000","837100","3580","63828.5","3034.9"
"22033856000","858500","3581","66865.1","3036.6"
"23035263000","831200","3582","69899.5","3034.4"
"24036940000","839700","3582","72927.0","3027.5"
"25038350000","825700","3580","75930.9","3003.9"
"26039962000","830300","3583","78929.2","2998.3"
"27041522000","831000","3582","81925.3","2996.1"
"28043037000","839900","3581","84918.1","2992.8"
"29044730000","843300","3583","87912.9","2994.8"
"30046142000","840200","3580","90909.1","2996.2"
"31047891000","849300","3579","93910.8","3001.7"
"32049423000","843800","3581","96913.0","3002.2"
"33050926000","834700","3582","99908.2","2995.2"
"34052603000","830700","3582","102904.8","2996.6"
"35053873000","830500","3580","105900.5","2995.7"
"36055470000","836800","3582","109043.3","3142.8"
"37057035000","831500","3582","112074.3","3031.0"
"38058406000","840300","3584","115103.1","3028.8"
"39060015000","848600","3581","118134.6","3031.5"
"40061450000","830900","3581","121164.7","3030.1"
"41063151000","839400","3583","124193.5","3028.8"
"42064606000","854800","3581","127215.5","3022.0"
