Time (ns),Current (nA),Voltage (mV),Energy (uJ),Variation (uJ)
"999952000","778600","3579","2828.0","2828.0"
"2000163000","785100","3583","5654.9","2826.9"
"3000113000","800900","3580","8490.3","2835.4"
"4000254000","794800","3580","11340.6","2850.3"
"5000232000","796300","3579","14188.9","2848.3"
"6000529000","784700","3581","17045.2","2856.3"
"7000684000","795100","3580","19892.6","2847.4"
"8000860000","797600","3582","22743.8","2851.2"
"9001074000","793700","3581","25596.3","2852.5"
"10001061000","800400","3578","28443.6","2847.3"
"11001181000","790100","3578","31289.3","2845.7"
"12001391000","790600","3583","34130.7","2841.4"
"13001304000","787400","3581","36972.5","2841.8"
"14001397000","787000","3581","39817.3","2844.8"
"15001267000","794800","3582","42660.0","2842.7"
"16001395000","789000","3582","45506.1","2846.1"
"17001568000","788100","3579","48350.9","2844.8"
"18001509000","797800","3582","51197.4","2846.5"
"19001792000","790100","3581","54045.6","2848.2"
"20001787000","784400","3580","56892.6","2847.0"
"21002042000","800700","3581","59764.3","2871.7"
"22002340000","792000","3578","62618.5","2854.2"
"23002452000","785000","3581","65462.0","2843.5"
"24002597000","794800","3581","68305.5","2843.5"
"25002720000","790400","3580","71148.2","2842.7"
"26002824000","793000","3582","73989.6","2841.4"
"27002989000","794600","3582","76831.4","2841.8"
"28002942000","786900","3580","79673.2","2841.8"
"29003248000","784200","3578","82515.4","2842.2"
"30003260000","800700","3581","85354.7","2839.3"
"31003588000","791700","3581","88191.4","2836.7"
"32003731000","784000","3582","91027.2","2835.8"
"33003536000","779000","3582","93859.6","2832.4"
"34003869000","779000","3578","96692.0","2832.4"
"35003649000","784800","3579","99521.0","2829.0"
"36003951000","798000","3581","102360.3","2839.3"
"37004211000","787700","3582","105196.5","2836.2"
"38004364000","784500","3583","108028.1","2831.6"
"39004120000","776600","3581","110858.3","2830.2"
"40003973000","782000","3582","113687.3","2829.0"
"41004234000","784800","3582","116517.2","2829.9"
"42004151000","778600","3580","119344.5","2827.3"
"43004180000","789900","3582","122173.9","2829.4"
"44004476000","787200","3581","125000.7","2826.8"
"45004373000","790300","3581","127825.5","2824.8"
"46004684000","780700","3580","130650.6","2825.1"
"47004941000","784500","3582","133477.4","2826.8"
"48005036000","789700","3582","136303.9","2826.5"
"49005208000","791500","3582","139129.9","2826.0"
"50005218000","779000","3577","141955.4","2825.5"
"51005489000","786800","3582","144783.1","2827.7"
"52005692000","786900","3583","147612.5","2829.4"
"53005672000","784100","3581","150441.1","2828.6"
"54005917000","784000","3582","153271.8","2830.7"
"55005799000","794600","3580","156110.6","2838.8"
