Time (ns),Current (nA),Voltage (mV),Energy (uJ),Variation (uJ)
"1000989000","306100","3583","1102.9","1102.9"
"2002207000","306500","3579","2204.7","1101.8"
"3003540000","304900","3582","3306.5","1101.8"
"4004834000","306400","3583","4409.5","1103.0"
"5006017000","307400","3581","5512.2","1102.7"
"6007428000","307400","3581","6614.8","1102.6"
"7008551000","302200","3584","7717.4","1102.6"
"8009726000","306200","3583","8820.0","1102.6"
"9011090000","306100","3584","9923.1","1103.1"
"10012299000","305300","3582","11026.1","1103.0"
"11013837000","304800","3583","12129.6","1103.5"
"12015115000","307800","3583","13236.5","1106.9"
"13016459000","310400","3584","14351.5","1115.0"
"14017864000","310300","3580","15467.4","1115.9"
"15018986000","306600","3579","16576.9","1109.5"
"16020360000","306500","3581","17682.1","1105.2"
"17021588000","306000","3579","18786.9","1104.8"
"18022881000","311800","3582","19900.7","1113.8"
"19024132000","310500","3580","21019.6","1118.9"
"20025273000","307700","3583","22136.3","1116.7"
"21026679000","306100","3580","23252.7","1116.4"
"22027925000","309200","3581","24368.6","1115.9"
"23029351000","308700","3582","25482.3","1113.7"
"24030667000","306300","3582","26586.7","1104.4"
"25031770000","306000","3579","27690.6","1103.9"
"26033149000","306200","3580","28794.1","1103.5"
"27034368000","304000","3581","29897.5","1103.4"
"28035617000","304900","3583","31000.6","1103.1"
"29036836000","307000","3581","32104.5","1103.9"
"30037947000","306200","3581","33210.1","1105.6"
"31039373000","305200","3584","34314.0","1103.9"
"32040724000","304700","3583","35417.5","1103.5"
"33042162000","304800","3582","36522.7","1105.2"
"34043457000","306000","3584","37626.6","1103.9"
"35044595000","306100","3581","38730.1","1103.5"
"36045853000","304700","3582","39834.0","1103.9"
"37047002000","304900","3583","40937.9","1103.9"
"38048455000","307000","3586","42041.8","1103.9"
"39049659000","303600","3581","43145.3","1103.5"
"40050869000","303900","3582","44249.2","1103.9"
"41052336000","306400","3580","45353.1","1103.9"
"42053551000","306400","3580","46457.0","1103.9"
"43054883000","306500","3581","47561.3","1104.3"
"44056145000","306000","3583","48666.1","1104.8"
"45057339000","304800","3581","49770.5","1104.4"
"46058710000","304900","3582","50874.8","1104.3"
"47059815000","307600","3582","51979.6","1104.8"
"48061207000","306500","3583","53085.6","1106.0"
"49062282000","307800","3584","54194.2","1108.6"
"50063352000","310500","3584","55311.5","1117.3"
"51064710000","306100","3583","56414.5","1103.0"
"52066044000","307400","3580","57518.8","1104.3"
"53067368000","307500","3582","58626.2","1107.4"
"54068575000","306400","3582","59731.8","1105.6"
"55069729000","310400","3583","60843.0","1111.2"
"56071232000","310200","3580","61961.4","1118.4"
"57072438000","310500","3582","63078.7","1117.3"
"58073866000","307800","3582","64195.8","1117.1"
"59075131000","307800","3583","65312.6","1116.8"
"60076217000","310300","3582","66429.4","1116.8"
"61077727000","307800","3583","67546.1","1116.7"
"62079007000","310600","3582","68662.9","1116.8"
"63080209000","309100","3581","69780.1","1117.2"
"64081285000","308100","3582","70883.6","1103.5"
"65082404000","306400","3582","71988.4","1104.8"
"66083801000","305200","3581","73094.0","1105.6"
"67085067000","308800","3581","74199.6","1105.6"
"68086564000","306400","3579","75305.2","1105.6"
"69087747000","308800","3581","76411.7","1106.5"
"70088904000","306500","3583","77517.3","1105.6"
"71090356000","307800","3583","78622.9","1105.6"
"72091642000","307600","3583","79729.0","1106.1"
"73093051000","310500","3582","80835.4","1106.4"
"74094239000","306100","3582","81941.5","1106.1"
"75095370000","306600","3580","83047.6","1106.1"
"76096858000","307300","3582","84154.0","1106.4"
"77098052000","305300","3581","85259.2","1105.2"
"78099453000","306500","3582","86365.3","1106.1"
"79100641000","306600","3582","87471.3","1106.0"
"80101783000","305200","3581","88577.4","1106.1"
"81103260000","303500","3580","89683.0","1105.6"
"82104565000","307400","3583","90789.0","1106.0"
"83105885000","306400","3581","91904.1","1115.1"
"84107052000","307500","3580","93011.9","1107.8"
"85108294000","308700","3581","94118.8","1106.9"
"86109741000","306600","3582","95226.5","1107.7"
"87110828000","310400","3583","96333.9","1107.4"
"88112184000","307600","3583","97440.4","1106.5"
"89113346000","306100","3581","98547.3","1106.9"
"90114502000","306500","3580","99653.7","1106.4"
"91115969000","308700","3584","100760.6","1106.9"
"92117180000","307700","3585","101867.6","1107.0"
"93118584000","306400","3581","102974.5","1106.9"
"94119787000","310400","3582","104082.7","1108.2"
"95120978000","305900","3581","105189.1","1106.4"
"96122354000","307500","3581","106296.5","1107.4"
"97123501000","307500","3581","107403.0","1106.5"
"98124948000","310500","3583","108511.1","1108.1"
"99126273000","306200","3581","109617.6","1106.5"
"100127469000","307400","3579","110724.5","1106.9"
"101128911000","306200","3582","111831.9","1107.4"
"102130076000","307800","3582","112939.2","1107.3"
"103131418000","308500","3581","114045.2","1106.0"
"104132676000","306600","3581","115151.7","1106.5"
"105133746000","307800","3582","116258.7","1107.0"
