Time (ns),Current (nA),Voltage (mV),Energy (uJ),Variation (uJ)
"1000147000","327900","3583","1196.4","1196.4"
"2000787000","333900","3581","2393.0","1196.6"
"3001363000","332600","3583","3709.7","1316.7"
"4001821000","332800","3584","4904.9","1195.2"
"5002188000","331200","3580","6098.9","1194.0"
"6002789000","335300","3582","7291.1","1192.2"
"7004428000","329000","3583","8484.1","1193.0"
"8004926000","333100","3583","9675.0","1190.9"
"9005317000","329200","3585","10868.9","1193.9"
"10005788000","334900","3583","12059.9","1191.0"
"11006375000","329300","3581","13249.5","1189.6"
"12006993000","328900","3584","14438.2","1188.7"
"13007519000","328900","3582","15625.2","1187.0"
"14007838000","335400","3583","16815.3","1190.1"
"15008420000","329300","3582","18004.9","1189.6"
"16008991000","326400","3580","19191.9","1187.0"
"17009566000","332300","3583","20379.0","1187.1"
"18010021000","330100","3582","21568.1","1189.1"
"19010402000","330900","3584","22865.0","1296.9"
"20011068000","329900","3582","24053.7","1188.7"
"21011642000","327900","3582","25243.8","1190.1"
"22012271000","331300","3584","26430.4","1186.6"
"23012724000","330900","3583","27616.9","1186.5"
"24013032000","331300","3583","28804.0","1187.1"
"25013566000","326300","3587","29991.0","1187.0"
"26014063000","328300","3584","31177.6","1186.6"
"27014559000","327900","3581","32364.2","1186.6"
"28015088000","332400","3584","33549.1","1184.9"
"29015217000","328800","3584","34734.0","1184.9"
"30015445000","328800","3583","35918.8","1184.8"
"31016027000","331900","3585","37103.7","1184.9"
"32016648000","328600","3582","38288.1","1184.4"
"33017265000","327800","3584","39472.1","1184.0"
"34017648000","328200","3582","40655.7","1183.6"
"35018218000","326300","3586","41959.8","1304.1"
"36018720000","326400","3582","43143.8","1184.0"
"37019295000","325900","3584","44327.8","1184.0"
"38019718000","328800","3584","45512.3","1184.5"
"39019932000","329600","3581","46697.2","1184.9"
"40020335000","331200","3582","47883.3","1186.1"
"41020812000","326100","3583","49069.5","1186.2"
"42021459000","332200","3584","50256.1","1186.6"
"43022025000","329800","3584","51443.9","1187.8"
"44022187000","328400","3583","52629.3","1185.4"
"45022715000","331800","3582","53815.4","1186.1"
"46023152000","329800","3586","55002.4","1187.0"
"47023749000","327900","3581","56189.5","1187.1"
"48024318000","329300","3584","57380.4","1190.9"
"49024645000","330500","3584","58571.7","1191.3"
"50025229000","331800","3583","59759.6","1187.9"
"51025692000","326800","3584","61069.8","1310.2"
"52026249000","327800","3586","62258.6","1188.8"
"53026902000","329400","3583","63443.5","1184.9"
"54027225000","327900","3583","64631.8","1188.3"
"55027799000","330800","3584","65818.8","1187.0"
"56028359000","326000","3582","67005.4","1186.6"
"57028887000","328300","3582","68191.6","1186.2"
"58029606000","331200","3583","69378.6","1187.0"
"59030057000","329300","3582","70566.5","1187.9"
"60030692000","326400","3582","71755.2","1188.7"
"61031274000","332800","3581","72947.4","1192.2"
"62031812000","339500","3582","74156.5","1209.1"
"63032301000","338500","3584","75370.3","1213.8"
"64032615000","339600","3583","76585.5","1215.2"
"65033178000","337900","3583","77801.4","1215.9"
"66033857000","333800","3581","79017.0","1215.6"
"67034490000","332700","3582","80351.0","1334.0"
"68035155000","336500","3583","81564.8","1213.8"
"69035531000","335800","3582","82776.0","1211.2"
"70036015000","336000","3583","83985.5","1209.5"
"71036622000","337600","3583","85193.8","1208.3"
"72037057000","336900","3581","86401.1","1207.3"
"73037596000","333800","3581","87608.0","1206.9"
"74038027000","337400","3582","88813.6","1205.6"
"75038609000","332800","3581","90017.9","1204.3"
"76039165000","335900","3579","91222.2","1204.3"
"77039683000","334100","3582","92426.6","1204.4"
