Time (ns),Current (nA),Voltage (mV),Energy (uJ),Variation (uJ)
"999568000","1117000","3581","3980.9","3980.9"
"1999655000","1104500","3582","7960.2","3979.3"
"2999422000","1105500","3582","11935.2","3975.0"
"3999254000","1108500","3584","15911.4","3976.2"
"4999076000","1101200","3584","19886.0","3974.6"
"5999099000","1113900","3582","23881.2","3995.2"
"6998997000","1097300","3583","27869.1","3987.9"
"7998667000","1106100","3583","31849.2","3980.1"
"8998526000","1108500","3582","35827.6","3978.4"
"9998414000","1105500","3583","39809.5","3981.9"
"10998308000","1105000","3581","43789.2","3979.7"
"11998283000","1104500","3581","47767.2","3978.0"
"12998223000","1105500","3580","51749.9","3982.7"
"13998114000","1108800","3583","55737.8","3987.9"
"14998164000","1115400","3582","59733.9","3996.1"
"15998131000","1113000","3582","63731.2","3997.3"
"16997721000","1107000","3581","67732.8","4001.6"
"17997504000","1116800","3581","71736.2","4003.4"
"18997529000","1110000","3582","75734.4","3998.2"
"19997380000","1116800","3585","79728.3","3993.9"
"20997385000","1112900","3581","83723.0","3994.7"
"21997276000","1104900","3581","87713.1","3990.1"
"22997122000","1109200","3581","91700.9","3987.8"
"23996891000","1105100","3581","95683.7","3982.8"
"24996697000","1094000","3582","99666.4","3982.7"
"25996575000","1105000","3580","103649.1","3982.7"
"26996330000","1105800","3581","107634.0","3984.9"
"27995893000","1112000","3582","111618.0","3984.0"
"28995791000","1106000","3583","115602.9","3984.9"
"29995699000","1116900","3583","119588.6","3985.7"
"30995702000","1105100","3578","123586.0","3997.4"
"31995655000","1106200","3583","127586.3","4000.3"
"32995506000","1116300","3582","131589.6","4003.3"
"33995270000","1129200","3583","135600.3","4010.7"
"34995376000","1115900","3579","139609.2","4008.9"
"35995387000","1107100","3583","143617.7","4008.5"
"36995008000","1110400","3580","147623.7","4006.0"
"37994910000","1116800","3582","151634.8","4011.1"
"38994656000","1112800","3583","155644.6","4009.8"
"39994680000","1121100","3582","159653.1","4008.5"
"40994665000","1105700","3583","163653.0","3999.9"
"41994561000","1113200","3583","167647.7","3994.7"
"42994393000","1098900","3582","171641.2","3993.5"
"43994264000","1116000","3584","175634.2","3993.0"
"44994089000","1116800","3583","179622.6","3988.4"
"45994134000","1101800","3582","183609.6","3987.0"
"46994161000","1101000","3582","187595.7","3986.1"
