Time (ns),Current (nA),Voltage (mV),Energy (uJ),Variation (uJ)
"1000725000","722700","3584","2599.9","2599.9"
"2001597000","727300","3582","5216.2","2616.3"
"3002470000","733000","3583","7841.5","2625.3"
"4003372000","722300","3583","10471.9","2630.4"
"5004267000","727300","3583","13104.8","2632.9"
"6005461000","735100","3583","15738.6","2633.8"
"7006551000","727300","3582","18374.1","2635.5"
"8007399000","728300","3582","21008.3","2634.2"
"9008397000","736200","3582","23646.4","2638.1"
"10009304000","734800","3583","26284.1","2637.7"
"11010324000","721700","3582","28921.7","2637.6"
"12011541000","738200","3581","31561.0","2639.3"
"13012392000","736100","3581","34198.7","2637.7"
"14013313000","729500","3579","36838.9","2640.2"
"15014158000","729500","3582","39477.4","2638.5"
"16015431000","736500","3582","42116.3","2638.9"
"17016256000","734100","3582","44756.1","2639.8"
"18017294000","729000","3582","47395.0","2638.9"
"19018116000","729500","3582","50033.9","2638.9"
"20019130000","736800","3582","52675.0","2641.1"
"21020194000","731300","3585","55314.7","2639.7"
"22021150000","729000","3582","57955.4","2640.7"
"23022194000","729100","3583","60598.1","2642.7"
"24023192000","736300","3582","63238.7","2640.6"
"25024011000","736600","3580","65879.4","2640.7"
"26025105000","729600","3583","68519.2","2639.8"
"27026046000","732400","3581","71160.2","2641.0"
"28026795000","736100","3584","73800.8","2640.6"
"29027628000","736300","3582","76439.8","2639.0"
"30028605000","734400","3584","79082.1","2642.3"
"31029741000","729300","3581","81724.0","2641.9"
"32030644000","739900","3582","84365.9","2641.9"
"33031591000","729300","3584","87005.7","2639.8"
"34032516000","736600","3582","89644.2","2638.5"
"35033382000","734800","3584","92284.4","2640.2"
"36034508000","734200","3582","94925.0","2640.6"
"37035547000","736100","3582","97565.7","2640.7"
"38036533000","736200","3585","100205.9","2640.2"
"39037481000","738400","3582","102846.1","2640.2"
"40038413000","729400","3581","105486.3","2640.2"
"41039481000","729200","3582","108127.3","2641.0"
"42040426000","735300","3582","110767.5","2640.2"
"43041332000","734700","3580","113408.6","2641.1"
"44042123000","735000","3584","116047.5","2638.9"
"45043099000","726200","3581","118686.0","2638.5"
"46044119000","734500","3578","121324.9","2638.9"
"47045093000","736200","3583","123964.7","2639.8"
"48046028000","729000","3584","126604.5","2639.8"
"49046875000","729500","3582","129241.7","2637.2"
"50047753000","736500","3583","131879.3","2637.6"
"51048836000","736500","3583","134518.2","2638.9"
"52049982000","727500","3582","137156.7","2638.5"
"53050988000","731400","3583","139795.6","2638.9"
"54051751000","736300","3581","142433.7","2638.1"
"55052738000","736300","3582","145073.1","2639.4"
"56053876000","729600","3583","147714.5","2641.4"
"57054916000","733400","3583","150357.3","2642.8"
"58055892000","736300","3581","153000.5","2643.2"
"59056832000","722600","3583","155643.3","2642.8"
"60057773000","734900","3583","158285.6","2642.3"
"61058852000","736600","3580","160930.5","2644.9"
"62059823000","727600","3583","163575.8","2645.3"
"63060614000","729400","3584","166220.3","2644.5"
"64061537000","729400","3581","168865.6","2645.3"
"65062463000","736700","3581","171511.0","2645.4"
"66063457000","736500","3582","174157.1","2646.1"
"67064649000","735000","3583","176804.6","2647.5"
"68065555000","729700","3582","179451.2","2646.6"
"69066721000","736500","3580","182099.5","2648.3"
"70067781000","734800","3582","184747.8","2648.3"
"71068909000","727700","3582","187396.1","2648.3"
"72069969000","728200","3581","190045.3","2649.2"
"73070759000","729300","3582","192694.5","2649.2"
"74071696000","729500","3581","195344.5","2650.0"
"75072320000","738300","3584","197994.9","2650.4"
"76073393000","734400","3583","200645.0","2650.1"
"77074255000","735800","3581","203295.4","2650.4"
"78075177000","736600","3582","205948.4","2653.0"
"79075974000","738800","3583","208600.2","2651.8"
"80076907000","729500","3582","211254.9","2654.7"
"81078245000","736100","3582","213909.6","2654.7"
"82079231000","735800","3581","216563.5","2653.9"
"83080066000","736300","3582","219216.5","2653.0"
"84080901000","736200","3581","221869.9","2653.4"
"85081746000","736500","3581","224523.0","2653.1"
"86082727000","735000","3583","227176.4","2653.4"
"87083655000","728200","3582","229830.3","2653.9"
"88084658000","734200","3580","232483.3","2653.0"
"89085512000","736200","3580","235136.3","2653.0"
"90086660000","729100","3582","237789.7","2653.4"
"91087741000","736300","3584","240442.7","2653.0"
"92088825000","748400","3581","243095.3","2652.6"
"93089744000","751000","3581","245746.6","2651.3"
"94090696000","751100","3582","248397.9","2651.3"
"95091471000","736300","3583","251048.8","2650.9"
"96092541000","733100","3581","253701.0","2652.2"
"97093363000","729000","3581","256352.3","2651.3"
"98094454000","740700","3582","259004.8","2652.5"
"99095468000","734600","3581","261657.0","2652.2"
"100096306000","736800","3583","264307.5","2650.5"
"101097390000","736500","3583","266962.2","2654.7"
"102098246000","742300","3581","269617.8","2655.6"
"103099031000","736500","3581","272273.8","2656.0"
"104100071000","732800","3579","274930.2","2656.4"
"105100979000","736800","3582","277587.0","2656.8"
"106102127000","739700","3582","280242.6","2655.6"
"107102992000","743400","3582","282897.8","2655.2"
"108103799000","743200","3582","285551.6","2653.8"
"109104267000","733800","3583","288205.1","2653.5"
"110105265000","737800","3583","290859.0","2653.9"
"111106565000","734300","3583","293516.7","2657.7"
"112107568000","734100","3581","296174.8","2658.1"
"113108556000","728900","3582","298833.4","2658.6"
"114109552000","736100","3581","301490.6","2657.2"
