Time (ns),Current (nA),Voltage (mV),Energy (uJ),Variation (uJ)
"999774000","314900","3580","1136.4","1136.4"
"1999497000","315600","3582","2272.9","1136.5"
"2999335000","313600","3580","3407.2","1134.3"
"3999037000","315600","3580","4538.2","1131.0"
"4998855000","312300","3583","5669.5","1131.3"
"5999018000","314600","3582","6801.3","1131.8"
"6999076000","313500","3581","7933.1","1131.8"
"7999193000","315800","3580","9064.0","1130.9"
"8999131000","311400","3581","10194.9","1130.9"
"9998813000","314900","3581","11326.7","1131.8"
"10998914000","320300","3583","12463.6","1136.9"
"11998885000","318700","3582","13607.8","1144.2"
"12998986000","317500","3580","14751.2","1143.4"
"13999024000","315900","3582","15894.5","1143.3"
"14998836000","316400","3584","17037.9","1143.4"
"15999007000","317800","3581","18181.7","1143.8"
"16998983000","317200","3580","19325.5","1143.8"
"17999154000","317700","3583","20468.9","1143.4"
"18999145000","320100","3582","21612.7","1143.8"
"19999150000","316000","3580","22756.0","1143.3"
"20999239000","317700","3584","23899.8","1143.8"
"21999206000","319200","3580","25044.1","1144.3"
"22999372000","317800","3581","26188.3","1144.2"
"23999277000","317800","3583","27332.5","1144.2"
"24999157000","317800","3583","28477.2","1144.7"
"25999335000","317700","3581","29621.9","1144.7"
"26999371000","316300","3582","30766.5","1144.6"
"27999564000","313500","3582","31911.2","1144.7"
"28999636000","314900","3579","33055.0","1143.8"
"29999534000","320100","3583","34199.2","1144.2"
"30999700000","320000","3581","35346.4","1147.2"
"31999663000","317800","3582","36490.7","1144.3"
"32999698000","320000","3580","37635.3","1144.6"
"33999666000","317800","3583","38780.0","1144.7"
"34999488000","317700","3582","39924.2","1144.2"
"35999431000","317800","3580","41069.3","1145.1"
"36999289000","317700","3581","42214.0","1144.7"
"37999296000","318800","3585","43357.8","1143.8"
"38999282000","313600","3585","44496.4","1138.6"
"39999314000","317400","3582","45634.6","1138.2"
"40999558000","314800","3583","46777.1","1142.5"
"41999513000","316300","3581","47919.2","1142.1"
"42999549000","316300","3581","49062.2","1143.0"
"43999430000","318800","3580","50204.3","1142.1"
"44999275000","317200","3583","51347.2","1142.9"
"45999430000","315900","3581","52489.7","1142.5"
"46999301000","317300","3582","53632.7","1143.0"
"47999434000","317800","3581","54775.2","1142.5"
"48999449000","315900","3583","55917.2","1142.0"
"49999367000","316300","3582","57059.8","1142.6"
"50999519000","317700","3579","58204.0","1144.2"
"51999489000","315800","3584","59346.9","1142.9"
"52999579000","316100","3582","60489.5","1142.6"
"53999520000","317700","3582","61632.8","1143.3"
"54999380000","315000","3584","62776.2","1143.4"
"55999462000","316200","3582","63918.7","1142.5"
"56999442000","317700","3582","65061.2","1142.5"
"57999531000","319200","3581","66204.6","1143.4"
"58999567000","316300","3581","67348.0","1143.4"
"59999393000","316300","3583","68490.9","1142.9"
"60999421000","315000","3582","69633.8","1142.9"
"61999340000","316300","3582","70775.9","1142.1"
"62999421000","317700","3582","71918.9","1143.0"
"63999386000","316000","3582","73061.8","1142.9"
"64999303000","317800","3584","74204.7","1142.9"
"65999520000","317800","3580","75348.5","1143.8"
"66999467000","315000","3583","76493.2","1144.7"
"67999512000","314800","3582","77636.1","1142.9"
"68999683000","319700","3582","78779.5","1143.4"
"69999693000","319300","3580","79922.4","1142.9"
"70999817000","317700","3581","81065.4","1143.0"
"71999641000","319000","3583","82207.9","1142.5"
"72999822000","317300","3585","83351.3","1143.4"
"73999771000","316300","3582","84494.7","1143.4"
"74999686000","317300","3583","85638.0","1143.3"
"75999757000","316300","3579","86781.4","1143.4"
"76999732000","315600","3583","87924.7","1143.3"
