Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"5001769000","3796100","3589","68358.9"
"10004141000","3833100","3590","136913.7"
"15006342000","3798700","3588","205055.7"
"20007533000","3853300","3594","273287.5"
"25008445000","3768200","3590","341443.4"
"30009233000","3822100","3589","409280.9"
"35009620000","3824000","3587","477442.8"
"40009758000","4101400","3590","545683.7"
"45009632000","3800000","3592","613421.2"
"50009528000","3825400","3591","681568.0"
"55008585000","3825500","3589","749791.8"
"60007929000","3817200","3591","817917.1"
"65007056000","3787800","3588","885747.8"
"70006040000","3792500","3589","953883.1"
"75004553000","3852700","3589","1021993.8"
"80003126000","3850500","3588","1089792.1"
"85000902000","3818300","3589","1157907.6"
"89998549000","3794300","3586","1226015.8"
"94995979000","3818900","3588","1293957.0"
"99993101000","3818400","3591","1362063.9"
"104990187000","3818400","3590","1430152.3"
"109987060000","3841600","3588","1497974.5"
"114983426000","3820600","3589","1566089.7"
"119979803000","3816700","3592","1634225.9"
"124975620000","3832000","3592","1702019.3"
"129971584000","3759600","3590","1770310.5"
"134967688000","3767600","3590","1838519.3"
"139962696000","3778000","3588","1906682.8"
"144957410000","3831600","3587","1974392.1"
"149952072000","3759200","3591","2042567.4"
"154946603000","3797600","3590","2110751.6"
"159940504000","3793500","3592","2178622.8"
"164934272000","3821400","3587","2246811.8"
"169927835000","3823200","3590","2315160.6"
"174921517000","3788200","3593","2383226.7"
"179914878000","3804400","3591","2451470.2"
"184907497000","3829900","3590","2519658.5"
"189899982000","3794300","3592","2587531.0"
"194892269000","3827100","3588","2655706.3"
"199884166000","3792100","3590","2723872.2"
"204875669000","3775400","3592","2791677.1"
"209867120000","3851000","3593","2859831.3"
"214857885000","3831800","3588","2927986.1"
"219848881000","3795400","3590","2996137.8"
"224839394000","3822900","3588","3063972.4"
"229829236000","3793800","3590","3132001.3"
"234819419000","3793200","3587","3200056.0"
"239809207000","3768200","3586","3267805.2"
"244798546000","3824900","3589","3335864.7"
"249788002000","3852700","3588","3403943.6"
"254776605000","3829100","3594","3471699.9"
"259765386000","3830300","3590","3539773.2"
"264754182000","3800400","3588","3607843.9"
"269742417000","3772000","3589","3675555.8"
"274730486000","3795400","3589","3743622.2"
"279718008000","3791000","3588","3811665.0"
"284705383000","3815500","3591","3879401.5"
"289692247000","3819800","3595","3947457.7"
"294678784000","3849400","3590","4015494.9"
"299665357000","3794300","3589","4083525.6"
"304651689000","3828600","3591","4151241.5"
"309637347000","3745800","3592","4219255.0"
"314623275000","3820600","3591","4287288.0"
"319608854000","3770400","3590","4354992.6"
"324594018000","2275200","3583","4423011.4"
"329578892000","3834500","3592","4491106.1"
"334563474000","2699100","3583","4558737.0"
"339547900000","3777100","3589","4626824.0"
"344532053000","3821900","3588","4694844.9"
"349516322000","3831400","3590","4762529.0"
"354500252000","3809700","3593","4830547.3"
"359483286000","3794200","3591","4898552.0"
"364466123000","3851700","3593","4966558.8"
"369448672000","3848200","3589","5034237.8"
"374431120000","3846500","3590","5102250.2"
"379413094000","3824000","3595","5170256.6"
"384395264000","3814600","3591","5237920.5"
"389376917000","3765800","3590","5305929.5"
"394358846000","3789400","3590","5373937.3"
"399340304000","3814600","3592","5441621.9"
"404321078000","3816500","3592","5509611.6"
"409301711000","3819200","3589","5577607.3"
"414282153000","3851100","3588","5645267.0"
"419262297000","3871800","3591","5713241.6"
"424242502000","3787800","3590","5781212.7"
"429221912000","3789900","3590","5848817.2"
"434201938000","3840500","3591","5916772.4"
"439180782000","3790400","3588","5984722.1"
"444159616000","3787800","3586","6052671.4"
"449138582000","3769300","3591","6120301.8"
"454117032000","3801500","3590","6188243.7"
"459094895000","3801300","3592","6256177.5"
"464072107000","3803800","3591","6323747.6"
"469049980000","3818900","3586","6391686.1"
"474027386000","3819200","3592","6459611.3"
"479004578000","3851700","3593","6527223.2"
"483981097000","3762800","3593","6595138.1"
"488957324000","3453300","3586","6663096.1"
"493933548000","3796100","3590","6730633.5"
"498909311000","3760700","3593","6798633.8"
"503885020000","3842600","3590","6866553.9"
"508860180000","3790500","3589","6934451.6"
"513835193000","3780300","3592","7002041.7"
"518809993000","3765800","3591","7069937.7"
"523784342000","3830200","3594","7137835.0"
"528758995000","3823200","3590","7205418.2"
"533732888000","3802100","3591","7273316.4"
"538706851000","3788900","3590","7341220.6"
"543680141000","3829700","3592","7408783.2"
"548653943000","3826300","3589","7476681.0"
"553627359000","3796100","3590","7544570.6"
"558600406000","3786800","3589","7612130.2"
"563573010000","3826300","3590","7680007.7"
"568545003000","3852200","3590","7747869.8"
"573516960000","3823800","3589","7815406.6"
"578488656000","3817800","3594","7883263.0"
"583460227000","3823100","3593","7951120.8"
"588431153000","3823200","3589","8018966.1"
"593402173000","3761300","3589","8086461.5"
"598373446000","3826000","3586","8154454.4"
