Time (ns),Current (nA),Voltage (mV),Energy (uJ),Variation (uJ)
"999822000","4338700","3590","15381.9","15381.9"
"1999949000","4338700","3587","30768.2","15386.3"
"3000105000","4278300","3587","46162.1","15393.9"
"4000381000","4271900","3587","61566.2","15404.1"
"5000500000","4274700","3586","76969.5","15403.3"
"6000641000","4331600","3593","92375.3","15405.8"
"7000743000","4397800","3591","107779.5","15404.2"
"8000874000","4333800","3588","123180.6","15401.1"
"9001047000","4334500","3587","138586.9","15406.3"
"10001294000","4270500","3588","153994.0","15407.1"
"11001372000","4234900","3587","169396.8","15402.8"
"12001476000","4268400","3587","184801.8","15405.0"
"13001604000","4366800","3587","200205.5","15403.7"
"14001759000","4330900","3586","215610.1","15404.6"
"15001826000","4246600","3588","231010.4","15400.3"
"16002009000","4203800","3587","246412.8","15402.4"
"17002134000","4281800","3585","261813.6","15400.8"
"18002359000","4302800","3590","277216.9","15403.3"
"19002524000","4296500","3590","292617.6","15400.7"
"20002621000","4362500","3588","308015.8","15398.2"
"21002723000","4304300","3588","323413.1","15397.3"
"22002818000","4240300","3586","338807.0","15393.9"
"23002949000","4272600","3588","354202.6","15395.6"
"24003084000","4332300","3588","369599.5","15396.9"
"25003244000","4301400","3589","384997.3","15397.8"
"26003328000","4363300","3590","400390.4","15393.1"
"27003498000","4330200","3588","415864.7","15474.3"
"28003746000","4224400","3589","431350.6","15485.9"
"29003902000","4273300","3591","446748.8","15398.2"
"30004010000","4328100","3591","462142.3","15393.5"
"31004138000","4360400","3585","477536.6","15394.3"
"32004169000","4333800","3585","492926.7","15390.1"
"33004327000","4338000","3590","508317.2","15390.5"
"34004460000","4277600","3587","523720.9","15403.7"
"35004594000","4278300","3589","539113.6","15392.7"
"36004699000","4283200","3588","554511.3","15397.7"
"37004791000","4303600","3588","569906.1","15394.8"
"38004921000","4325200","3588","585299.6","15393.5"
"39005022000","4312000","3588","600701.2","15401.6"
"40005140000","4269100","3588","616091.3","15390.1"
"41005396000","4297200","3585","631489.0","15397.7"
"42005754000","4248000","3588","646888.4","15399.4"
"43005923000","4306400","3586","662287.0","15398.6"
"44006220000","4337300","3590","677694.1","15407.1"
"45006549000","4334500","3590","693094.9","15400.8"
"46006598000","4247300","3588","708490.5","15395.6"
"47006965000","4279000","3587","723891.6","15401.1"
"48007135000","4248000","3587","739293.6","15402.0"
"49007411000","4276100","3589","754712.7","15419.1"
"50007721000","4370400","3590","770111.3","15398.6"
"51007959000","4272600","3590","785517.1","15405.8"
"52008299000","4334500","3592","800914.0","15396.9"
"53008601000","4250100","3588","816312.1","15398.1"
"54008956000","4309200","3590","831720.1","15408.0"
"55009238000","4305000","3588","847121.7","15401.6"
"56009543000","4307800","3586","862529.6","15407.9"
"57009696000","4341600","3589","877924.8","15395.2"
"58010007000","4301400","3589","893321.7","15396.9"
"59010302000","4245200","3592","908715.2","15393.5"
"60010630000","4246600","3590","924130.8","15415.6"
