Time (ns),Current (nA),Voltage (mV),Energy (uJ),Variation (uJ)
"999654000","4383000","3589","15615.7","15615.7"
"1999591000","4399800","3590","31219.9","15604.2"
"2999523000","4458400","3594","46822.4","15602.5"
"3999553000","4347400","3590","62427.0","15604.6"
"4999306000","4289200","3590","78026.9","15599.9"
"5999398000","4375100","3587","93638.9","15612.0"
"6999337000","4380100","3590","109242.2","15603.3"
"7999286000","4347400","3590","124848.5","15606.3"
"8999284000","4319000","3590","140453.2","15604.7"
"10000447000","4352400","3588","156080.1","15626.9"
"11000625000","4375100","3588","171689.0","15608.9"
"12000743000","4344600","3587","187299.2","15610.2"
"13000712000","4320500","3588","202905.6","15606.4"
"14000737000","4405600","3587","218517.1","15611.5"
"15000675000","4352400","3588","234126.4","15609.3"
"16000599000","4351000","3590","249417.2","15290.8"
"17000722000","4374400","3587","265030.8","15613.6"
"18000766000","4381500","3589","280643.6","15612.8"
"19000832000","4343200","3591","296262.8","15619.2"
"20000746000","4341000","3590","311880.8","15618.0"
"21000711000","4338900","3585","327523.3","15642.5"
"22000800000","4378000","3591","343152.4","15629.1"
"23000833000","4360100","3588","358794.0","15641.6"
"24001434000","4436100","3588","374433.9","15639.9"
"25001364000","4359600","3590","390053.1","15619.2"
"26001349000","4406300","3586","405681.4","15628.3"
"27001452000","4310500","3589","421304.9","15623.5"
"28001275000","4377200","3589","436952.2","15647.3"
"29001149000","4317600","3586","452575.7","15623.5"
"30001095000","4287100","3589","468216.9","15641.2"
"31001130000","4311400","3589","483866.2","15649.3"
"32001023000","4341700","3589","499169.0","15302.8"
"33000750000","4408500","3588","514812.8","15643.8"
"34000836000","4343900","3587","530470.3","15657.5"
"35000762000","4314800","3590","546122.2","15651.9"
"36000670000","4346000","3587","561772.4","15650.2"
"37000563000","4347800","3591","577422.2","15649.8"
"38000422000","4348100","3590","593074.2","15652.0"
"39000294000","4413500","3587","608724.0","15649.8"
"40000272000","4431700","3587","624375.5","15651.5"
"41000369000","4439700","3589","640028.2","15652.7"
"42000152000","4317000","3590","655676.7","15648.5"
"42999921000","4346700","3587","671326.5","15649.8"
"43999885000","4355300","3592","686975.9","15649.4"
"44999758000","4308400","3590","702621.4","15645.5"
"45999626000","4436100","3592","718259.6","15638.2"
"46999504000","4383700","3590","733886.6","15627.0"
