Time (ns),Current (nA),Voltage (mV),Energy (uJ),Variation (uJ)
"999761000","3794200","3592","13761.2","13761.2"
"1999679000","3793500","3588","27454.4","13693.2"
"2999517000","3792400","3593","41151.1","13696.7"
"3999565000","3792900","3592","54848.2","13697.1"
"4999529000","3858800","3588","68547.9","13699.7"
"5999622000","3909300","3592","82292.8","13744.9"
"6999443000","3765100","3590","95980.8","13688.0"
"7999487000","3818800","3588","109684.8","13704.0"
"8999367000","3793500","3591","123384.5","13699.7"
"9999074000","3766800","3588","137074.3","13689.8"
"10999010000","3799100","3592","150816.7","13742.4"
"11999049000","3871700","3591","164506.0","13689.3"
"12998805000","3839000","3590","178189.8","13683.8"
"13998655000","3763500","3594","191871.8","13682.0"
"14998534000","3816800","3589","205561.6","13689.8"
"15998503000","3770700","3586","219309.5","13747.9"
"16998384000","3786800","3592","233004.9","13695.4"
"17998134000","3783400","3591","246694.7","13689.8"
"18997851000","3845800","3591","260391.0","13696.3"
"19997870000","3793500","3591","274090.2","13699.2"
"20997857000","3814800","3588","287839.9","13749.7"
"21997653000","3802300","3591","301536.6","13696.7"
"22997401000","3785200","3589","315230.3","13693.7"
"23997030000","3755500","3588","328922.2","13691.9"
"24996873000","3845800","3589","342612.9","13690.7"
"25996909000","3809700","3589","356356.5","13743.6"
"26996664000","3802800","3588","370048.9","13692.4"
"27996627000","3869400","3591","383743.8","13694.9"
"28996518000","3841800","3592","397434.9","13691.1"
"29996372000","3786700","3589","411129.0","13694.1"
"30996434000","3830900","3591","424873.0","13744.0"
"31996242000","3809200","3592","438567.1","13694.1"
"32996014000","3841200","3593","452268.6","13701.5"
"33995826000","3842900","3590","465965.2","13696.6"
"34995556000","3808600","3588","479660.2","13695.0"
"35995577000","3810300","3589","493402.5","13742.3"
"36995378000","3769600","3591","507095.8","13693.3"
"37995214000","3766600","3591","520789.0","13693.2"
"38995047000","3803300","3589","534477.1","13688.1"
"39994948000","3809600","3589","548166.9","13689.8"
"40994980000","3803900","3591","561906.2","13739.3"
"41994925000","3855500","3592","575599.4","13693.2"
"42994803000","3791300","3586","589290.5","13691.1"
"43994594000","3821000","3591","602982.4","13691.9"
"44994552000","3816800","3589","616674.8","13692.4"
"45994567000","3795800","3591","630412.8","13738.0"
"46994363000","3811300","3592","644106.1","13693.3"
"47994372000","3787400","3590","657800.2","13694.1"
"48994196000","4591600","3590","671499.9","13699.7"
"49994027000","3814800","3594","685162.1","13662.2"
"50993991000","3781000","3595","698850.6","13688.5"
"51993876000","3814800","3591","712576.1","13725.5"
"52993710000","3805900","3591","726258.6","13682.5"
"53993528000","3790200","3589","739944.9","13686.3"
"54993384000","3768500","3591","753624.0","13679.1"
"55993400000","3804400","3589","767307.7","13683.7"
"56993210000","3787400","3590","781038.0","13730.3"
"57993035000","3844000","3584","794719.2","13681.2"
"58992945000","1915200","3582","808411.1","13691.9"
"59992834000","4228600","3589","822154.3","13743.2"
"60992947000","3813900","3592","835847.5","13693.2"
"61992805000","3784200","3588","849579.1","13731.6"
"62992546000","3812900","3591","863257.3","13678.2"
"63992554000","3815500","3589","876951.4","13694.1"
"64992438000","3823300","3590","890630.8","13679.4"
"65992546000","3824300","3592","904315.0","13684.2"
"66992354000","3817600","3590","918042.2","13727.2"
"67992135000","3791800","3590","931720.0","13677.8"
"68992029000","3815700","3589","945403.7","13683.7"
"69991723000","3843500","3589","959078.5","13674.8"
"70991606000","3839000","3594","972755.8","13677.3"
"71991590000","3823500","3592","986486.0","13730.2"
"72991382000","3819900","3589","1000164.2","13678.2"
"73991144000","3789500","3589","1013842.8","13678.6"
"74991066000","3788000","3589","1027525.3","13682.5"
"75991139000","3860100","3587","1041206.9","13681.6"
"76991089000","3784500","3589","1054939.7","13732.8"
"77991044000","3793500","3591","1068633.8","13694.1"
"78990829000","3807700","3591","1082324.0","13690.2"
"79990662000","3818800","3590","1096021.1","13697.1"
"80990906000","3817100","3592","1109729.4","13708.3"
"81990716000","3844600","3592","1123460.1","13730.7"
"82990459000","3848100","3592","1137146.5","13686.4"
"83990322000","3828400","3594","1150835.4","13688.9"
"84990219000","3834600","3592","1164528.2","13692.8"
"85990318000","3786300","3589","1178217.1","13688.9"
"86990245000","3791300","3591","1191956.5","13739.4"
"87990103000","3767900","3587","1205644.5","13688.0"
"88989968000","3823500","3591","1219329.6","13685.1"
"89989746000","3765700","3591","1233025.4","13695.8"
"90989838000","3810400","3591","1246713.9","13688.5"
"91989926000","3887800","3592","1260453.2","13739.3"
"92989631000","3821800","3589","1274124.0","13670.8"
"93989597000","3812000","3586","1287806.1","13682.1"
"94989431000","3760200","3592","1301510.5","13704.4"
"95989385000","3783100","3590","1315187.4","13676.9"
"96989225000","3804400","3590","1329789.4","14602.0"
"97989236000","3768500","3593","1343471.4","13682.0"
"98989113000","3825600","3593","1357150.9","13679.5"
"99988846000","3810700","3589","1370835.5","13684.6"
"100988814000","3832400","3595","1384508.9","13673.4"
"101988794000","3770100","3589","1398242.2","13733.3"
"102988615000","4875000","3589","1411918.6","13676.4"
"103988466000","3818200","3591","1425569.2","13650.6"
"104988299000","3805200","3589","1439250.0","13680.8"
"105988413000","3838400","3589","1452929.0","13679.0"
"106988422000","3829600","3590","1466656.3","13727.3"
"107988294000","3781500","3587","1480328.8","13672.5"
"108988085000","3815400","3588","1494004.0","13675.2"
"109987972000","3820500","3591","1507680.4","13676.4"
"110987992000","3852600","3591","1521365.0","13684.6"
"111987756000","3761500","3590","1535089.3","13724.3"
"112987520000","3838400","3589","1548770.4","13681.1"
"113987295000","3790200","3590","1562458.1","13687.7"
"114987259000","3815900","3590","1576149.2","13691.1"
"115987215000","3815700","3590","1589836.4","13687.2"
"116987149000","3748500","3591","1603574.8","13738.4"
"117986917000","3790700","3591","1617260.7","13685.9"
"118986602000","3851300","3590","1630946.2","13685.5"
"119986231000","3842400","3588","1644629.6","13683.4"
"120986443000","3815900","3590","1658327.1","13697.5"
"121986259000","3797900","3591","1672060.8","13733.7"
"122986188000","3812900","3587","1685747.6","13686.8"
"123985931000","3872900","3592","1699434.4","13686.8"
"124985855000","3816300","3589","1713121.2","13686.8"
"125985776000","3837800","3590","1726818.3","13697.1"
"126985458000","3839000","3590","1740552.0","13733.7"
"127985337000","3809200","3589","1754240.5","13688.5"
"128985224000","3789100","3593","1767927.7","13687.2"
"129984909000","3812600","3591","1781611.9","13684.2"
"130984931000","3808000","3590","1795303.8","13691.9"
"131984538000","3758600","3594","1809034.1","13730.3"
"132984303000","3831300","3592","1822717.9","13683.8"
"133984127000","3815400","3591","1836401.2","13683.3"
"134983990000","3812000","3591","1850085.0","13683.8"
"135983862000","3826700","3588","1863772.6","13687.6"
"136983803000","3811300","3589","1877505.9","13733.3"
"137983620000","3785200","3592","1891188.8","13682.9"
"138983519000","3790500","3593","1904875.1","13686.3"
"139983293000","3813900","3591","1918559.8","13684.7"
"140983314000","3808700","3591","1932258.2","13698.4"
"141983199000","3826700","3591","1945991.9","13733.7"
"142983095000","3781500","3592","1959681.2","13689.3"
"143983087000","3780200","3593","1973371.9","13690.7"
"144982908000","3767600","3591","1987060.0","13688.1"
"145982881000","3812900","3593","2000751.5","13691.5"
"146982551000","3794600","3594","2014479.6","13728.1"
"147982516000","3818500","3592","2028160.8","13681.2"
"148982295000","3806000","3590","2041841.5","13680.7"
"149982044000","3829100","3589","2055532.2","13690.7"
"150982285000","3854400","3587","2069223.7","13691.5"
"151982018000","3785000","3594","2082959.1","13735.4"
"152981849000","3791500","3587","2096635.1","13676.0"
"153981618000","3770600","3590","2110310.7","13675.6"
"154981373000","3799100","3590","2123985.4","13674.7"
"155981398000","4806500","3590","2137653.3","13667.9"
"156981208000","3822400","3592","2151306.9","13653.6"
"157980916000","3827300","3593","2165028.1","13721.2"
"158980666000","3792400","3591","2178699.8","13671.7"
"159980275000","3766100","3592","2192368.5","13668.7"
"160980186000","3816000","3589","2206043.2","13674.7"
"161980049000","3810100","3587","2219715.8","13672.6"
"162979839000","3797400","3592","2233435.3","13719.5"
"163979603000","3820700","3591","2247105.3","13670.0"
"164979419000","1827800","3584","2260777.4","13672.1"
"165979396000","3191100","3589","2274509.4","13732.0"
"166979343000","3820700","3589","2288225.0","13715.6"
"167979163000","3819300","3589","2301954.0","13729.0"
"168978988000","3800200","3590","2315636.9","13682.9"
"169978774000","3844100","3591","2329317.7","13680.8"
"170978851000","3814200","3591","2343003.1","13685.4"
"171978803000","3844700","3586","2356688.6","13685.5"
"172978469000","3795700","3589","2370413.3","13724.7"
"173978257000","3817500","3589","2384094.5","13681.2"
"174978102000","3840100","3589","2397774.8","13680.3"
"175978276000","3811400","3592","2411458.6","13683.8"
"176978224000","3883200","3591","2425145.8","13687.2"
