Time (ns),Current (nA),Voltage (mV),Energy (uJ),Variation (uJ)
"999904000","1078200","3581","3910.4","3910.4"
"1999816000","1078800","3582","7810.6","3900.2"
"2999933000","1083300","3582","11709.1","3898.5"
"3999861000","1076800","3583","15606.7","3897.6"
"4999774000","1086700","3581","19503.1","3896.4"
"6000061000","1181300","3582","23411.8","3908.7"
"6999959000","1083800","3583","27308.2","3896.4"
"8000076000","1090800","3583","31208.4","3900.2"
"9000095000","1085300","3581","35107.7","3899.3"
"10000084000","1079200","3582","38991.2","3883.5"
"11000233000","1079000","3583","42882.8","3891.6"
"12000333000","1083500","3583","46786.0","3903.2"
"13000503000","1079700","3582","50682.3","3896.3"
"14000443000","1078600","3581","54575.6","3893.3"
"15000447000","1077800","3583","58466.8","3891.2"
"16000655000","1086000","3584","62359.3","3892.5"
"17000633000","1079000","3582","66261.6","3902.3"
"18000868000","1083200","3582","70155.4","3893.8"
"19000843000","1085400","3581","74061.6","3906.2"
"20000731000","1101000","3579","77987.2","3925.6"
"21000810000","1093900","3581","81933.8","3946.6"
"22000722000","1104700","3582","85892.4","3958.6"
"23000841000","1101500","3583","89833.5","3941.1"
"24000879000","1085000","3581","93767.2","3933.7"
"25000765000","1105600","3581","97696.2","3929.0"
"26001003000","1092900","3582","101631.6","3935.4"
"27000960000","1098200","3582","105578.7","3947.1"
"28001063000","1094100","3581","109511.5","3932.8"
"29000957000","1097900","3581","113443.1","3931.6"
"30000972000","1090700","3582","117371.7","3928.6"
"31001235000","1090200","3583","121296.4","3924.7"
"32001121000","1085300","3583","125230.1","3933.7"
"33001149000","1085500","3582","129155.6","3925.5"
"34001112000","1092500","3583","133082.5","3926.9"
"35000997000","1099200","3584","137008.1","3925.6"
"36001169000","1078400","3582","140931.0","3922.9"
"37001076000","1083400","3581","144859.2","3928.2"
"38001107000","1086500","3583","148774.0","3914.8"
"39000994000","1086500","3586","152686.2","3912.2"
"40000811000","1086600","3583","156597.2","3911.0"
"41000971000","1090500","3585","160512.0","3914.8"
"42000891000","1079200","3582","164435.0","3923.0"
"43001117000","1094500","3582","168352.4","3917.4"
"44001072000","1078800","3581","172261.6","3909.2"
"45000914000","1098700","3581","176169.1","3907.5"
"46001005000","1089800","3584","180078.3","3909.2"
"47001121000","1090000","3581","184006.5","3928.2"
"48001152000","1089700","3581","187916.6","3910.1"
"49001123000","1090200","3583","191826.7","3910.1"
"50001131000","1090500","3582","195754.8","3928.1"
"51001225000","1113900","3581","199731.9","3977.1"
"52001030000","1116600","3583","203753.8","4021.9"
"53001188000","1129600","3584","207778.6","4024.8"
"54001119000","1108800","3583","211818.0","4039.4"
"55001007000","1122500","3582","215864.4","4046.4"
"56001113000","1125300","3582","219909.4","4045.0"
"57000980000","1124800","3583","223960.0","4050.6"
"58001049000","1129500","3582","227990.4","4030.4"
"59001101000","1113500","3582","232002.3","4011.9"
"60001069000","1102000","3581","235989.4","3987.1"
"61001233000","1089400","3581","239949.7","3960.3"
"62001121000","1093500","3582","243906.7","3957.0"
"63001205000","1099600","3583","247845.5","3938.8"
"64001256000","1091800","3581","251781.4","3935.9"
"65001291000","1097300","3584","255707.4","3926.0"
"66001452000","1078500","3582","259627.8","3920.4"
"67001428000","1090600","3583","263559.8","3932.0"
"68001423000","1086300","3582","267487.1","3927.3"
"69001346000","1090300","3581","271403.6","3916.5"
"70001407000","1093100","3579","275305.5","3901.9"
"71001610000","1082100","3582","279200.1","3894.6"
"72001495000","1090100","3582","283110.7","3910.6"
"73001624000","1078700","3582","287010.4","3899.7"
"74001641000","1085600","3583","290905.5","3895.1"
"75001606000","1085800","3584","294807.4","3901.9"
"76001704000","1089500","3584","298712.3","3904.9"
"77001538000","1085600","3582","302625.4","3913.1"
"78001492000","1076000","3583","306526.9","3901.5"
"79001400000","1090900","3585","310422.4","3895.5"
"80001237000","1085900","3582","314324.4","3902.0"
"81001416000","1085900","3584","318233.1","3908.7"
"82001360000","1078100","3582","322143.2","3910.1"
"83001503000","1086400","3582","326044.3","3901.1"
"84001403000","1078800","3580","329947.9","3903.6"
"85001366000","1077900","3582","333846.4","3898.5"
"86001483000","1070800","3585","337744.9","3898.5"
"87001422000","1093900","3582","341653.7","3908.8"
"88001688000","1083900","3582","345549.2","3895.5"
"89001647000","1074400","3584","349445.5","3896.3"
"90001615000","1083600","3582","353338.4","3892.9"
"91001916000","1082200","3579","357237.3","3898.9"
"92001938000","1090800","3582","361140.1","3902.8"
"93002029000","1083900","3581","365027.0","3886.9"
"94002009000","1075200","3582","368913.0","3886.0"
"95001886000","1078100","3581","372793.9","3880.9"
"96002133000","1078300","3580","376681.6","3887.7"
"97001980000","1077600","3584","380586.1","3904.5"
"98002213000","1079900","3581","384493.2","3907.1"
"99002220000","1094200","3582","388415.7","3922.5"
"100002157000","1094000","3580","392332.3","3916.6"
"101002437000","1094400","3581","396264.7","3932.4"
"102002241000","1095000","3581","400204.0","3939.3"
"103002426000","1093600","3582","404134.3","3930.3"
"104002329000","1075600","3584","408049.1","3914.8"
"105002168000","1091000","3581","411965.2","3916.1"
"106002468000","1097500","3580","415880.9","3915.7"
"107002352000","1086000","3584","419808.6","3927.7"
"108002591000","1075600","3584","423705.3","3896.7"
"109002699000","1077400","3582","427607.7","3902.4"
"110002533000","1076900","3583","431501.5","3893.8"
"111002634000","1077400","3584","435398.7","3897.2"
"112002710000","1076800","3581","439295.8","3897.1"
"113002747000","1084900","3581","443180.6","3884.8"
"114002657000","1075300","3582","447067.5","3886.9"
"115002541000","1071300","3582","450959.1","3891.6"
"116002668000","1075700","3582","454851.1","3892.0"
"117002743000","1085700","3581","458749.2","3898.1"
"118002867000","1077900","3583","462654.1","3904.9"
"119002799000","1075600","3582","466546.6","3892.5"
"120002705000","1086200","3580","470439.5","3892.9"
"121002882000","1093900","3580","474339.2","3899.7"
"122002694000","1090300","3582","478238.2","3899.0"
"123002808000","1085400","3581","482147.8","3909.6"
"124002764000","1090700","3583","486048.4","3900.6"
"125002741000","1090200","3582","489945.6","3897.2"
"126002870000","1086200","3580","493846.3","3900.7"
"127002845000","1084000","3581","497746.5","3900.2"
"128003107000","1086600","3582","501654.4","3907.9"
"129003189000","1089300","3582","505549.4","3895.0"
"130003037000","1093100","3581","509444.9","3895.5"
"131003114000","1085800","3582","513343.0","3898.1"
"132003096000","1086700","3582","517237.6","3894.6"
"133003088000","1085900","3580","521151.6","3914.0"
"134002998000","1086500","3582","525050.5","3898.9"
"135002854000","1085600","3581","528948.1","3897.6"
"136003151000","1085800","3583","532849.2","3901.1"
"137003330000","1078000","3584","536745.1","3895.9"
"138003412000","1091300","3581","540655.1","3910.0"
"139003327000","1089500","3582","544553.2","3898.1"
"140003208000","1086000","3583","548448.7","3895.5"
"141003335000","1083100","3581","552346.7","3898.0"
"142003204000","1091200","3582","556243.5","3896.8"
"143003235000","1078500","3581","560148.9","3905.4"
"144003109000","1082500","3583","564042.2","3893.3"
"145002923000","1078100","3580","567936.0","3893.8"
"146003113000","1085900","3582","571831.9","3895.9"
"147002934000","1077900","3579","575731.2","3899.3"
"148003129000","1071700","3583","579634.9","3903.7"
"149003152000","1076000","3584","583522.6","3887.7"
"150003110000","1079100","3582","587407.3","3884.7"
"151003196000","1079700","3580","591292.1","3884.8"
"152003184000","1076400","3583","595179.4","3887.3"
"153003298000","1077400","3581","599077.0","3897.6"
"154003291000","1086200","3581","602968.2","3891.2"
"155003277000","1077700","3581","606856.8","3888.6"
"156003388000","1078700","3583","610748.0","3891.2"
"157003332000","1079000","3580","614636.6","3888.6"
"158003449000","1078100","3583","618537.6","3901.0"
"159003327000","1085300","3583","622423.2","3885.6"
"160003140000","1079100","3582","626308.8","3885.6"
"161003249000","1078600","3582","630196.6","3887.8"
"162003163000","1084100","3580","634083.0","3886.4"
"163003157000","1071000","3580","637987.5","3904.5"
"164003081000","1076200","3582","641881.7","3894.2"
"165002846000","1085100","3584","645772.5","3890.8"
"166002964000","1085700","3582","649660.6","3888.1"
"167002826000","1075400","3582","653549.3","3888.7"
"168002865000","1078500","3582","657448.6","3899.3"
"169002827000","1070800","3583","661338.1","3889.5"
"170002694000","1071600","3583","665223.2","3885.1"
"171002968000","1078200","3583","669108.8","3885.6"
"172002914000","1071500","3581","672994.0","3885.2"
"173002969000","1070500","3582","676885.6","3891.6"
"174002914000","1078800","3581","680751.4","3865.8"
"175002753000","1072600","3582","684628.4","3877.0"
"176003028000","1077900","3582","688510.6","3882.2"
"177003074000","1078000","3581","692391.0","3880.4"
"178003056000","1081000","3581","696284.7","3893.7"
"179003058000","1075500","3583","700166.0","3881.3"
"180002981000","1078100","3582","704050.4","3884.4"
"181003211000","1078900","3582","707932.1","3881.7"
"182003247000","1084800","3582","711811.6","3879.5"
"183003360000","1085600","3583","715706.7","3895.1"
"184003387000","1075100","3580","719588.4","3881.7"
"185003217000","1085500","3583","723470.6","3882.2"
"186003325000","1078500","3583","727359.6","3889.0"
"187003342000","1070900","3583","731240.5","3880.9"
"188003572000","1077800","3582","735134.6","3894.1"
"189003478000","1078000","3582","739025.4","3890.8"
"190003367000","1079700","3581","742905.0","3879.6"
"191003499000","1074900","3584","746786.7","3881.7"
"192003425000","1079600","3583","750666.3","3879.6"
"193003686000","1071000","3583","754555.3","3889.0"
"194003565000","1083800","3581","758426.7","3871.4"
"195003601000","1075400","3583","762306.3","3879.6"
"196003687000","1075400","3581","766187.1","3880.8"
"197003519000","1070100","3582","770062.9","3875.8"
"198003635000","1075400","3582","773953.6","3890.7"
"199003655000","1075800","3581","777834.0","3880.4"
"200003474000","1075300","3583","781710.6","3876.6"
"201003574000","1075500","3581","785586.8","3876.2"
"202003546000","1070600","3583","789466.3","3879.5"
"203003718000","1070200","3582","793361.8","3895.5"
"204003685000","1077400","3585","797246.1","3884.3"
"205003575000","1084100","3583","801130.0","3883.9"
"206003654000","1085800","3584","805009.1","3879.1"
"207003566000","1075500","3582","808886.6","3877.5"
"208003590000","1070600","3581","812776.5","3889.9"
"209003632000","1075600","3580","816660.8","3884.3"
"210003674000","1071200","3584","820547.2","3886.4"
"211004045000","1086200","3584","824437.9","3890.7"
"212004022000","1079400","3582","828325.7","3887.8"
"213004094000","1079200","3582","832222.0","3896.3"
"214004071000","1083400","3582","836105.9","3883.9"
"215003842000","1079000","3582","839986.8","3880.9"
"216004016000","1079400","3581","843868.0","3881.2"
"217003894000","1075100","3582","847750.2","3882.2"
"218003894000","1071500","3583","851645.3","3895.1"
"219003871000","1083400","3582","855526.1","3880.8"
"220003721000","1076700","3582","859414.3","3888.2"
"221003878000","1079100","3580","863297.7","3883.4"
"222003738000","1068000","3582","867172.2","3874.5"
"223003897000","1137800","3582","871053.5","3881.3"
"224003837000","1077500","3580","874939.1","3885.6"
"225003736000","1070500","3583","878810.5","3871.4"
"226003806000","1078300","3582","882690.5","3880.0"
"227003657000","1079200","3583","886569.6","3879.1"
"228003776000","1075700","3584","890449.6","3880.0"
"229003737000","1088900","3584","894334.4","3884.8"
"230003614000","1071700","3580","898218.2","3883.8"
"231003782000","1090300","3582","902109.0","3890.8"
"232003687000","1085200","3583","905997.6","3888.6"
"233003721000","1076300","3583","909887.5","3889.9"
"234003623000","1086300","3581","913785.1","3897.6"
"235003452000","1075300","3580","917671.6","3886.5"
"236003800000","1071200","3583","921559.7","3888.1"
"237003650000","1078700","3581","925441.0","3881.3"
"238003744000","1070900","3580","929317.2","3876.2"
"239003623000","1071600","3581","933193.7","3876.5"
"240003535000","1078500","3581","937057.4","3863.7"
"241003610000","1075400","3580","940928.4","3871.0"
"242003603000","1077500","3583","944806.7","3878.3"
"243003747000","1072600","3582","948680.7","3874.0"
"244003654000","1071400","3581","952571.9","3891.2"
"245003523000","1071200","3580","956451.0","3879.1"
"246003647000","1087100","3584","960328.0","3877.0"
"247003540000","1079500","3582","964203.3","3875.3"
"248003584000","1074500","3581","968079.4","3876.1"
"249003670000","1074800","3582","971965.9","3886.5"
"250003626000","1082900","3583","975840.7","3874.8"
"251003871000","1076200","3582","979717.7","3877.0"
"252003842000","1075200","3583","983595.1","3877.4"
"253003881000","1071200","3580","987470.8","3875.7"
"254003701000","1075200","3581","991355.2","3884.4"
"255003611000","1077600","3582","995224.9","3869.7"
"256003831000","1071000","3581","999095.8","3870.9"
"257003805000","1071000","3582","1002969.0","3873.2"
"258003825000","1083500","3582","1006842.5","3873.5"
"259003664000","1077900","3582","1010727.3","3884.8"
"260003623000","1078100","3581","1014608.6","3881.3"
"261003696000","1075400","3584","1018491.6","3883.0"
"262003556000","1078000","3582","1022380.6","3889.0"
"263003611000","1078600","3583","1026272.6","3892.0"
"264003592000","1087100","3584","1030181.9","3909.3"
