Time (ns),Current (nA),Voltage (mV),Energy (uJ),Variation (uJ)
"999638000","705200","3584","2558.0","2558.0"
"1999526000","717400","3582","5131.9","2573.9"
"2999560000","717300","3583","7762.4","2630.5"
"3999437000","718000","3581","10347.4","2585.0"
"4999262000","725200","3583","12935.8","2588.4"
"5999423000","719400","3583","15527.5","2591.7"
"6999275000","723300","3584","18118.0","2590.5"
"7999384000","726800","3581","20763.0","2645.0"
"8999358000","720600","3579","23362.9","2599.9"
"9999213000","725100","3583","25967.0","2604.1"
"10999309000","718900","3584","28566.4","2599.4"
"11999215000","719300","3580","31155.6","2589.2"
"12999241000","713900","3582","33791.7","2636.1"
"13999344000","720600","3581","36380.0","2588.3"
"14999296000","717800","3581","38966.7","2586.7"
"15999348000","713400","3583","41552.5","2585.8"
"16999290000","719000","3581","44137.5","2585.0"
"17999334000","720300","3584","46770.9","2633.4"
"18999313000","713200","3583","49357.2","2586.3"
"19999196000","718200","3582","51942.1","2584.9"
"20999368000","720100","3583","54528.4","2586.3"
"21999265000","718800","3584","57113.8","2585.4"
"22999288000","1678500","3583","59747.2","2633.4"
"23999125000","718000","3583","62332.2","2585.0"
"24998947000","727600","3582","64922.3","2590.1"
"25998998000","713800","3582","67528.9","2606.6"
"26998872000","717500","3583","70112.6","2583.7"
"27998971000","717000","3583","72697.2","2584.6"
"28998985000","720500","3583","75331.5","2634.3"
"29999058000","713300","3584","77917.3","2585.8"
"30999191000","711900","3582","80507.4","2590.1"
"31999317000","713500","3583","83094.9","2587.5"
"32999540000","720000","3581","85682.4","2587.5"
"33999649000","711600","3584","88316.3","2633.9"
"34999565000","713500","3584","90905.1","2588.8"
"35999723000","726900","3582","93490.4","2585.3"
"36999609000","720000","3582","96075.4","2585.0"
"37999742000","718400","3582","98660.8","2585.4"
"38999743000","717600","3582","101295.1","2634.3"
"39999711000","725200","3582","103881.3","2586.2"
"41000020000","718800","3583","106469.3","2588.0"
"41999961000","718400","3582","109056.8","2587.5"
"43000213000","729100","3581","111656.6","2599.8"
"44000175000","725000","3582","114309.3","2652.7"
"45000082000","719100","3583","116911.7","2602.4"
"46000379000","725600","3584","119520.0","2608.3"
"47000409000","723700","3584","122123.3","2603.3"
"48000516000","727300","3582","124725.7","2602.4"
"49000554000","719900","3583","127376.6","2650.9"
"50000467000","735400","3582","129976.9","2600.3"
"51000744000","718100","3581","132580.6","2603.7"
"52000637000","722100","3584","135180.4","2599.8"
"53000743000","725100","3583","137779.9","2599.5"
"54000696000","724800","3583","140428.3","2648.4"
"55000681000","722100","3581","143027.3","2599.0"
"56000905000","718600","3580","145629.7","2602.4"
"57000871000","725200","3585","148229.1","2599.4"
"58000898000","725200","3583","150828.9","2599.8"
"59000887000","725700","3583","153476.9","2648.0"
"60000925000","718900","3581","156076.8","2599.9"
"61001274000","723600","3583","158678.7","2601.9"
"62001312000","725600","3580","161278.1","2599.4"
"63001476000","718300","3582","163879.3","2601.2"
"64001437000","720300","3582","166528.5","2649.2"
"65001492000","728400","3583","169129.2","2600.7"
"66001773000","730500","3582","171731.6","2602.4"
"67001745000","725000","3583","174332.3","2600.7"
"68001917000","724800","3582","176933.4","2601.1"
"69001948000","719500","3584","179582.7","2649.3"
"70001917000","720200","3582","182182.5","2599.8"
"71002214000","717600","3584","184785.8","2603.3"
"72002182000","719800","3583","187386.5","2600.7"
"73002491000","720000","3583","189988.4","2601.9"
"74002584000","724100","3580","192638.5","2650.1"
"75002549000","729000","3583","195239.2","2600.7"
"76002710000","724000","3580","197843.3","2604.1"
