Time (ns),Current (nA),Voltage (mV),Energy (uJ),Variation (uJ)
"1000191000","345700","3582","1240.8","1240.8"
"2000759000","344600","3582","2480.4","1239.6"
"3001416000","344600","3582","3769.8","1289.4"
"4002132000","344300","3582","5008.6","1238.8"
"5002417000","344300","3582","6248.6","1240.0"
"6003149000","344100","3580","7487.4","1238.8"
"7003744000","347300","3584","8731.7","1244.3"
"8004395000","353600","3582","10040.9","1309.2"
"9004963000","374100","3582","11353.5","1312.6"
"10005347000","376900","3584","12708.3","1354.8"
"11005917000","368300","3581","14045.1","1336.8"
"12006480000","362800","3583","15365.9","1320.8"
"13007074000","366400","3584","16733.1","1367.2"
"14007620000","364500","3581","18045.8","1312.7"
"15008055000","357200","3581","19345.6","1299.8"
"16008638000","354600","3584","20628.6","1283.0"
"17009135000","351200","3585","21898.7","1270.1"
"18009706000","349100","3582","23210.9","1312.2"
"19010237000","346300","3584","24469.0","1258.1"
"20010601000","348600","3582","25719.3","1250.3"
"21011239000","348100","3582","26969.2","1249.9"
"22011983000","349000","3581","28220.4","1251.2"
"23012567000","349600","3581","29520.2","1299.8"
"24013063000","348200","3583","30770.6","1250.4"
"25013314000","346400","3584","32020.1","1249.5"
"26013846000","341500","3583","33269.5","1249.4"
"27014400000","347900","3583","34517.8","1248.3"
"28014863000","349100","3582","35814.1","1296.3"
"29015392000","346100","3583","37061.8","1247.7"
"30015827000","344300","3581","38307.9","1246.1"
"31016383000","346400","3584","39555.2","1247.3"
"32016900000","346400","3581","40801.7","1246.5"
"33017414000","344700","3586","42098.1","1296.4"
"34018014000","346400","3584","43344.5","1246.4"
"35018526000","347400","3580","44590.1","1245.6"
"36019005000","344700","3585","45836.2","1246.1"
"37019758000","348100","3583","47083.1","1246.9"
"38020328000","346700","3582","48378.1","1295.0"
"39020991000","342600","3584","49623.7","1245.6"
"40021284000","344200","3583","50867.7","1244.0"
"41021959000","348400","3583","52112.4","1244.7"
"42022457000","346500","3581","53356.7","1244.3"
"43023041000","344600","3583","54647.9","1291.2"
"44023490000","348900","3583","55891.8","1243.9"
"45023908000","344800","3585","57134.4","1242.6"
"46024441000","346400","3582","58377.1","1242.7"
"47024984000","346400","3583","59620.1","1243.0"
"48025417000","346400","3582","60912.1","1292.0"
"49025911000","346200","3580","62156.0","1243.9"
"50026252000","345900","3585","63399.5","1243.5"
"51026745000","347200","3582","64643.9","1244.4"
"52027374000","346400","3584","65889.0","1245.1"
"53027967000","347000","3581","67182.4","1293.4"
"54028388000","344800","3584","68426.7","1244.3"
"55028802000","348000","3582","69670.6","1243.9"
"56029364000","344300","3584","70914.5","1243.9"
"57029947000","348100","3583","72158.8","1244.3"
"58030406000","345800","3584","73452.2","1293.4"
"59030831000","346300","3583","74696.1","1243.9"
"60031143000","346400","3583","75940.0","1243.9"
"61031684000","346100","3584","77182.2","1242.2"
"62032324000","344600","3585","78423.9","1241.7"
"63032900000","345700","3581","79714.6","1290.7"
"64033354000","343000","3583","80956.4","1241.8"
"65033711000","346800","3582","82197.7","1241.3"
"66034373000","343200","3582","83438.6","1240.9"
"67034866000","348200","3582","84680.8","1242.2"
"68035401000","346400","3581","85974.1","1293.3"
"69035968000","344500","3584","87218.9","1244.8"
"70036306000","346100","3583","88462.8","1243.9"
"71036938000","343100","3584","89706.7","1243.9"
"72037543000","344700","3583","90948.9","1242.2"
"73038166000","345600","3586","92239.2","1290.3"
"74038682000","343100","3584","93478.3","1239.1"
"75039072000","347800","3581","94717.5","1239.2"
"76039582000","346400","3585","95958.4","1240.9"
"77040161000","343100","3582","97195.0","1236.6"
"78040733000","342700","3585","98480.2","1285.2"
"79041266000","347200","3582","99714.6","1234.4"
"80041768000","342900","3584","100949.1","1234.5"
"81042299000","341400","3585","102181.8","1232.7"
"82042874000","344200","3583","103414.1","1232.3"
"83043381000","350200","3584","104705.7","1291.6"
"84043958000","357000","3580","105977.1","1271.4"
"85044349000","354800","3582","107261.4","1284.3"
"86045058000","358300","3585","108547.0","1285.6"
"87045636000","367500","3581","109851.9","1304.9"
"88046217000","381200","3584","111253.1","1401.2"
"89046871000","385700","3582","112636.2","1383.1"
"90047457000","393300","3585","114045.1","1408.9"
"91048179000","378600","3584","115441.2","1396.1"
"92048880000","364700","3583","116783.0","1341.8"
"93049458000","366600","3583","118141.3","1358.3"
"94049910000","356200","3584","119429.8","1288.5"
"95050211000","351900","3581","120706.8","1277.0"
"96050803000","349000","3584","121975.2","1268.4"
"97051279000","349800","3583","123236.3","1261.1"
"98051762000","348100","3584","124541.3","1305.0"
"99052157000","346400","3583","125794.6","1253.3"
"100052527000","348500","3580","127045.4","1250.8"
"101053026000","346300","3584","128294.5","1249.1"
"102053605000","342600","3582","129542.7","1248.2"
"103054266000","524300","3583","130837.7","1295.0"
"104054713000","346500","3582","132085.9","1248.2"
"105055099000","349700","3584","133332.0","1246.1"
"106055742000","346300","3583","134577.1","1245.1"
"107056359000","344800","3583","135822.3","1245.2"
"108057004000","818900","3582","137114.8","1292.5"
