Time (ns),Current (nA),Voltage (mV),Energy (uJ),Variation (uJ)
"1000063000","353100","3583","1328.9","1328.9"
"2000104000","356200","3582","2608.9","1280.0"
"3000476000","353400","3581","3889.8","1280.9"
"4000650000","358800","3582","5172.8","1283.0"
"5000614000","353100","3581","6462.7","1289.9"
"6000729000","353600","3583","7793.5","1330.8"
"7000950000","359100","3581","9075.6","1282.1"
"8001267000","356500","3583","10363.0","1287.4"
"9001372000","358800","3582","11650.7","1287.7"
"10001407000","357100","3583","12935.0","1284.3"
"11001716000","362200","3583","14267.1","1332.1"
"12001743000","353600","3584","15549.7","1282.6"
"13002116000","357100","3583","16832.7","1283.0"
"14002305000","356900","3583","18115.3","1282.6"
"15002322000","362600","3584","19406.1","1290.8"
"16002469000","359300","3582","20738.9","1332.8"
"17002383000","358800","3582","22036.6","1297.7"
"18002451000","364700","3584","23358.3","1321.7"
"19002371000","369300","3582","24689.5","1331.2"
"20002499000","378300","3582","26026.2","1336.7"
"21002730000","368200","3582","27414.1","1387.9"
"22002700000","366500","3582","28749.2","1335.1"
"23002921000","366500","3584","30082.0","1332.8"
"24003016000","368300","3582","31403.3","1321.3"
"25002988000","364800","3582","32719.5","1316.2"
"26003211000","377900","3582","34090.6","1371.1"
"27003205000","368300","3582","35430.3","1339.7"
"28003561000","366300","3582","36767.5","1337.2"
"29003525000","371000","3585","38093.5","1326.0"
"30003708000","364700","3585","39410.5","1317.0"
"31004001000","361100","3582","40767.5","1357.0"
"32003972000","360600","3581","42074.1","1306.6"
"33004184000","368300","3583","43382.5","1308.4"
"34004319000","366400","3584","44698.2","1315.7"
"35004379000","362900","3585","46018.6","1320.4"
"36004704000","730200","3584","47379.0","1360.4"
"37004950000","370700","3582","48689.1","1310.1"
"38005190000","370300","3582","49993.2","1304.1"
"39005222000","371500","3584","51294.3","1301.1"
"40005190000","372000","3586","52594.1","1299.8"
"41005418000","858100","3584","53937.7","1343.6"
"42005452000","365800","3585","55231.5","1293.8"
"43005741000","357200","3583","56521.8","1290.3"
"44005643000","361100","3583","57809.1","1287.3"
"45005612000","354700","3582","59095.6","1286.5"
"46005843000","353500","3582","60380.8","1285.2"
"47005761000","359200","3582","61712.8","1332.0"
"48005904000","355300","3581","62995.4","1282.6"
"49005990000","355000","3580","64278.9","1283.5"
"50006199000","356600","3581","65569.6","1290.7"
"51006483000","354800","3581","66853.1","1283.5"
"52006452000","360600","3580","68195.4","1342.3"
"53006618000","363700","3581","69491.8","1296.4"
"54006772000","360500","3583","70784.7","1292.9"
"55006835000","351400","3583","72068.6","1283.9"
"56006980000","358400","3581","73352.5","1283.9"
"57006681000","358900","3584","74683.7","1331.2"
"58006846000","359900","3582","75967.1","1283.4"
"59006879000","360700","3582","77251.9","1284.8"
"60006813000","358700","3582","78540.1","1288.2"
"61007005000","366600","3582","79843.3","1303.2"
"62006851000","364200","3583","81193.9","1350.6"
"63007028000","359200","3582","82489.3","1295.4"
"64006976000","358600","3582","83776.3","1287.0"
"65006949000","363700","3587","85062.3","1286.0"
"66007180000","358800","3582","86349.2","1286.9"
"67007215000","361100","3582","87684.7","1335.5"
"68007384000","361900","3583","88972.8","1288.1"
"69007489000","357000","3581","90261.5","1288.7"
"70007365000","357200","3583","91549.7","1288.2"
"71007701000","360300","3584","92837.9","1288.2"
"72007653000","359300","3584","94174.2","1336.3"
"73007763000","359300","3582","95461.9","1287.7"
"74007931000","355300","3581","96748.4","1286.5"
"75007951000","358800","3581","98034.9","1286.5"
"76008212000","356900","3585","99320.5","1285.6"
"77008087000","353700","3583","100652.5","1332.0"
"78008179000","358800","3584","101937.3","1284.8"
"79008214000","354800","3581","103221.6","1284.3"
"80008314000","358800","3582","104505.9","1284.3"
"81008611000","355400","3582","105789.0","1283.1"
"82008538000","353600","3581","107120.6","1331.6"
"83008678000","357000","3580","108403.6","1283.0"
"84008929000","355400","3583","109689.6","1286.0"
"85009189000","356500","3581","110976.5","1286.9"
"86009409000","355800","3583","112258.7","1282.2"
"87009301000","355300","3580","113587.3","1328.6"
"88009475000","359400","3581","114872.0","1284.7"
"89009569000","354900","3583","116155.1","1283.1"
"90009544000","352000","3580","117435.5","1280.4"
"91009989000","355300","3583","118715.1","1279.6"
"92010029000","354700","3586","120042.8","1327.7"
"93010278000","349600","3581","121321.1","1278.3"
"94010362000","356900","3584","122599.4","1278.3"
"95010336000","356900","3583","123879.5","1280.1"
"96010616000","353600","3580","125157.8","1278.3"
"97010723000","355200","3584","126485.1","1327.3"
"98010890000","351500","3582","127764.2","1279.1"
"99011143000","354800","3579","129043.0","1278.8"
"100011305000","358300","3583","130322.5","1279.5"
"101011479000","351200","3582","131600.9","1278.4"
"102011565000","356800","3580","132927.7","1326.8"
"103011809000","351100","3584","134207.3","1279.6"
"104012102000","353600","3581","135486.5","1279.2"
"105012073000","357900","3582","136766.5","1280.0"
"106012302000","357000","3583","138047.4","1280.9"
"107012129000","356900","3583","139375.5","1328.1"
"108012390000","354800","3585","140655.1","1279.6"
"109012541000","357000","3582","141935.6","1280.5"
"110012605000","359400","3583","143216.0","1280.4"
"111012958000","358300","3581","144501.2","1285.2"
"112013079000","359300","3582","145838.0","1336.8"
"113013432000","357100","3583","147124.8","1286.8"
"114013553000","358500","3584","148407.4","1282.6"
"115013630000","354800","3582","149688.3","1280.9"
"116013885000","353500","3584","150971.3","1283.0"
"117013841000","355200","3583","152300.4","1329.1"
"118013941000","354800","3581","153581.3","1280.9"
"119014044000","351800","3586","154863.0","1281.7"
"120014011000","350900","3581","156143.0","1280.0"
"121014242000","357000","3582","157425.2","1282.2"
"122014204000","363600","3584","158755.9","1330.7"
"123014431000","353500","3584","160038.6","1282.7"
"124014505000","356900","3581","161320.3","1281.7"
"125014437000","357100","3580","162601.6","1281.3"
"126014614000","357000","3580","163885.9","1284.3"
"127014646000","358800","3582","165223.1","1337.2"
"128014944000","350200","3583","166509.6","1286.5"
"129015051000","358800","3579","167793.1","1283.5"
"130015087000","354900","3584","169076.5","1283.4"
"131015325000","360500","3580","170360.4","1283.9"
"132015352000","362300","3583","171690.3","1329.9"
"133015456000","355200","3581","172974.6","1284.3"
"134015484000","353700","3584","174260.2","1285.6"
"135015523000","353500","3582","175545.8","1285.6"
"136015755000","360500","3581","176831.9","1286.1"
"137015719000","362300","3579","178166.5","1334.6"
"138015950000","357000","3583","179452.5","1286.0"
"139015859000","351700","3580","180737.7","1285.2"
"140015963000","358700","3581","182022.9","1285.2"
"141016186000","358700","3582","183311.5","1288.6"
"142016216000","360700","3582","184646.5","1335.0"
"143016471000","362200","3583","185935.1","1288.6"
"144016541000","357600","3584","187224.6","1289.5"
"145016620000","351300","3583","188510.7","1286.1"
"146016897000","368300","3580","189798.0","1287.3"
"147016921000","1124300","3583","191133.0","1335.0"
"148016963000","364600","3581","192419.9","1286.9"
"149016998000","372100","3581","193717.6","1297.7"
"150016815000","357100","3581","195007.9","1290.3"
"151017105000","356800","3581","196300.4","1292.5"
"152017103000","358900","3583","197580.4","1280.0"
"153017272000","357100","3584","198912.0","1331.6"
"154017569000","353100","3582","200192.5","1280.5"
"155017738000","353600","3581","201473.8","1281.3"
"156017980000","355300","3584","202755.5","1281.7"
"157018017000","353400","3581","204039.9","1284.4"
"158018331000","355300","3582","205371.9","1332.0"
"159018499000","357000","3583","206656.2","1284.3"
"160018534000","353000","3583","207940.9","1284.7"
"161018815000","356900","3582","209227.0","1286.1"
"162018816000","356900","3583","210513.0","1286.0"
"163019089000","359700","3585","211848.0","1335.0"
"164019017000","361100","3580","213138.8","1290.8"
"165019091000","361900","3580","214431.3","1292.5"
"166019324000","353600","3582","215720.4","1289.1"
"167019295000","360400","3583","217009.0","1288.6"
"168019389000","353600","3583","218347.0","1338.0"
"169019353000","356900","3582","219637.0","1290.0"
"170019106000","360500","3583","220927.7","1290.7"
"171019366000","356800","3584","222221.9","1294.2"
"172019171000","357100","3585","223514.0","1292.1"
