Time (ns),Current (nA),Voltage (mV),Energy (uJ),Variation (uJ)
"999827000","3811400","3590","13653.5","13653.5"
"1999979000","3758900","3593","27288.6","13635.1"
"3000023000","3828600","3590","40967.1","13678.5"
"4000305000","3823900","3591","54603.1","13636.0"
"5000215000","3843500","3588","68235.1","13632.0"
"6000565000","3806900","3593","81871.9","13636.8"
"7000530000","3796300","3593","95510.0","13638.1"
"8000635000","3818500","3591","109199.4","13689.4"
"9000663000","3790200","3593","122837.9","13638.5"
"10000580000","3870100","3591","136476.4","13638.5"
"11000875000","3810900","3591","150119.7","13643.3"
"12000969000","3810900","3590","163760.4","13640.7"
"13001286000","3802300","3589","177450.1","13689.7"
"14001332000","3791800","3590","191089.1","13639.0"
"15001502000","3843400","3594","204729.7","13640.6"
"16001723000","3835800","3593","218361.8","13632.1"
"17001763000","3788500","3592","231987.4","13625.6"
"18002055000","3788000","3589","245664.2","13676.8"
"19002099000","3814800","3590","259294.2","13630.0"
"20002194000","3793500","3590","272924.1","13629.9"
"21002576000","3881400","3587","286557.0","13632.9"
"22002754000","3818200","3594","300185.6","13628.6"
"23002994000","3760800","3588","313867.6","13682.0"
"24003284000","3789600","3588","327498.4","13630.8"
"25003266000","3808500","3591","341136.5","13638.1"
"26003758000","3817500","3592","354772.8","13636.3"
"27003878000","3817600","3587","368409.2","13636.4"
"28004195000","3765700","3589","382093.8","13684.6"
"29004263000","3804400","3591","395733.6","13639.8"
"30004386000","3821000","3591","409376.0","13642.4"
"31004730000","3812900","3587","423020.1","13644.1"
"32004635000","4287500","3589","436662.1","13642.0"
"33004881000","3792900","3588","450295.0","13632.9"
"34004927000","3825600","3595","463981.3","13686.3"
"35004887000","3787300","3591","477617.7","13636.4"
"36005173000","3807100","3589","491263.5","13645.8"
"37005289000","3821800","3592","504904.6","13641.1"
"38005621000","3788400","3591","518552.6","13648.0"
"39005700000","3815000","3589","532239.4","13686.8"
"40005666000","3813900","3587","545874.0","13634.6"
"41005691000","3843500","3587","559511.7","13637.7"
"42005793000","2810300","3583","573145.5","13633.8"
"43006092000","4042300","3590","586839.1","13693.6"
"44006199000","3761800","3587","600534.9","13695.8"
"45006313000","3789100","3589","614166.5","13631.6"
"46006537000","3815000","3590","627797.3","13630.8"
"47006708000","3803500","3590","641428.1","13630.8"
"48007065000","3783100","3589","655075.6","13647.5"
"49007041000","3841800","3593","668756.4","13680.8"
"50007087000","3812900","3589","682383.3","13626.9"
"51007303000","3771700","3590","696012.7","13629.4"
"52007555000","3763000","3587","709643.9","13631.2"
"53007805000","3757600","3590","723277.3","13633.4"
"54007891000","3815700","3590","736957.6","13680.3"
"55008074000","3818200","3592","750585.3","13627.7"
"56008374000","3844700","3590","764215.6","13630.3"
"57008470000","3812900","3594","777843.8","13628.2"
"58008784000","3758000","3588","791488.4","13644.6"
"59008825000","3813100","3586","805176.4","13688.0"
"60008997000","3810900","3592","818813.2","13636.8"
"61009271000","3810300","3593","832452.2","13639.0"
"62009323000","3824400","3588","846087.2","13635.0"
"63009684000","3751200","3593","859735.7","13648.5"
"64009774000","3811900","3593","873417.7","13682.0"
"65009701000","3863300","3592","887042.4","13624.7"
"66009847000","3782600","3591","900670.2","13627.8"
"67009744000","3790200","3589","914294.5","13624.3"
"68009804000","3810900","3592","927923.1","13628.6"
"69009813000","3807000","3589","941612.9","13689.8"
"70009856000","3784200","3589","955242.8","13629.9"
"71010051000","3804700","3589","968874.4","13631.6"
"72010357000","3801700","3589","982508.2","13633.8"
"73010799000","3789100","3591","996142.8","13634.6"
"74010896000","3777000","3587","1009827.9","13685.1"
"75011005000","3788700","3589","1023458.6","13630.7"
"76011199000","3871400","3590","1037089.8","13631.2"
"77011106000","3813500","3594","1050718.0","13628.2"
"78011417000","3807500","3592","1064350.5","13632.5"
"79011520000","3841200","3592","1078037.3","13686.8"
"80011600000","3815400","3589","1091668.0","13630.7"
"81011986000","3836100","3593","1105299.7","13631.7"
"82012036000","3759200","3593","1118927.0","13627.3"
"83013368000","3812300","3588","1132573.6","13646.6"
"84013625000","3789600","3589","1146256.5","13682.9"
"85013644000","3814200","3590","1159886.4","13629.9"
"86013936000","3766300","3593","1173517.2","13630.8"
"87014128000","3870500","3593","1187148.8","13631.6"
"88014149000","3843500","3589","1200773.5","13624.7"
"89014362000","3816000","3590","1214455.1","13681.6"
"90014233000","3752800","3590","1228080.3","13625.2"
"91014318000","3835100","3591","1241710.6","13630.3"
"92014351000","3766300","3590","1255338.0","13627.4"
"93014382000","3772400","3593","1268961.9","13623.9"
"94014745000","3817600","3589","1282658.5","13696.6"
"95014805000","3795700","3591","1296285.8","13627.3"
"96015224000","3817000","3591","1309920.9","13635.1"
"97015238000","3823900","3592","1323546.5","13625.6"
"98015216000","3826100","3591","1337167.8","13621.3"
"99015739000","3791300","3590","1350857.1","13689.3"
"100015911000","3841200","3589","1364488.3","13631.2"
"101016213000","3785600","3593","1378118.2","13629.9"
"102016234000","3763500","3591","1391744.2","13626.0"
"103016385000","3756500","3590","1405378.5","13634.3"
"104016703000","3768500","3593","1419068.6","13690.1"
"105016668000","3823300","3588","1432690.8","13622.2"
"106017054000","3815000","3591","1446320.3","13629.5"
"107017143000","3779600","3595","1459948.0","13627.7"
"108017203000","3809200","3589","1473577.1","13629.1"
"109017570000","3904600","3588","1487267.7","13690.6"
"110017648000","3808600","3589","1500898.9","13631.2"
"111017849000","3765100","3589","1514534.4","13635.5"
"112017991000","3751200","3588","1528169.0","13634.6"
"113017968000","3821800","3590","1541799.8","13630.8"
"114018212000","3823300","3591","1555483.1","13683.3"
"115018321000","3825600","3591","1569120.8","13637.7"
"116018491000","3815100","3590","1582754.1","13633.3"
"117018654000","3792400","3591","1596390.1","13636.0"
"118018784000","3819400","3589","1610023.9","13633.8"
"119019103000","3811900","3587","1623710.2","13686.3"
"120019091000","3894000","3590","1637344.4","13634.2"
"121019470000","3759500","3592","1650977.3","13632.9"
"122019565000","3816300","3591","1664610.2","13632.9"
"123019606000","3791300","3590","1678241.0","13630.8"
"124019887000","3752200","3591","1691926.0","13685.0"
"125019864000","3803300","3588","1705562.0","13636.0"
"126020040000","3817400","3590","1719195.7","13633.7"
"127020190000","3839400","3592","1732829.1","13633.4"
"128020186000","3821600","3591","1746459.9","13630.8"
"129020690000","3822600","3589","1760148.8","13688.9"
"130020802000","3812400","3589","1773792.5","13643.7"
"131020884000","3819000","3590","1787424.1","13631.6"
"132020974000","3794600","3589","1801051.4","13627.3"
"133021100000","3770600","3589","1814679.6","13628.2"
"134021607000","3830200","3590","1828359.4","13679.8"
"135021849000","3756500","3593","1841994.9","13635.5"
"136022061000","3791800","3589","1855618.8","13623.9"
"137022082000","3815900","3592","1869242.3","13623.5"
"138022131000","3784700","3590","1882868.7","13626.4"
"139022540000","3827300","3591","1896548.1","13679.4"
"140022799000","3765700","3588","1910186.2","13638.1"
"141022926000","3807500","3591","1923811.8","13625.6"
"142023087000","4189700","3588","1937437.0","13625.2"
"143022998000","3818200","3590","1951054.4","13617.4"
"144023367000","3832900","3593","1964684.7","13630.3"
"145023389000","3765600","3589","1978362.9","13678.2"
"146023418000","3795700","3587","1991982.9","13620.0"
"147023346000","3809200","3592","2005602.5","13619.6"
"148023435000","3840600","3589","2019225.9","13623.4"
"149023877000","3813700","3590","2032855.8","13629.9"
"150024037000","3764100","3588","2046537.8","13682.0"
"151024281000","3765200","3591","2060166.4","13628.6"
"152024390000","2227100","3584","2073788.6","13622.2"
"153024377000","4039100","3587","2087463.7","13675.1"
"154024631000","3810900","3590","2101114.3","13650.6"
"155025646000","3799600","3589","2114798.9","13684.6"
"156025815000","3835300","3593","2128428.8","13629.9"
"157025972000","3827300","3591","2142051.4","13622.6"
"158026010000","3798500","3589","2155672.2","13620.8"
"159025920000","3815900","3591","2169292.7","13620.5"
"160026283000","3798000","3592","2182974.2","13681.5"
"161026528000","3825300","3588","2196614.9","13640.7"
"162026689000","3757600","3589","2210245.7","13630.8"
"163026876000","3820500","3592","2223879.5","13633.8"
"164026964000","3825000","3590","2237511.5","13632.0"
"165027257000","3789600","3588","2251193.5","13682.0"
"166027328000","3764600","3590","2264819.1","13625.6"
"167027663000","3795200","3589","2278443.0","13623.9"
"168027845000","3839500","3588","2292069.5","13626.5"
"169027802000","3794600","3589","2305689.9","13620.4"
"170028073000","3779900","3594","2319366.3","13676.4"
"171028148000","3819300","3590","2332997.1","13630.8"
"172028517000","3757100","3593","2346632.1","13635.0"
"173028726000","3772200","3590","2360257.3","13625.2"
"174028869000","3822200","3592","2373882.0","13624.7"
"175029189000","3902100","3593","2387566.2","13684.2"
"176029203000","3849100","3589","2401203.9","13637.7"
"177029443000","3814800","3588","2414838.9","13635.0"
"178029329000","3818300","3587","2428470.6","13631.7"
"179029569000","3810300","3590","2442107.4","13636.8"
"180030011000","3788700","3589","2455788.5","13681.1"
"181030128000","3819900","3590","2469421.0","13632.5"
"182030430000","3815000","3592","2483050.9","13629.9"
"183030601000","3812600","3590","2496677.4","13626.5"
"184030590000","3796300","3587","2510301.2","13623.8"
"185030858000","3817600","3589","2523985.0","13683.8"
"186030760000","3787900","3591","2537617.5","13632.5"
"187030975000","3766800","3589","2551250.0","13632.5"
"188031387000","3791300","3588","2564889.3","13639.3"
"189031500000","3817100","3589","2578515.8","13626.5"
"190031774000","3810900","3591","2592196.1","13680.3"
"191031819000","3785700","3593","2605824.7","13628.6"
"192032343000","3871700","3590","2619471.4","13646.7"
"193032360000","3767600","3589","2633101.7","13630.3"
"194032470000","3811200","3588","2646734.6","13632.9"
"195032748000","3787300","3590","2660418.4","13683.8"
"196032833000","3813900","3591","2674044.8","13626.4"
"197033300000","3873400","3590","2687687.7","13642.9"
"198033478000","3797400","3591","2701318.9","13631.2"
"199033452000","3792900","3589","2714946.2","13627.3"
"200033883000","3772700","3586","2728626.9","13680.7"
"201033935000","3788200","3589","2742255.9","13629.0"
"202034100000","3793500","3590","2755893.6","13637.7"
"203034265000","3765700","3591","2769517.0","13623.4"
"204034571000","3818800","3590","2783146.9","13629.9"
"205034863000","3795200","3590","2796832.0","13685.1"
"206034780000","3827300","3587","2810459.3","13627.3"
"207035213000","3787700","3587","2824096.5","13637.2"
"208035318000","3813900","3591","2837725.1","13628.6"
"209035353000","3791800","3590","2851351.2","13626.1"
"210035737000","3783400","3592","2865033.2","13682.0"
"211035841000","3786800","3589","2878661.8","13628.6"
"212035998000","3821300","3592","2892294.7","13632.9"
"213036232000","3787400","3587","2905923.3","13628.6"
"214036352000","3803300","3587","2919551.5","13628.2"
"215036738000","3805000","3589","2933230.5","13679.0"
"216036819000","3817800","3589","2946858.7","13628.2"
"217037061000","3815900","3591","2960493.3","13634.6"
"218037019000","3781300","3587","2974118.1","13624.8"
"219037122000","3812000","3591","2987746.2","13628.1"
"220037479000","3813500","3589","3001428.3","13682.1"
"221037518000","3782900","3590","3015058.6","13630.3"
"222037701000","3812000","3590","3028688.9","13630.3"
"223037820000","3813400","3590","3042325.3","13636.4"
"224038046000","3848500","3591","3055955.2","13629.9"
"225038405000","3842900","3589","3069633.8","13678.6"
"226038243000","3782600","3591","3083261.5","13627.7"
"227038472000","3763000","3589","3096891.9","13630.4"
"228038512000","3790700","3589","3110520.5","13628.6"
"229038484000","3812600","3594","3124146.5","13626.0"
"230038763000","3823300","3591","3137827.2","13680.7"
"231038953000","3811400","3592","3151456.3","13629.1"
"232039209000","3810300","3591","3165087.5","13631.2"
"233039482000","3826900","3592","3178725.1","13637.6"
"234039515000","3837300","3588","3192349.4","13624.3"
"235039884000","3810900","3591","3206030.6","13681.2"
"236040075000","3779100","3593","3219660.5","13629.9"
"237040365000","3760800","3593","3233291.7","13631.2"
"238040544000","3815100","3588","3246922.9","13631.2"
"239040648000","3779400","3588","3260552.3","13629.4"
"240041018000","3894400","3593","3274234.3","13682.0"
"241040930000","3868200","3592","3287859.1","13624.8"
"242041036000","3760800","3590","3301486.0","13626.9"
"243041308000","3762400","3588","3315119.8","13633.8"
"244041301000","3814200","3592","3328748.0","13628.2"
"245041445000","3779700","3591","3342426.1","13678.1"
"246041419000","3808000","3589","3356055.2","13629.1"
"247041733000","3816000","3591","3369686.8","13631.6"
"248041966000","3810900","3590","3383322.3","13635.5"
"249041872000","3810700","3589","3396947.5","13625.2"
"250041958000","3812600","3591","3410623.9","13676.4"
"251041971000","3794100","3586","3424254.2","13630.3"
"252042075000","4047900","3592","3437882.8","13628.6"
"253042203000","3813700","3589","3451519.6","13636.8"
"254042209000","3783600","3592","3465146.5","13626.9"
"255042398000","3834000","3589","3478776.9","13630.4"
"256042434000","3792900","3589","3492456.3","13679.4"
"257042600000","3792800","3589","3506085.8","13629.5"
"258042638000","3794600","3592","3519714.4","13628.6"
"259042679000","3784100","3590","3533342.2","13627.8"
"260042899000","3793900","3590","3546973.4","13631.2"
"261043005000","3395300","3589","3560653.7","13680.3"
"262043231000","1936900","3582","3574283.6","13629.9"
"263043281000","4380500","3588","3587969.0","13685.4"
"264043306000","3817600","3592","3601613.6","13644.6"
"265043814000","3757500","3589","3615244.8","13631.2"
"266043857000","3823000","3587","3628918.6","13673.8"
"267044082000","3823700","3590","3642539.9","13621.3"
"268044053000","3790000","3590","3656159.0","13619.1"
"269044157000","3815200","3590","3669782.9","13623.9"
"270044377000","3824800","3587","3683405.9","13623.0"
"271044306000","3825600","3590","3697074.6","13668.7"
"272044591000","3818200","3592","3710700.6","13626.0"
"273045248000","3812900","3593","3724330.9","13630.3"
"274045483000","3885500","3591","3737966.4","13635.5"
"275045584000","3815500","3595","3751590.3","13623.9"
"276045820000","3770100","3592","3765265.4","13675.1"
"277045849000","3828400","3588","3778886.3","13620.9"
"278045966000","3815400","3591","3792507.6","13621.3"
"279046344000","3761800","3591","3806143.1","13635.5"
"280046376000","3817600","3588","3819771.7","13628.6"
"281046752000","3782300","3588","3833450.7","13679.0"
"282046920000","3785800","3593","3847072.8","13622.1"
"283046887000","3787400","3590","3860701.9","13629.1"
"284047170000","3787300","3590","3874340.8","13638.9"
"285047207000","3809300","3588","3887963.9","13623.1"
"286047322000","3755000","3589","3901631.7","13667.8"
"287047451000","3801300","3589","3915252.1","13620.4"
"288047452000","3812900","3594","3928868.2","13616.1"
"289047680000","3842400","3589","3942488.2","13620.0"
"290047575000","3781500","3591","3956101.4","13613.2"
"291047838000","3809100","3588","3969775.2","13673.8"
"292048057000","3760800","3590","3983407.7","13632.5"
"293047990000","3788400","3589","3997029.8","13622.1"
"294048111000","3823900","3588","4010656.3","13626.5"
"295048082000","3845100","3588","4024301.7","13645.4"
"296048185000","3789900","3589","4037979.0","13677.3"
"297048200000","3767400","3590","4051605.5","13626.5"
"298048123000","3785200","3592","4065222.5","13617.0"
"299048407000","3818800","3590","4078846.8","13624.3"
"300048423000","3817000","3589","4092486.6","13639.8"
"301048773000","3807700","3592","4106158.7","13672.1"
"302048933000","3817600","3592","4119777.8","13619.1"
"303048882000","3842300","3593","4133396.1","13618.3"
"304049077000","3785700","3587","4147020.4","13624.3"
"305049292000","3781000","3591","4160655.9","13635.5"
"306049593000","3794700","3589","4174330.2","13674.3"
"307049669000","3762400","3590","4187946.3","13616.1"
"308049748000","3771300","3595","4201563.3","13617.0"
"309050112000","3813700","3589","4215186.3","13623.0"
"310050311000","3823900","3591","4228814.0","13627.7"
"311050744000","3813500","3592","4242490.0","13676.0"
"312050675000","3758100","3592","4256119.9","13629.9"
"313050650000","3807400","3589","4269751.6","13631.7"
"314051099000","3786700","3588","4283374.6","13623.0"
"315051071000","3840700","3591","4297005.3","13630.7"
"316051424000","3779400","3589","4310679.2","13673.9"
"317051605000","3793000","3590","4324302.2","13623.0"
"318051576000","3878600","3591","4337929.5","13627.3"
"319051810000","3792900","3592","4351553.4","13623.9"
"320051975000","3799000","3591","4365183.3","13629.9"
"321052289000","3818200","3591","4378858.0","13674.7"
"322052371000","3809100","3589","4392491.3","13633.3"
"323052497000","3825600","3592","4406106.2","13614.9"
"324052705000","3762900","3592","4419723.6","13617.4"
"325052713000","3850400","3589","4433348.7","13625.1"
"326052924000","3808600","3590","4447017.8","13669.1"
"327053100000","3793500","3590","4460634.8","13617.0"
"328053079000","3791300","3588","4474246.6","13611.8"
"329053431000","3901500","3589","4487868.8","13622.2"
"330053516000","3768100","3590","4501484.9","13616.1"
"331053687000","3815500","3591","4515154.9","13670.0"
"332053881000","3796300","3589","4528776.2","13621.3"
"333054190000","3818500","3590","4542396.6","13620.4"
"334054618000","3840500","3590","4556023.0","13626.4"
"335054594000","3845200","3592","4569642.6","13619.6"
"336054917000","3773800","3591","4583314.7","13672.1"
"337054997000","3750300","3593","4596935.6","13620.9"
