Time (ns),Current (nA),Voltage (mV),Energy (uJ),Variation (uJ)
"1001223000","360500","3582","1286.3","1286.3"
"2002631000","358700","3580","2571.8","1285.5"
"3004293000","358800","3580","3858.2","1286.4"
"4005638000","360700","3581","5145.0","1286.8"
"5006917000","358700","3582","6432.3","1287.3"
"6008393000","362700","3583","7721.7","1289.4"
"7009808000","357100","3580","9015.8","1294.1"
"8011290000","364600","3582","10319.8","1304.0"
"9012695000","360300","3581","11620.4","1300.6"
"10014163000","360000","3584","12916.2","1295.8"
"11015674000","360600","3583","14212.5","1296.3"
"12016981000","363300","3582","15509.2","1296.7"
"13018498000","359400","3582","16807.2","1298.0"
"14019921000","362300","3582","18104.8","1297.6"
"15021208000","354800","3581","19402.8","1298.0"
"16022824000","356900","3584","20699.9","1297.1"
"17024103000","356900","3583","21999.2","1299.3"
"18025843000","361800","3581","23300.6","1301.4"
"19027103000","364700","3583","24602.9","1302.3"
"20028392000","358800","3582","25906.1","1303.2"
"21029986000","363200","3582","27209.2","1303.1"
"22031404000","362700","3582","28512.4","1303.2"
"23033086000","358800","3582","29814.2","1301.8"
"24034630000","364100","3584","31116.1","1301.9"
"25035966000","364700","3583","32418.4","1302.3"
"26037503000","366000","3580","33739.6","1321.2"
"27039043000","371600","3584","35061.6","1322.0"
"28040800000","368300","3582","36384.1","1322.5"
"29042083000","361800","3583","37706.2","1322.1"
"30043552000","366400","3582","39028.3","1322.1"
"31045148000","368600","3582","40349.9","1321.6"
"32046376000","368700","3584","41671.5","1321.6"
"33047832000","365000","3585","42993.1","1321.6"
"34049243000","362900","3583","44314.8","1321.7"
"35050592000","372600","3583","45637.3","1322.5"
"36052264000","364700","3584","46961.5","1324.2"
"37053805000","361600","3580","48275.3","1313.8"
"38055578000","366000","3584","49584.1","1308.8"
"39057181000","362000","3585","50892.8","1308.7"
"40058595000","359600","3582","52204.5","1311.7"
"41060270000","368300","3583","53527.9","1323.4"
"42061604000","366600","3584","54856.0","1328.1"
"43063096000","368300","3584","56189.2","1333.2"
