Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"5000150000","324500","3584","5862.0"
"9999980000","326000","3584","11689.2"
"15000030000","315000","3580","17476.7"
"19999594000","314600","3580","23165.1"
"24998486000","318200","3584","28851.7"
"29997520000","314800","3583","34537.5"
"34996454000","320400","3585","40270.2"
"39994770000","320400","3581","46063.0"
"44992788000","320400","3582","51783.4"
"49990404000","317700","3582","57477.8"
"54988070000","317800","3582","63179.6"
"59985666000","317300","3580","68864.2"
"64983159000","313000","3582","74542.3"
"69980013000","315800","3584","80221.7"
"74976970000","325900","3584","86057.3"
"79974150000","320500","3582","91883.3"
"84970489000","316200","3581","97670.6"
"89966299000","315800","3583","103357.5"
"94961838000","320400","3580","109043.0"
"99957237000","317300","3582","114737.6"
"104952343000","317100","3580","120430.9"
"109946935000","315800","3582","126101.0"
"114941879000","313700","3581","131775.3"
"119936256000","314400","3581","137445.9"
"124929670000","314000","3582","143119.0"
"129923588000","311800","3582","148821.9"
"134917186000","314500","3583","154480.8"
"139910344000","317500","3580","160172.1"
"144903507000","315800","3584","165840.5"
"149896013000","314700","3583","171557.7"
"154888615000","314800","3582","177232.6"
"159880475000","313500","3581","182895.5"
"164872654000","321800","3583","188592.9"
"169864494000","313000","3583","194285.1"
"174856308000","314800","3584","199937.6"
"179847689000","313100","3580","205589.8"
"184838763000","319000","3582","211238.9"
"189829835000","314900","3583","216897.9"
"194820215000","319200","3583","222569.1"
"199810040000","321800","3581","228340.9"
"204800169000","319800","3581","234133.7"
"209789266000","316800","3581","239884.8"
"214779299000","321900","3583","245653.0"
"219768050000","325100","3581","251464.9"
"224756375000","323700","3581","257287.7"
"229745456000","327000","3583","263094.8"
"234734205000","316200","3582","268868.3"
"239723006000","315500","3584","274575.4"
"244711274000","322200","3583","280364.1"
"249699109000","323600","3584","286188.1"
"254686951000","325600","3584","292019.9"
"259674384000","323200","3581","297833.3"
"277297467000","321700","3582","318286.9"
"284541508000","320500","3582","326702.4"
"289527998000","318200","3581","332478.6"
"294514162000","320400","3583","338167.3"
"299500329000","324100","3578","343916.4"
"304486361000","322300","3582","349746.1"
"309471541000","320400","3580","355486.7"
"314456148000","314500","3580","361141.4"
"319440806000","314600","3582","366799.1"
"324425285000","312900","3580","372433.5"
"329409763000","315300","3582","378072.2"
"334393761000","312000","3581","383712.7"
"339377303000","313500","3583","389389.1"
"344361083000","316200","3582","395041.6"
"349344155000","323700","3580","400732.2"
"354327017000","317200","3583","406425.0"
"359309661000","312900","3581","412054.8"
"364292293000","314800","3582","417698.8"
"369274394000","315800","3581","423355.8"
"374256225000","315400","3583","429006.8"
"379237824000","310100","3581","434679.3"
"384219125000","313400","3583","440313.1"
"389200265000","319300","3582","445942.1"
"394181143000","314800","3580","451571.6"
"399161467000","314900","3582","457204.1"
"404141845000","310500","3580","462829.2"
"409122101000","314700","3582","468517.0"
"414101627000","317200","3581","474247.5"
"419081286000","319000","3582","479986.6"
"424060656000","323800","3583","485723.6"
"429039604000","312100","3581","491436.4"
"434018531000","313000","3582","497092.3"
"438996754000","313400","3583","502718.5"
"443975179000","313000","3581","508351.1"
"448953140000","311700","3585","514010.1"
"453931279000","314300","3582","519717.8"
"458908803000","314400","3581","525341.8"
"463886173000","312200","3583","530981.4"
"468863111000","315800","3584","536595.6"
"473839597000","314200","3583","542208.9"
"478816185000","312800","3585","547822.7"
"483792324000","310300","3584","553449.4"
"488768175000","313500","3581","559077.9"
"493743694000","313000","3582","564693.0"
"498718974000","314500","3582","570311.1"
"503694585000","314600","3581","575936.2"
"508669247000","313900","3582","581566.4"
"513643824000","315900","3585","587195.8"
"518618260000","313500","3581","592846.0"
"523592208000","313100","3581","598486.2"
"528565851000","318900","3582","604103.1"
"533539377000","318800","3581","609731.7"
"538512400000","319200","3583","615473.0"
"543485256000","320400","3580","621171.1"
"548457782000","316100","3584","626830.0"
"553430237000","317500","3581","632505.6"
"558402462000","316200","3582","638176.6"
"563374411000","322300","3582","643858.8"
"568345926000","321800","3581","649503.1"
"573317150000","311700","3580","655147.8"
"578288399000","315900","3582","660785.6"
"583259287000","319000","3584","666523.9"
"588229806000","320800","3585","672275.2"
"593200196000","320200","3583","678023.6"
"598169973000","320200","3581","683770.6"
