Time (ns),Current (nA),Voltage (mV),Energy (uJ),Variation (uJ)
"1001055000","690700","3583","2471.5","2471.5"
"2002382000","697000","3582","4959.8","2488.3"
"3003739000","697700","3583","7457.0","2497.2"
"4004848000","692500","3581","9957.2","2500.2"
"5005994000","697300","3584","12460.8","2503.6"
"6007464000","689300","3583","14965.6","2504.8"
"7008455000","697500","3584","17470.9","2505.3"
"8009860000","692500","3583","19978.8","2507.9"
"9011011000","697100","3583","22486.2","2507.4"
"10012270000","697200","3582","24995.3","2509.1"
"11013462000","697600","3581","27503.6","2508.3"
"12014750000","692100","3584","30011.4","2507.8"
"13015950000","692000","3582","32518.0","2506.6"
"14017135000","692300","3583","35024.5","2506.5"
"15018278000","692400","3584","37532.8","2508.3"
"16019691000","692300","3582","40041.5","2508.7"
"17020817000","692000","3582","42550.6","2509.1"
"18022146000","697200","3584","45059.3","2508.7"
"19023273000","692600","3582","47567.2","2507.9"
"20024370000","692300","3581","50075.9","2508.7"
"21025820000","697100","3581","52586.3","2510.4"
"22026824000","700100","3584","55096.7","2510.4"
"23028165000","692100","3582","57606.6","2509.9"
"24029347000","697400","3582","60117.0","2510.4"
"25030359000","698800","3582","62626.6","2509.6"
"26031797000","691900","3584","65138.3","2511.7"
"27032951000","692500","3582","67648.2","2509.9"
"28034311000","692400","3581","70159.0","2510.8"
"29035437000","692100","3582","72668.6","2509.6"
"30036574000","692000","3585","75179.8","2511.2"
"31037715000","700400","3583","77691.5","2511.7"
"32038970000","697200","3583","80204.1","2512.6"
"33040341000","697500","3582","82717.0","2512.9"
"34041364000","692300","3580","85227.8","2510.8"
"35042302000","698600","3580","87741.6","2513.8"
"36043892000","697200","3582","90254.6","2513.0"
"37044838000","698600","3583","92765.4","2510.8"
"38046292000","692600","3583","95278.4","2513.0"
"39047559000","692600","3581","97790.9","2512.5"
"40048563000","692400","3583","100303.0","2512.1"
"41049900000","698600","3579","102815.5","2512.5"
"42050789000","692000","3580","105327.6","2512.1"
"43052181000","692300","3585","107842.3","2514.7"
"44053178000","698700","3585","110356.1","2513.8"
"45054312000","702500","3582","112871.2","2515.1"
"46055736000","692500","3582","115387.1","2515.9"
"47056837000","692400","3584","117902.6","2515.5"
"48058182000","697000","3581","120418.1","2515.5"
"49059257000","697300","3581","122933.6","2515.5"
"50060205000","692400","3583","125449.1","2515.5"
"51061711000","702700","3581","127967.2","2518.1"
"52062844000","710000","3582","130483.5","2516.3"
"53064106000","697500","3582","133001.6","2518.1"
"54065463000","702200","3582","135519.2","2517.6"
"55066663000","692100","3583","138035.6","2516.4"
"56068073000","697300","3582","140551.9","2516.3"
"57069144000","699100","3581","143067.9","2516.0"
"58070468000","702500","3581","145585.1","2517.2"
"59071661000","697400","3580","148101.4","2516.3"
"60072891000","697400","3583","150618.2","2516.8"
"61074247000","702600","3582","153135.0","2516.8"
"62075481000","692500","3582","155652.6","2517.6"
"63076766000","691700","3581","158170.7","2518.1"
"64077959000","698600","3583","160688.3","2517.6"
"65079157000","698800","3583","163205.9","2517.6"
"66080609000","698400","3581","165725.3","2519.4"
"67081761000","699000","3583","168243.7","2518.4"
"68083167000","691900","3582","170763.5","2519.8"
"69084414000","702600","3581","173283.3","2519.8"
"70085646000","697500","3581","175803.0","2519.7"
"71087067000","703700","3580","178325.3","2522.3"
"72088246000","697100","3583","180845.9","2520.6"
"73089544000","697100","3584","183367.0","2521.1"
"74090789000","697300","3583","185888.0","2521.0"
"75091934000","704900","3581","188409.5","2521.5"
"76093303000","698700","3582","190931.8","2522.3"
"77094655000","698500","3584","193453.2","2521.4"
"78096065000","698700","3580","195976.0","2522.8"
"79097251000","697100","3585","198496.6","2520.6"
"80098426000","692400","3582","201017.6","2521.0"
"81099874000","704600","3584","203540.4","2522.8"
"82101048000","697600","3581","206062.7","2522.3"
"83102430000","700100","3582","208586.3","2523.6"
"84103614000","697500","3583","211109.9","2523.6"
"85104810000","698900","3583","213634.7","2524.8"
"86106228000","698900","3582","216160.0","2525.3"
"87107424000","697200","3581","218685.7","2525.7"
"88108914000","705000","3584","221212.3","2526.6"
"89110102000","704800","3583","223738.4","2526.1"
"90111208000","697500","3583","226265.9","2527.5"
"91112566000","704600","3581","228793.7","2527.8"
"92113769000","700600","3583","231322.4","2528.7"
"93115168000","703900","3583","233851.5","2529.1"
"94116522000","698400","3582","236381.1","2529.6"
"95117663000","701400","3582","238910.2","2529.1"
"96119134000","703700","3581","241441.9","2531.7"
"97120401000","700700","3581","243974.0","2532.1"
"98121720000","698000","3585","246504.4","2530.4"
"99123012000","705600","3583","249035.6","2531.2"
"100124076000","702300","3583","251567.7","2532.1"
"101125387000","705000","3583","254103.2","2535.5"
"102126416000","698700","3583","256641.3","2538.1"
"103127446000","699100","3584","259176.8","2535.5"
"104128611000","711400","3582","261713.2","2536.4"
"105129808000","705000","3582","264250.0","2536.8"
"106131283000","698600","3583","266787.2","2537.2"
"107132402000","699000","3582","269323.5","2536.3"
"108133887000","704400","3583","271862.0","2538.5"
"109135157000","703800","3582","274399.2","2537.2"
"110136438000","704600","3582","276937.7","2538.5"
"111137838000","698600","3583","279477.0","2539.3"
"112139039000","704900","3583","282016.4","2539.4"
"113140449000","705200","3583","284557.0","2540.6"
"114141784000","713400","3581","287095.9","2538.9"
"115142783000","709700","3584","289635.3","2539.4"
"116144086000","711000","3583","292176.3","2541.0"
"117145175000","709900","3581","294718.6","2542.3"
"118146483000","705500","3582","297261.4","2542.8"
"119147571000","709000","3584","299804.1","2542.7"
"120148729000","705600","3583","302347.7","2543.6"
"121150008000","704700","3584","304892.2","2544.5"
"122151249000","715700","3583","307437.9","2545.7"
"123152721000","707100","3585","309984.0","2546.1"
"124154032000","702100","3582","312529.8","2545.8"
"125155191000","706000","3580","315075.1","2545.3"
"126156520000","710700","3583","317622.1","2547.0"
"127157676000","704900","3581","320168.6","2546.5"
"128158815000","705000","3580","322718.2","2549.6"
"129160060000","705000","3581","325266.1","2547.9"
"130161214000","705800","3582","327815.6","2549.5"
"131162657000","704000","3583","330367.3","2551.7"
"132164028000","710300","3583","332919.4","2552.1"
"133165342000","705200","3583","335474.9","2555.5"
"134166535000","710200","3581","338028.3","2553.4"
"135167689000","703900","3582","340581.3","2553.0"
"136169100000","707000","3581","343134.6","2553.3"
"137170359000","703800","3582","345688.4","2553.8"
"138171676000","706900","3584","348243.1","2554.7"
"139172894000","718200","3581","350797.3","2554.2"
"140174053000","703700","3582","353351.6","2554.3"
"141175375000","705600","3583","355909.2","2557.6"
"142176540000","711600","3585","358465.6","2556.4"
"143177983000","705200","3583","361025.3","2559.7"
"144179113000","710900","3581","363582.1","2556.8"
"145180235000","704200","3582","366139.8","2557.7"
"146181587000","705200","3583","368698.3","2558.5"
"147182765000","703800","3581","371256.8","2558.5"
"148184158000","711800","3583","373816.5","2559.7"
"149185443000","710800","3581","376378.9","2562.4"
"150186663000","711500","3584","378938.6","2559.7"
"151188144000","705200","3582","381500.5","2561.9"
"152189330000","713600","3582","384061.6","2561.1"
"153190689000","707000","3582","386623.0","2561.4"
"154191902000","713600","3582","389187.9","2564.9"
"155193203000","705600","3582","391754.1","2566.2"
"156194481000","702100","3581","394319.8","2565.7"
"157195693000","711700","3585","396885.5","2565.7"
"158197039000","710100","3581","399449.6","2564.1"
"159198295000","710200","3581","402013.2","2563.6"
"160199431000","710300","3584","404576.3","2563.1"
"161200839000","711700","3582","407139.5","2563.2"
"162202090000","718300","3583","409703.1","2563.6"
"163203365000","711800","3582","412267.6","2564.5"
"164204645000","714600","3583","414833.3","2565.7"
"165205835000","707000","3584","417399.0","2565.7"
"166207305000","712400","3583","419968.1","2569.1"
"167208401000","710200","3583","422534.3","2566.2"
"168209805000","712800","3581","425102.2","2567.9"
"169211005000","712100","3582","427671.3","2569.1"
"170212104000","710600","3582","430239.2","2567.9"
"171213517000","711600","3585","432807.0","2567.8"
"172214541000","711300","3583","435375.3","2568.3"
"173215930000","711400","3583","437943.6","2568.3"
"174217137000","716700","3583","440511.4","2567.8"
