Time (ns),Current (nA),Voltage (mV),Energy (uJ),Variation (uJ)
"1000138000","366500","3582","1322.5","1322.5"
"2000381000","366500","3583","2643.3","1320.8"
"3000421000","362900","3582","3956.4","1313.1"
"4000787000","361200","3586","5262.2","1305.8"
"5000879000","361100","3584","6564.6","1302.4"
"6001335000","362400","3584","7864.8","1300.2"
"7001701000","361100","3582","9172.7","1307.9"
"8002028000","368200","3583","10484.5","1311.8"
"9002459000","362800","3583","11802.8","1318.3"
"10002649000","364600","3582","13119.8","1317.0"
"11002997000","362400","3583","14436.3","1316.5"
"12003248000","362300","3581","15743.8","1307.5"
"13003486000","362000","3585","17047.9","1304.1"
"14003836000","357100","3582","18345.1","1297.2"
"15004055000","351900","3582","19626.4","1281.3"
"16004530000","351300","3582","20902.6","1276.2"
"17004783000","349700","3581","22168.8","1266.2"
"18004921000","349800","3580","23428.2","1259.4"
"19005389000","348900","3582","24681.6","1253.4"
"20005430000","350800","3582","25938.8","1257.2"
"21005806000","348500","3584","27202.1","1263.3"
"22006250000","353600","3584","28470.5","1268.4"
"23006478000","352900","3582","29735.0","1264.5"
"24006935000","353600","3582","31003.0","1268.0"
"25007150000","355400","3584","32271.8","1268.8"
"26007517000","357000","3579","33541.5","1269.7"
"27007852000","353500","3584","34809.5","1268.0"
"28007910000","350000","3579","36070.6","1261.1"
"29008184000","348100","3582","37327.9","1257.3"
"30008188000","349100","3582","38583.4","1255.5"
"31008591000","346400","3583","39836.8","1253.4"
"32008775000","342800","3583","41086.7","1249.9"
"33008877000","351800","3582","42335.4","1248.7"
"34009239000","346400","3584","43584.4","1249.0"
"35009389000","344900","3582","44829.6","1245.2"
"36009786000","348900","3584","46075.7","1246.1"
"37009945000","344700","3580","47321.8","1246.1"
"38010070000","341500","3583","48559.2","1237.4"
"39010450000","346100","3583","49805.3","1246.1"
"40010616000","344700","3581","51050.1","1244.8"
"41010933000","343200","3582","52294.4","1244.3"
"42011225000","347800","3582","53539.6","1245.2"
"43011330000","344700","3581","54788.3","1248.7"
"44011780000","353500","3583","56052.8","1264.5"
"45012011000","355200","3584","57335.0","1282.2"
"46012390000","356800","3582","58626.2","1291.2"
"47012683000","360500","3585","59923.4","1297.2"
"48012857000","359200","3582","61220.6","1297.2"
"49013154000","358800","3584","62520.8","1300.2"
"50013269000","359300","3583","63817.6","1296.8"
"51013536000","358900","3582","65107.5","1289.9"
"52013814000","351300","3582","66390.1","1282.6"
"53013959000","351900","3586","67665.8","1275.7"
"54014282000","352600","3581","68936.8","1271.0"
"55014320000","352000","3582","70204.8","1268.0"
"56014633000","349700","3585","71471.5","1266.7"
"57014974000","351600","3583","72738.2","1266.7"
"58015055000","354100","3583","74007.0","1268.8"
"59015486000","355300","3583","75280.1","1273.1"
"60015598000","351900","3582","76555.0","1274.9"
"61016088000","353600","3583","77831.2","1276.2"
"62016366000","357100","3582","79107.7","1276.5"
"63016585000","352800","3583","80380.0","1272.3"
"64016932000","348100","3583","81647.5","1267.5"
"65017120000","351800","3581","82913.4","1265.9"
"66017354000","351500","3582","84176.6","1263.2"
"67017555000","349800","3583","85438.6","1262.0"
"68017821000","346400","3584","86698.9","1260.3"
"69018126000","346400","3584","87956.5","1257.6"
"70018310000","348400","3582","89210.8","1254.3"
"71018510000","344600","3583","90462.8","1252.0"
"72018933000","343700","3585","91712.8","1250.0"
"73019179000","346200","3581","92960.6","1247.8"
"74019603000","344700","3581","94207.0","1246.4"
"75019634000","348300","3582","95451.8","1244.8"
"76020015000","344100","3581","96695.3","1243.5"
"77020468000","344300","3583","97939.6","1244.3"
"78020557000","348400","3583","99184.0","1244.4"
"79020949000","348500","3584","100428.8","1244.8"
"80021033000","348100","3583","101672.3","1243.5"
"81021480000","349700","3583","102915.3","1243.0"
"82021612000","347700","3579","104157.5","1242.2"
"83021965000","342400","3585","105398.4","1240.9"
"84022235000","343100","3581","106638.9","1240.5"
"85022447000","342400","3584","107878.5","1239.6"
"86022937000","346600","3583","109116.9","1238.4"
"87023266000","344600","3583","110356.0","1239.1"
"88023426000","342500","3582","111594.8","1238.8"
"89023781000","343000","3581","112833.1","1238.3"
"90023755000","342900","3582","114070.2","1237.1"
"91024072000","341500","3583","115308.1","1237.9"
"92024443000","342100","3581","116545.5","1237.4"
"93024704000","344000","3583","117783.0","1237.5"
"94025202000","343200","3585","119020.0","1237.0"
"95025576000","346300","3582","120257.5","1237.5"
"96025827000","342900","3586","121495.0","1237.5"
"97026124000","343500","3583","122732.9","1237.9"
"98026351000","344200","3582","123970.3","1237.4"
"99026599000","344600","3579","125208.3","1238.0"
"100026559000","341000","3582","126445.7","1237.4"
"101027000000","343100","3584","127684.5","1238.8"
"102027389000","343000","3583","128923.7","1239.2"
"103027692000","342300","3581","130160.7","1237.0"
"104027855000","342100","3584","131397.3","1236.6"
"105028187000","341200","3583","132633.9","1236.6"
"106028531000","341300","3582","133870.1","1236.2"
"107028921000","342500","3585","135107.1","1237.0"
"108029086000","343100","3584","136343.3","1236.2"
"109029522000","344100","3580","137579.5","1236.2"
"110029709000","340900","3583","138816.1","1236.6"
"111030067000","342500","3582","140051.9","1235.8"
"112030321000","341100","3583","141287.6","1235.7"
"113030478000","341600","3581","142522.5","1234.9"
"114030736000","341200","3582","143757.4","1234.9"
"115030900000","339500","3584","144992.7","1235.3"
"116031275000","343100","3585","146227.6","1234.9"
"117031637000","343800","3582","147463.8","1236.2"
"118031874000","344000","3580","148700.4","1236.6"
"119032187000","342100","3583","149937.4","1237.0"
"120032570000","348100","3582","151174.9","1237.5"
"121032944000","342500","3582","152412.8","1237.9"
"122033304000","341600","3582","153651.1","1238.3"
"123033203000","341000","3583","154889.1","1238.0"
"124033781000","344200","3583","156128.7","1239.6"
"125033884000","344100","3584","157368.3","1239.6"
"126034325000","341500","3584","158607.5","1239.2"
