Time (ns);Current (nA);Voltage (mV);Energy (uJ)
"5000360000";"324500";"3583";"5862.0"
"10000654000";"326000";"3583";"11690.1"
"15000718000";"315000";"3580";"17477.6"
"20000491000";"314600";"3580";"23166.3"
"24999790000";"318200";"3584";"28852.9"
"29999038000";"314800";"3584";"34539.5"
"34998438000";"320400";"3585";"40272.3"
"39996767000";"320400";"3580";"46065.1"
"44994934000";"320400";"3582";"51785.8"
"49993014000";"317700";"3581";"57481.1"
"54990889000";"317800";"3581";"63182.9"
"59988957000";"317300";"3581";"68867.9"
"64986464000";"313000";"3582";"74545.9"
"69983521000";"315800";"3584";"80225.8"
"74980884000";"325900";"3583";"86061.8"
"79978281000";"320500";"3584";"91887.8"
"84975082000";"316200";"3580";"97675.1"
"89970904000";"315800";"3584";"103362.4"
"94966660000";"320400";"3582";"109048.8"
"99962461000";"317300";"3583";"114744.2"
"104957778000";"317100";"3578";"120436.6"
"109952833000";"315800";"3581";"126107.5"
"114947796000";"314000";"3581";"131781.9"
"119942377000";"314400";"3582";"137453.2"
"124936210000";"314000";"3581";"143125.5"
"129930333000";"311800";"3581";"148829.2"
"134924432000";"314500";"3582";"154488.5"
"139917565000";"317500";"3582";"160180.3"
"144910933000";"318800";"3583";"165849.1"
"149903847000";"314700";"3582";"171566.7"
"154896662000";"314800";"3583";"177242.1"
"159888989000";"313500";"3583";"182905.4"
"164881126000";"321800";"3583";"188602.7"
"169873235000";"313000";"3582";"194294.5"
"174865452000";"314800";"3584";"199947.5"
"179857043000";"313100";"3583";"205600.0"
"184848525000";"319000";"3580";"211250.0"
"189839666000";"324700";"3584";"216909.5"
"194830255000";"319200";"3583";"222581.0"
"199820491000";"321800";"3582";"228352.3"
"204810828000";"318400";"3581";"234146.0"
"209800391000";"316800";"3581";"239897.5"
"214790379000";"321900";"3582";"245666.2"
"219779339000";"325100";"3581";"251478.5"
"224768134000";"323700";"3581";"257301.2"
"229757433000";"323700";"3583";"263109.2"
"234746660000";"323300";"3581";"268882.7"
"239735401000";"319000";"3581";"274589.8"
"244723936000";"322200";"3583";"280378.4"
"249712167000";"323600";"3579";"286203.7"
"254700215000";"325600";"3583";"292035.1"
"259688128000";"321800";"3580";"297849.7"
"277311102000";"321700";"3586";"318302.5"
"284555466000";"320500";"3582";"326718.8"
"289542366000";"318200";"3580";"332495.0"
"294528749000";"320400";"3586";"338184.1"
"299515379000";"320400";"3582";"343933.6"
"304501386000";"324400";"3582";"349764.2"
"309486758000";"320400";"3582";"355503.9"
"314471821000";"314500";"3581";"361159.4"
"319456697000";"314600";"3584";"366817.5"
"324441631000";"312900";"3581";"372452.4"
"329426131000";"315300";"3583";"378090.7"
"334410339000";"312000";"3580";"383731.2"
"339394280000";"313000";"3581";"389407.9"
"344378271000";"313000";"3582";"395061.3"
"349361815000";"323700";"3582";"400752.3"
"354344676000";"317200";"3583";"406444.6"
"359327543000";"312900";"3580";"412074.9"
"364310577000";"314800";"3582";"417719.7"
"369292894000";"315800";"3583";"423376.7"
"374275176000";"315400";"3583";"429028.1"
"379256800000";"315800";"3581";"434701.1"
"384238308000";"313000";"3581";"440334.4"
"389219866000";"319300";"3581";"445964.2"
"394200942000";"314800";"3581";"451593.7"
"399181733000";"313000";"3584";"457227.4"
"404162169000";"315500";"3581";"462852.2"
"409142589000";"314700";"3581";"468540.8"
"414122528000";"314900";"3580";"474271.3"
"419102417000";"319000";"3582";"480010.8"
"424082237000";"317300";"3582";"485748.6"
"429061185000";"312100";"3580";"491461.5"
"434040320000";"313000";"3580";"497116.5"
"439018957000";"313000";"3581";"502743.5"
"443997614000";"313100";"3582";"508376.5"
"448976031000";"312000";"3583";"514036.3"
"453954174000";"314900";"3584";"519743.6"
"458931945000";"312800";"3584";"525367.6"
"463909682000";"312200";"3582";"531008.1"
"468886838000";"315800";"3582";"536622.2"
"473863785000";"314200";"3581";"542236.0"
"478840382000";"314000";"3585";"547849.7"
"483816718000";"314500";"3581";"553476.4"
"488792996000";"313500";"3581";"559105.3"
"493768730000";"314400";"3581";"564721.7"
"498744468000";"314500";"3583";"570340.7"
"503720098000";"314400";"3582";"575964.9"
"508694957000";"316100";"3579";"581595.5"
"513669959000";"315900";"3583";"587225.8"
"518644594000";"315500";"3581";"592875.9"
"523618976000";"313100";"3582";"598516.1"
"528592658000";"313100";"3580";"604133.0"
"533566328000";"323900";"3582";"609762.5"
"538539843000";"319200";"3581";"615504.1"
"543512899000";"320400";"3582";"621203.1"
"548485885000";"316100";"3581";"626862.4"
"553458356000";"315400";"3582";"632537.6"
"558430796000";"316200";"3581";"638208.1"
"563403154000";"317100";"3581";"643891.2"
"568374869000";"323300";"3580";"649537.2"
"573346555000";"313300";"3582";"655181.4"
"578317815000";"315900";"3580";"660819.2"
"583288934000";"324200";"3581";"666557.5"
"588259861000";"321600";"3583";"672310.1"
"593230448000";"320200";"3582";"678058.8"
"598200706000";"321800";"3583";"683806.3"
